year,quelques_DET oies_NOUN,quelques_DET voies_NOUN
1800,5.0306631749208464e-08,6.917161954334006e-08
1801,1.6668277424969347e-08,9.762848662830947e-08
1802,2.9091921760482364e-08,4.2518962573012686e-08
1803,4.4857802805609026e-08,5.851017803593095e-08
1804,2.4718509905596875e-08,1.0134588812604761e-07
1805,5.4014676953428875e-08,3.980028706607186e-08
1806,5.76333825108577e-09,3.458002950651462e-08
1807,5.693910232196231e-09,3.4163463169534225e-08
1808,3.852325747288887e-08,5.6651849433819734e-08
1809,3.162642769893864e-08,6.325285539787728e-08
1810,1.2870697219113936e-07,1.4040760554223652e-08
1811,0.0,5.264861258069686e-08
1812,0.0,5.3344164641089264e-09
1813,0.0,6.614205716459765e-08
1814,0.0,1.0698702368472368e-07
1815,4.315557688983063e-08,2.6972236000233352e-08
1816,1.8540831092650478e-08,5.7940097164532745e-08
1817,1.2454987263765815e-08,4.0478710161551135e-08
1818,3.695565098382758e-08,1.0252212234718172e-07
1819,1.035105001712111e-09,8.07381916878569e-08
1820,3.5599443393152796e-09,5.458581142647745e-08
1821,9.861488514673056e-09,7.59334568556369e-08
1822,1.804610860745015e-08,6.917674966189225e-08
1823,8.894418535021487e-09,8.301456877468638e-08
1824,1.431589158329416e-08,7.831634718513669e-08
1825,3.522177216552791e-09,4.138558384880753e-08
1826,1.8496766784892316e-08,2.6423952803611428e-08
1827,1.013900030599757e-08,5.806882147352255e-08
1828,1.0089530988466322e-08,8.255071054508178e-08
1829,9.430493552731178e-09,5.658296231558779e-08
1830,9.39315203396518e-09,8.453836963795425e-08
1831,3.1182412207897414e-09,1.13815806557227e-07
1832,1.0823975493678972e-08,7.576782579121755e-08
1833,2.0850531967653296e-08,6.02348677603004e-08
1834,1.8669061851994684e-08,6.347480763224667e-08
1835,7.563087933704082e-09,8.546289365085613e-08
1836,1.949017514046858e-08,4.032450062751991e-08
1837,1.7394727436226276e-08,6.888311654407175e-08
1838,3.787297142565649e-09,4.0397835077143895e-08
1839,4.894032734625853e-09,9.648235899106794e-08
1840,4.458782232319436e-09,7.643626664943781e-08
1841,4.494383976094696e-09,6.613165171032165e-08
1842,6.708265054555795e-10,4.427454802780062e-08
1843,1.594865972620596e-08,4.134837894298471e-08
1844,4.9397050894128824e-09,4.829933808458975e-08
1845,1.562463802784464e-08,5.357019006169139e-08
1846,8.196302303531411e-09,7.845032090614268e-08
1847,1.0786447290911383e-08,8.25163226636505e-08
1848,1.6090443422100975e-09,6.677533853638451e-08
1849,4.189707469848258e-09,7.960444281529533e-08
1850,1.8330290174617403e-08,5.974316508172706e-08
1851,9.029214709244116e-09,8.900225267893802e-08
1852,1.9531636308300904e-09,4.427170940957126e-08
1853,2.388772735173461e-09,5.3150194911921744e-08
1854,8.832629572186335e-09,5.039794626071625e-08
1855,2.1227748447927297e-09,4.5108965451845506e-08
1856,3.1063135952358323e-09,5.280732895407425e-08
1857,0.0,6.980558220348598e-08
1858,8.80861672492017e-09,5.138359826517558e-08
1859,3.055304009791371e-09,4.43019090301533e-08
1860,1.327383358784573e-08,4.668727759948865e-08
1861,1.8863854922557266e-09,5.376198797257814e-08
1862,4.066187636597718e-09,4.4728064835242165e-08
1863,6.493007298491449e-09,5.64392162449856e-08
1864,1.102787461348953e-08,5.753673582020724e-08
1865,0.0,4.706844297652779e-08
1866,8.758103242634263e-09,4.1844271381208387e-08
1867,5.338092634588065e-09,3.833721073931429e-08
1868,2.3711396401893126e-08,3.6061079455862455e-08
1869,9.767038400276817e-09,5.469541564107061e-08
1870,3.4404292748035914e-09,6.307453848108935e-08
1871,8.496941816815706e-09,4.885741589077952e-08
1872,5.442605477412599e-09,3.084143074261192e-08
1873,5.986004469882289e-10,3.232442269407443e-08
1874,6.572069888299836e-09,5.018671611622949e-08
1875,5.721527251978387e-09,4.119499646959568e-08
1876,3.02300739996042e-09,5.985554718535013e-08
1877,6.80329748092845e-09,1.7317484668488703e-08
1878,9.058632954861423e-09,2.8987625633192238e-08
1879,7.94212295929242e-09,4.3376209291068335e-08
1880,6.417846032391594e-09,4.8775629757358274e-08
1881,1.3945015142624584e-09,5.717456247333885e-08
1882,5.989846396659004e-09,3.7270157182689445e-08
1883,6.319338829996468e-09,4.297150424381613e-08
1884,7.2618666635548834e-09,5.6114422442021805e-08
1885,6.445635636342928e-09,4.511945134177964e-08
1886,1.0325542088018835e-08,6.195325452651446e-08
1887,1.0446279397058333e-08,4.961982824625011e-08
1888,1.141310668195672e-08,5.833365346319397e-08
1889,3.7590820456401275e-09,3.508476598135246e-08
1890,7.209825181320184e-09,5.7678600562383053e-08
1891,1.0836173736095134e-08,4.079500715015172e-08
1892,8.149066088591894e-09,5.7043463286277074e-08
1893,3.0792082772457263e-09,2.4017824229449758e-08
1894,6.301539290376468e-09,3.465846631911518e-08
1895,3.0093072478365457e-09,5.115822343526588e-08
1896,6.486731818355906e-09,6.014969677892168e-08
1897,8.157398867503218e-09,6.642453131977533e-08
1898,7.355861253444118e-09,3.2252622572670475e-08
1899,6.080336234504102e-09,4.919544949189003e-08
1900,4.6719478286050276e-09,5.3986952908147146e-08
1901,7.265360535413379e-09,4.973977540956298e-08
1902,3.928227076954727e-09,5.695929283788814e-08
1903,3.2401321625741275e-09,4.266174169487158e-08
1904,1.0211787859759625e-08,6.234565042007034e-08
1905,5.160758931310738e-09,6.657378870400521e-08
