year,seules_ADJ îles_NOUN,seules_ADJ iles_NOUN,seules_ADJ villes_NOUN
1800,2.5153315874604232e-08,3.144164484325529e-09,7.231578535993322e-08
1801,4.7623651688866175e-09,4.7623651688866175e-09,1.6668278135512082e-07
1802,1.1189200677108602e-08,0.0,1.4993528907325526e-07
1803,8.776526527753958e-08,9.75169611727722e-09,1.1116933507082649e-07
1804,1.2359254952798437e-08,2.4718509461507665e-09,7.415552971679062e-08
1805,1.9900143755080535e-08,0.0,1.1087222873129576e-07
1806,2.305335300434308e-08,0.0,1.440834580535011e-07
1807,2.8469551160981155e-09,0.0,1.9074599322266295e-07
1808,1.8128591960930862e-08,0.0,1.6315732409566408e-07
1809,1.581321384946932e-08,0.0,8.810219043198231e-08
1810,1.1700633351097167e-08,0.0,1.0530570193623134e-07
1811,1.2535384286138651e-08,7.521229861140455e-09,1.579458341893769e-07
1812,2.6672082320544632e-09,2.6672082320544632e-09,7.20146218213813e-08
1813,2.0130190847567064e-08,0.0,8.052076339026826e-08
1814,2.5173417128598885e-08,0.0,4.5941484927425336e-07
1815,3.236668177919455e-08,0.0,1.8610842289490392e-07
1816,2.5493642752394408e-08,4.6352077731626196e-09,1.228330006597389e-07
1817,3.113746771532533e-08,3.113746815941454e-09,1.292204956371279e-07
1818,2.384235475716423e-09,0.0,1.144433028343883e-07
1819,4.968504185853817e-08,0.0,1.387040668987538e-07
1820,3.322614716694261e-08,0.0,9.493184904840746e-08
1821,1.3806083387635226e-08,0.0,7.494730880353018e-08
1822,7.017931125119503e-09,1.0025615893027862e-09,1.162971443591232e-07
1823,3.261286707356703e-08,2.9648061783404955e-09,1.5318164514610544e-07
1824,1.3473780313688621e-08,8.421112696055388e-10,1.0863235644364977e-07
1825,4.842993561737785e-08,0.0,1.0742640199623565e-07
1826,4.227832306469281e-08,0.0,1.1714619319036501e-07
1827,1.2904182611350734e-08,1.8434546111834038e-09,8.387718253288767e-08
1828,1.4675682002973645e-08,9.172301251858528e-10,1.0456423638061096e-07
1829,1.7146351893870815e-08,8.57317605795771e-10,1.1745251526917855e-07
1830,2.922314124020886e-08,1.0436835840010872e-09,1.4611569554290327e-07
1831,2.0268567268999504e-08,0.0,1.5903030714525812e-07
1832,3.3824925083081325e-08,1.3529969367098715e-09,7.84738247716632e-08
1833,3.59092489077284e-08,9.266902800675325e-09,9.614411311531512e-08
1834,2.42697808516823e-08,1.8669061851994684e-09,9.427876079826092e-08
1835,1.1344631900556124e-08,0.0,1.3008511245971022e-07
1836,3.36037508930076e-09,6.720750067579218e-10,1.236618061284389e-07
1837,1.3915781860163179e-09,6.957890930081589e-10,1.3637466622640204e-07
1838,1.3255539776935166e-08,2.5248647617104325e-09,1.9188972544270655e-07
1839,1.4682098203877558e-08,2.0974426639952526e-09,2.0065533590241103e-07
1840,2.165694112932215e-08,1.910906599622564e-09,1.7580340738732048e-07
1841,3.146068650039524e-08,6.420548537278137e-10,1.2969508134119678e-07
1842,1.6770663080478698e-08,6.708265054555795e-10,1.5697339961207035e-07
1843,2.008349753168659e-08,5.906911071384968e-10,1.3526826592169527e-07
1844,8.781698035420504e-09,1.097712254427563e-09,1.410560201975386e-07
1845,1.7298706467272496e-08,1.6740683839167048e-09,1.1997489934856276e-07
1846,1.7563504428608212e-08,0.0,1.1006462585783083e-07
1847,2.3190860787281053e-08,1.0786447290911383e-09,1.3159466050183255e-07
1848,7.24069959545659e-09,0.0,8.608387247477367e-08
1849,2.011059585527164e-08,2.513824481908955e-09,9.384945087731467e-08
1850,1.2220192857625989e-08,3.394498016007219e-09,4.616517301769818e-08
1851,0.0,1.2898877521649865e-09,1.586561921840257e-07
1852,1.1718981340891332e-08,6.510545436100301e-10,1.1718982051434068e-07
1853,4.180352064508952e-09,0.0,1.2242460911693342e-07
1854,8.313063126763609e-09,1.0391328908454511e-09,8.157193320812439e-08
1855,3.714855978387277e-09,5.306937111981824e-10,1.0773082692594471e-07
1856,3.6240324075009767e-09,2.070875637638636e-09,7.817556024747319e-08
1857,8.298565390418844e-09,4.881509085841174e-10,8.445010735158576e-08
1858,6.8511463169329545e-09,0.0,1.0619277190926368e-07
1859,5.092173349652285e-09,0.0,6.721668910358858e-08
1860,4.577183909670879e-10,0.0,9.108595833140498e-08
1861,7.545541969022906e-09,1.886385547766878e-09,1.0422279927979616e-07
1862,5.421583626485926e-09,4.517986262886353e-10,8.267915063697728e-08
1863,2.4973103585068657e-09,1.4983863039219614e-09,7.541877522498908e-08
1864,8.63051052846231e-09,1.4384183844029508e-09,8.678457419364349e-08
1865,8.47231973466478e-09,1.882737743486018e-09,1.0590400023602342e-07
