year,quelques_DET allées_NOUN,quelques_DET vallées_NOUN
1800,3.144164484325529e-08,1.6978488170948935e-07
1801,3.5717739876872656e-08,1.6430160343361422e-07
1802,3.5805442166747525e-08,1.544109693440987e-07
1803,5.460949914493085e-08,2.866998574102553e-07
1804,4.69651695311768e-08,2.76847303082306e-07
1805,7.960057502032214e-08,1.4498675948715345e-07
1806,2.0171682990621775e-08,1.3832011802605848e-07
1807,8.54086508184082e-08,1.7366426163789583e-07
1808,4.078933146800523e-08,2.809931807234989e-07
1809,3.6144488291256494e-08,2.868968849156772e-07
1810,8.658468697575472e-08,2.527336917523826e-07
1811,7.019814773912003e-08,2.48200585417635e-07
1812,2.6672083208723052e-08,1.6536691305191198e-07
1813,6.614205716459765e-08,2.2143210287595139e-07
1814,1.2586708564299443e-08,1.7621391634747852e-07
1815,2.1577788444915313e-08,1.2407228489053068e-07
1816,1.1588019432906549e-08,1.900435186996674e-07
1817,4.670620157298799e-08,8.718491140147222e-08
1818,2.026600087745578e-08,1.4305412765480696e-07
1819,4.347440862861873e-08,1.8631889986409078e-07
1820,4.153268307049984e-08,1.6019749793372284e-07
1821,2.2681422962023134e-08,1.4299158201946938e-07
1822,9.624591257306747e-08,2.095353721642823e-07
1823,1.1266263388876041e-07,1.2946319505324766e-07
1824,4.6316120716483056e-08,1.5410636056145677e-07
1825,1.6730341556581152e-08,2.3422478245826994e-07
1826,6.517908701653141e-08,1.8496767228981525e-07
1827,4.608636378078401e-08,1.318070103617508e-07
1828,3.3020285172824515e-08,1.6326695595481056e-07
1829,2.4004892296147773e-08,1.800366966620004e-07
1830,5.2184179866188174e-08,1.982998825145188e-07
1831,3.741889287312006e-08,2.0268568334813608e-07
1832,1.488296597074168e-08,2.0024354796532862e-07
1833,6.370995730975437e-08,2.8959070164091827e-07
1834,4.853955992700776e-08,1.8575717208868525e-07
1835,5.7479468296151026e-08,1.474802147072296e-07
1836,4.9061476659062464e-08,1.512168818496029e-07
1837,6.679575248469405e-08,1.5794411822867005e-07
1838,9.02639172295494e-08,1.6664107893582525e-07
1839,4.194885150354821e-08,1.6080392217787676e-07
1840,2.8026629905752998e-08,1.4013314453276138e-07
1841,1.5409316489467528e-08,1.759230277009749e-07
1842,1.7441489585934278e-08,1.4758183297658434e-07
1843,6.556671161561667e-08,1.0396163219184018e-07
1844,3.1284799695274756e-08,1.1800406807260799e-07
1845,3.627148326135199e-08,1.7354508941025415e-07
1846,3.5127008857216424e-08,1.5572973754984787e-07
1847,3.074137477909744e-08,1.4993161912002506e-07
1848,2.654923214606697e-08,2.8077824154593145e-07
1849,2.0948537349241292e-08,1.5501917971505463e-07
1850,3.530277936647508e-08,1.5207350756440974e-07
1851,2.7087642351375507e-08,1.3672809973108713e-07
1852,2.8646399474752116e-08,1.3476829696656978e-07
1853,2.448492075757258e-08,1.5945058562394365e-07
1854,4.572184764128906e-08,1.3145031618755354e-07
1855,2.812676669350367e-08,1.369189739364174e-07
1856,3.158085348786699e-08,1.5013848564393584e-07
1857,5.3208449202202246e-08,1.4790972269196345e-07
1858,6.068158286964831e-08,1.6491687482300676e-07
1859,4.277425702525761e-08,1.18647637492586e-07
1860,3.6617470111632855e-08,1.4692760075263323e-07
1861,3.206855225812433e-08,1.4195051445398121e-07
1862,2.0782737308877586e-08,1.0797987237687323e-07
1863,1.748117206545885e-08,1.718149587048856e-07
1864,1.8699438442126848e-08,1.9514542337617513e-07
1865,2.58876440284439e-08,9.507825371457557e-08
1866,2.6274308950746672e-08,9.196008154965796e-08
1867,2.2808213984149006e-08,1.4801075032266908e-07
