year,diverses_ADJ îles_NOUN,diverses_ADJ iles_NOUN,diverses_ADJ villes_NOUN
1800,6.60274537267469e-08,6.288328968651058e-09,2.70398159418761e-07
1801,8.810375362600098e-08,0.0,1.7620750725200196e-07
1802,1.0517848636482086e-07,0.0,1.320325679898815e-07
1803,1.5992782209650613e-07,7.801356893821776e-09,2.7499782007112117e-07
1804,1.2606439270257397e-07,9.887403562558461e-09,1.408955085935304e-07
1805,2.842877755426798e-08,0.0,1.7341554325867037e-07
1806,8.068673551520078e-08,0.0,9.797675204481493e-08
1807,4.839823697366796e-08,0.0,1.679703558465917e-07
1808,1.4049659036174944e-07,2.2660739951163578e-09,2.2660739773527894e-07
1809,1.1295152546608733e-07,9.036122072814123e-09,3.0496912017952127e-07
1810,5.3822915901946544e-08,2.3401267590372754e-09,9.59451975646175e-08
1811,5.0141534924108555e-08,2.5070767684098882e-09,3.2591998433417757e-07
1812,8.00162425207418e-09,2.6672082320544632e-09,3.013945244489946e-07
1813,2.0130190847567064e-08,0.0,2.2718358394513416e-07
1814,8.496028414128887e-08,1.5733386149463513e-08,4.499748378350432e-07
1815,8.631115377966125e-08,2.697223555614414e-09,3.6412517356865237e-07
1816,1.5064425440414198e-07,1.622322720606917e-08,2.8738289259422345e-07
1817,5.293369653713853e-08,0.0,2.2886039641178968e-07
1818,3.5763530803478716e-08,1.1921177378582115e-08,2.0981272297326825e-07
1819,6.624672010957511e-08,6.210630232317271e-09,3.540059060336276e-07
1820,6.170570099328643e-08,2.3732962262101864e-09,3.2039500297287304e-07
1821,8.185035227370463e-08,4.930744257336528e-09,3.086645961047907e-07
1822,9.42407893944619e-08,3.0076847679083585e-09,2.4863525993623625e-07
1823,8.103803139647425e-08,9.882686669016039e-09,3.468823153163214e-07
1824,2.105278085196005e-08,1.6842225392110777e-09,2.7031773086605426e-07
1825,1.2679838334861415e-07,8.805443485471187e-09,3.9712546695547246e-07
1826,8.543744511868567e-08,1.145037931138404e-08,4.1133287709271826e-07
1827,6.359918519605046e-08,4.608636583469661e-09,4.267597546459001e-07
1828,7.521286704559316e-08,5.503380862137419e-09,2.980997848567313e-07
1829,9.259029809527419e-08,1.0287811325060403e-08,4.2437222269597896e-07
1830,1.2628571255390852e-07,1.0436835840010872e-09,2.9953719460351635e-07
1831,6.080570447153377e-08,1.5591206103948707e-09,4.2252167986589484e-07
1832,7.84738247716632e-08,0.0,3.09836290957044e-07
1833,1.783878786909554e-07,1.8533804935216835e-08,2.5599820219213143e-07
