year,avions_VERB ôté_VERB,avions_VERB voté_VERB
1800,6.288328968651058e-09,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,2.2246657849223084e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,4.6352077731626196e-09
1817,6.227493631882908e-09,1.0898113522728181e-08
1818,3.5763532135746345e-09,3.5763532135746345e-09
1819,1.449147024601416e-08,0.0
1820,0.0,9.493184904840746e-09
1821,0.0,9.86148829262845e-10
1822,1.0025615893027862e-09,0.0
1823,9.882686891060644e-10,0.0
1824,1.8526447931321854e-08,0.0
1825,0.0,0.0
1826,8.807984341885344e-10,0.0
1827,2.3043183361437514e-08,0.0
1828,9.172301251858528e-10,1.1923991571904935e-08
1829,1.714635211591542e-09,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,2.3167257001688313e-09,0.0
1834,0.0,0.0
1835,0.0,6.050470346963266e-09
1836,3.36037508930076e-09,8.064899859050456e-09
1837,5.5663127440652715e-09,2.0873671680021744e-09
1838,6.312161904276081e-10,0.0
1839,7.690622361167243e-09,0.0
1840,3.1848443882154243e-09,6.369688665408546e-10
1841,0.0,3.2102742686390684e-09
1842,0.0,1.341653010911159e-09
1843,1.1813822142769936e-09,1.7720733769266417e-09
1844,9.879410178825765e-09,1.097712254427563e-09
1845,5.580227946389016e-10,2.2320911785556063e-09
1846,0.0,4.0981511517657054e-09
1847,1.0786447290911383e-09,9.707802561820245e-09
1848,0.0,5.63165514222419e-09
1849,8.379414939696517e-10,1.1731181359664333e-08
1850,2.0366988096043315e-09,1.3577992064028876e-08
1851,8.384270167027807e-09,0.0
1852,3.906327261660181e-09,6.510545436100301e-10
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,1.0391328908454511e-09,4.1565315633818045e-09
1855,4.776243400783642e-09,1.0613874223963649e-09
1856,0.0,5.177189232874468e-10
1857,6.8341128311999455e-09,0.0
1858,3.4255731584664773e-09,4.893676019968041e-10
1859,2.036869339860914e-09,4.073738679721828e-09
1860,9.154367819341758e-10,0.0
1861,5.659156698811785e-09,9.431927239234028e-09
1862,1.8071945051545413e-09,4.9697850279528666e-09
1863,1.4983863039219614e-09,1.4983863039219614e-09
1864,1.9178911792039344e-09,9.589455896019672e-10
1865,6.118897832863013e-09,9.41368871743009e-10
1866,1.4596839292835284e-09,0.0
1867,2.91168689159349e-09,0.0
1868,9.385760613156435e-09,0.0
1869,3.906815315701806e-09,2.441759683335931e-09
1870,0.0,8.601073631098188e-09
1871,0.0,3.504988654867702e-08
1872,3.0236697590169115e-09,1.4513614310374123e-08
1873,1.1972008939764578e-09,1.2570609442263958e-08
1874,3.5847653734322193e-09,1.1949218503559678e-08
1875,3.432916173551348e-09,1.6592428764283795e-08
1876,1.813804439976252e-09,1.3905833817773328e-08
1877,3.0924081073635534e-09,1.8554447978047506e-09
1878,0.0,3.6234530931267273e-09
1879,6.10932526790009e-10,4.27652757650776e-09
1880,1.2835692508872398e-09,1.2835692508872398e-09
1881,5.5780060570498335e-09,6.9725074602899895e-09
1882,1.3310770263785798e-09,1.9966155395678697e-09
1883,6.319338941018771e-10,1.0110942305630033e-08
1884,0.0,1.9805090900604227e-09
1885,0.0,1.933690763067375e-09
1886,0.0,5.808117542471791e-09
1887,0.0,4.570247291724172e-09
1888,0.0,7.60873763994141e-09
1889,6.265136742733546e-10,5.6386229019267375e-09
1890,2.6217545912032847e-09,4.5880703680722945e-09
1891,3.1871101313640793e-09,8.92390783491237e-09
1892,2.5074049503359674e-09,1.002961980134387e-08
1893,1.847525021858587e-09,6.15841644346915e-09
1894,0.0,3.780923574225881e-09
1895,1.2037228991346183e-09,6.018614495673091e-09
1896,9.435246361988447e-09,4.1279202278587945e-09
1897,5.826713556089658e-10,1.2236098356765979e-08
1898,1.13167097914868e-09,1.1316709347397591e-08
1899,0.0,5.527578395003729e-09
1900,5.191053142894475e-10,3.633737311048435e-09
1901,7.824234593556412e-09,1.5089595351014395e-08
1902,1.4730852093691738e-09,6.874397495693074e-09
1903,1.6200660812870638e-09,8.640352433531007e-09
1904,1.0749250378694342e-09,1.8811189050893518e-08
1905,5.160759042333041e-10,2.631987072732045e-08
1906,5.144184522798412e-10,9.773950537805831e-09
1907,0.0,1.3885677496716653e-08
1908,1.964555629285769e-09,2.161011281032188e-08
1909,5.500983557560346e-10,1.870334465081669e-08
1910,5.344150677544235e-10,1.4963621453034648e-08
1911,1.5961122423746588e-09,1.3832972989291648e-08
1912,0.0,1.0418842677495377e-08
1913,0.0,3.181793939432964e-09
1914,6.696743715117748e-10,2.4108278040557707e-08
1915,0.0,1.6493066468115103e-08
1916,0.0,2.0876177231343718e-08
1917,0.0,2.3029491202919417e-08
1918,0.0,1.9526840588923733e-08
1919,0.0,1.5653341733923298e-08
