year,les_DET yeux_NOUN,les_DET vieux_NOUN
1800,0.0001025060491883778,2.2323568238391545e-07
1801,9.941199050444993e-05,1.976381485135903e-07
1802,0.00010179487208006321,4.095247447821748e-07
1803,0.00010422807645227294,3.76415466574187e-07
1804,9.626870951251476e-05,2.1257918692008104e-07
1805,9.488104592492164e-05,2.3595885600968813e-07
1806,8.220249617352238e-05,1.1238509767252935e-07
1807,7.849054895814334e-05,1.6227644916710915e-07
1808,9.373841407978034e-05,1.9714843402240945e-07
1809,8.105401502689347e-05,1.6265019775474343e-07
1810,0.00010389929093435057,2.2933241750067168e-07
1811,8.05924919404788e-05,1.454104467946138e-07
1812,7.7773121915925e-05,1.5736528791165938e-07
1813,8.904159142275603e-05,1.121539221493606e-07
1814,8.399110367918183e-05,1.0698702546108052e-07
1815,8.04446948450277e-05,2.508417988877909e-07
1816,9.330209718427795e-05,2.5261882363736277e-07
1817,9.829787632043008e-05,2.926922020307643e-07
1818,9.738409494275402e-05,2.503447291690719e-07
1819,9.329504973720759e-05,1.6147638282060228e-07
1820,9.070263513422105e-05,2.7648901657073566e-07
1821,9.514265093457652e-05,2.3174497854050458e-07
1822,8.882996121428732e-05,4.030297446888653e-07
1823,8.762978677623323e-05,1.956771988886885e-07
1824,8.590376751271833e-05,1.7347491532149206e-07
1825,9.316863247477158e-05,2.227777073926518e-07
1826,8.825072131912748e-05,1.462125394091629e-07
1827,7.953215936140623e-05,1.4194600339578756e-07
1828,8.569039050598803e-05,2.1096292801559002e-07
1829,9.187444129565847e-05,1.1916714481863266e-07
1830,9.189216780214338e-05,1.3880991556192157e-07
1831,8.978508049040101e-05,1.7306238886405367e-07
1832,9.637397261030856e-05,1.5288865151674713e-07
1833,8.695482347320649e-05,2.247223872542392e-07
1834,9.190312744067342e-05,1.9975895759749562e-07
1835,9.674777379586885e-05,2.3672464521951042e-07
1836,9.116495948546799e-05,2.0431080249849742e-07
1837,8.948613253778603e-05,2.05257783214563e-07
1838,8.266533609457838e-05,2.638483629358035e-07
1839,8.271194860753894e-05,2.2652380071708222e-07
1840,8.449455845038756e-05,2.624311658538936e-07
1841,8.343117337972217e-05,2.1765659141692595e-07
1842,8.688075115514948e-05,2.0661456234805087e-07
1843,8.813111287508946e-05,1.919746135392586e-07
1844,8.758700801081432e-05,2.1240731962191006e-07
1845,8.663304015499307e-05,2.0591041582918024e-07
1846,8.527022941962059e-05,2.0432210123821903e-07
1847,7.724228885308548e-05,1.7527976403641787e-07
1848,7.969114017214451e-05,1.8101748899823633e-07
1849,7.812966305209557e-05,1.9524037409013317e-07
1850,8.02079159711866e-05,2.4711945556532555e-07
1851,7.457421190792957e-05,3.076382244504572e-07
1852,8.274968490695755e-05,1.8229526843605015e-07
1853,8.693998051967355e-05,2.717228995141596e-07
1854,8.869934436006588e-05,2.0730700800442037e-07
1855,9.147036689682864e-05,2.5261020297762116e-07
1856,8.653102509015298e-05,2.1122932758466106e-07
1857,8.628359955764608e-05,1.8159213982515965e-07
1858,8.937809866438329e-05,2.060237622725225e-07
1859,9.016609351419902e-05,2.230371891620564e-07
1860,9.550981121719815e-05,2.801236633209747e-07
1861,9.041587486535718e-05,2.414573474496251e-07
1862,9.06741740891448e-05,2.371942763312873e-07
1863,9.127769158112642e-05,2.2176116365457688e-07
1864,8.981436417343502e-05,2.6418951337703334e-07
1865,9.051920460478868e-05,2.527575344579702e-07
1866,8.949954576564778e-05,3.123723484321772e-07
1867,9.007594735521707e-05,2.819483508886833e-07
1868,8.650509971630527e-05,2.8799466433859777e-07
1869,9.100828674490913e-05,3.0082478241766353e-07
1870,8.464029565402598e-05,3.3486843653562914e-07
1871,8.135715438584157e-05,2.5597036845681487e-07
1872,8.745117679609393e-05,2.8241074412349576e-07
1873,8.150304461196356e-05,3.3162463858316116e-07
1874,8.316237426697626e-05,3.6564608119071806e-07
1875,8.566041378799127e-05,4.977728633726031e-07
1876,8.149363156917389e-05,2.8355810144375937e-07
