year,ces_DET airs_NOUN,ces_DET verres_NOUN
1800,4.181738866293472e-07,8.17482771253708e-07
1801,4.238504889286787e-07,6.26251001278888e-07
1802,3.6700578220916213e-07,4.1400042505301826e-07
1803,4.0567054426787763e-07,2.7109716427276e-07
1804,7.786330371573058e-07,4.2763021212977037e-07
1805,6.02690079176682e-07,2.473303641892244e-07
1806,7.405889590472725e-07,6.483755328190455e-07
1807,3.3024679169102455e-07,1.4234775846944103e-07
1808,3.3991110370834576e-07,3.2858074128228054e-07
1809,3.998484032763372e-07,3.637039185377944e-07
1810,4.5632472378542843e-07,2.925158391064997e-07
1811,4.061464267124393e-07,2.2312983638528294e-07
1812,6.027890364634914e-07,7.708231706260449e-07
1813,6.039057396378666e-07,4.4573994983920784e-07
1814,7.457624633389059e-07,7.048556582844867e-07
1815,2.643279088943018e-07,4.342529891232516e-07
1816,3.036061109185084e-07,3.6154622051753904e-07
1817,4.110145797042719e-07,3.222727968932304e-07
1818,3.9339886015454795e-07,2.87300384371747e-07
1819,4.5958660876976865e-07,1.9356463321074102e-07
1820,5.541646501683317e-07,1.2578470443003198e-07
1821,5.216727174683911e-07,2.4357875716418675e-07
1822,4.4513735986129177e-07,2.1454818011079624e-07
1823,3.014219576158439e-07,2.8462138246254653e-07
1824,3.7558162802042716e-07,3.856869668084073e-07
1825,5.151184421237076e-07,2.9586288263772076e-07
1826,3.8138572833190665e-07,1.4268934211969508e-07
1827,2.7283126868837826e-07,3.124655556518974e-07
1828,3.6689204740980585e-07,2.7516904310687096e-07
1829,3.7379047057584103e-07,2.7777091560210465e-07
1830,5.89681221185856e-07,5.813317596192746e-07
1831,2.806417143119688e-07,2.3074984945026245e-07
1832,4.4784197683611637e-07,3.5177919244233635e-07
1833,5.965568661281395e-07,3.3940032295731726e-07
1834,3.2857548859510644e-07,2.8190283885010103e-07
1835,4.363901808801529e-07,2.639517617808451e-07
1836,3.790502951517283e-07,2.0229457575737797e-07
1837,2.845777480331435e-07,1.5933569663673097e-07
1838,3.1118958787601514e-07,2.2345053096728407e-07
1839,4.1809022022221143e-07,3.516712112627829e-07
1840,3.40141363963653e-07,1.6242706379898664e-07
1841,3.6918153512033314e-07,1.9903700909651434e-07
1842,3.481589700982113e-07,3.1663012478588826e-07
1843,3.691819294715515e-07,3.366939225202259e-07
1844,3.9956725217393796e-07,2.118584667698542e-07
1845,3.7499130378648715e-07,2.5166828443445866e-07
1846,3.4424467898475086e-07,2.616962042623072e-07
1847,2.998632275819091e-07,2.777510275109307e-07
1848,3.041093847855336e-07,1.9630341085985492e-07
1849,3.578010066007664e-07,1.6507447142544152e-07
1850,2.966791328162799e-07,3.462387994090932e-07
1851,2.7281125092315506e-07,1.5930113050899308e-07
1852,5.546984809257083e-07,1.4778938606241354e-07
1853,3.702597801691354e-07,2.3708568619440484e-07
1854,5.268403597824545e-07,3.294051253988073e-07
1855,3.5184992697168127e-07,2.786142125899005e-07
1856,4.498977546063543e-07,1.8430793957691094e-07
1857,4.266438917710502e-07,1.5035047962186354e-07
1858,3.4402541970735e-07,2.6670534580830463e-07
1859,5.356966497060967e-07,2.164173622531962e-07
1860,3.712096017238764e-07,2.027692396211478e-07
1861,4.456585642742539e-07,1.7637704274875432e-07
1862,3.194216411372963e-07,2.5978420481465037e-07
1863,3.041724134789092e-07,2.0128322120172015e-07
1864,3.490561972796513e-07,1.8507649812704585e-07
