year,quels_DET yeux_NOUN,quels_DET vieux_NOUN
1800,1.163340872523122e-07,0.0
1801,1.4048977092784298e-07,0.0
1802,1.1412984690650774e-07,0.0
1803,1.3457340841682708e-07,0.0
1804,2.2246658915037187e-07,0.0
1805,1.2508661662025133e-07,0.0
1806,9.221341201737232e-08,0.0
1807,1.1103125174827255e-07,0.0
1808,2.311395519427606e-07,0.0
1809,6.551188569403621e-08,0.0
1810,2.597540671445131e-07,0.0
1811,6.769107141479935e-08,0.0
1812,7.20146218213813e-08,0.0
1813,1.782959770935122e-07,0.0
1814,5.034683603355461e-08,0.0
1815,8.631115644419651e-08,0.0
1816,2.2712518443768204e-07,0.0
1817,1.6347170728181482e-07,0.0
1818,1.8597037509948677e-07,0.0
1819,1.2110728775382995e-07,0.0
1820,1.6375743605578919e-07,0.0
1821,2.238557783584838e-07,0.0
1822,1.7244059336007922e-07,1.0025615893027862e-09
1823,1.146391692685711e-07,0.0
1824,1.642116984612585e-07,0.0
1825,1.6818396275652958e-07,0.0
1826,1.3211976401805714e-07,0.0
1827,1.4010255000584948e-07,0.0
1828,1.192399139426925e-07,0.0
1829,1.2774032320805873e-07,0.0
1830,1.3567886369969528e-07,0.0
1831,1.917718392974166e-07,0.0
1832,1.3394669373667512e-07,0.0
1833,1.0541102213323938e-07,0.0
1834,1.484190406131347e-07,0.0
1835,1.4369867074037757e-07,0.0
1836,1.3239877816317858e-07,0.0
1837,8.975679577361007e-08,0.0
1838,9.152634738995857e-08,0.0
1839,9.718150195681119e-08,0.0
1840,9.554532809374905e-08,0.0
1841,1.232745354684539e-07,0.0
1842,1.026364522260792e-07,0.0
1843,1.1400338095768348e-07,0.0
1844,1.6355913246002274e-07,0.0
1845,1.2722919606744654e-07,0.0
1846,1.5338793701857867e-07,0.0
1847,8.143767438184568e-08,0.0
1848,8.206126445031714e-08,8.84974404868899e-09
1849,9.552533164480792e-08,0.0
1850,4.820187182730251e-08,0.0
1851,9.22269727254843e-08,0.0
1852,1.3086196304357145e-07,0.0
1853,1.2660495585237186e-07,5.971931837933653e-10
1854,1.4859600838690312e-07,0.0
1855,1.623922791793575e-07,0.0
1856,1.4340814402657998e-07,0.0
1857,1.2350217915013673e-07,0.0
1858,1.2478873756549547e-07,4.893676019968041e-10
1859,1.4920068025503497e-07,0.0
1860,1.0252892224116295e-07,0.0
1861,1.2355824807741556e-07,0.0
1862,1.8297844306403022e-07,9.035972525772706e-10
1863,1.4284615801329892e-07,2.4973103585068657e-09
1864,1.150734725285929e-07,4.794727948009836e-10
1865,1.1672973698750866e-07,0.0
1866,1.8002767632196992e-07,4.865612912574591e-10
1867,1.4558434813238819e-07,0.0
1868,1.0768925662318907e-07,0.0
1869,9.522862498556606e-08,0.0
1870,9.461180283665271e-08,0.0
1871,7.328612205981244e-08,0.0
1872,1.251799268686682e-07,0.0
1873,1.0774807890356897e-07,1.1972008939764578e-09
1874,1.487677678824184e-07,0.0
1875,2.2542816324744308e-07,0.0
1876,1.0036384523459674e-07,0.0
1877,1.5956825194507473e-07,6.184815992682502e-10
1878,1.0628796154321662e-07,0.0
1879,1.2951769789992795e-07,0.0
1880,9.1775198995947e-08,0.0
1881,8.506459536761213e-08,0.0
1882,1.1780031883290576e-07,6.655385131892899e-09
1883,1.257548412070264e-07,0.0
1884,1.2345173061589776e-07,0.0
1885,9.475084183918625e-08,0.0
1886,9.09938417947842e-08,6.4534639854230136e-09
1887,9.466940653624079e-08,0.0
1888,1.0779045034325918e-07,2.53624587998047e-09
1889,9.209751183902881e-08,0.0
1890,1.1994526971648156e-07,0.0
1891,8.541455009947185e-08,0.0
1892,9.277398049789554e-08,0.0
1893,9.545545687217327e-08,0.0
1894,1.3611325044848854e-07,0.0
1895,1.0652947679545832e-07,0.0
1896,8.60966240523453e-08,1.179405795248556e-09
1897,8.099131854066854e-08,0.0
1898,1.0750874324116921e-07,5.6583548957434e-10
1899,9.452159055456377e-08,0.0
1900,7.838490478917493e-08,0.0
1901,8.606658141729895e-08,1.1177477832191585e-09
1902,8.052865574370571e-08,0.0
1903,7.236295118673297e-08,0.0
1904,7.255744094436523e-08,0.0
1905,8.463645073675252e-08,0.0
1906,8.385020855428138e-08,1.5432553013283723e-09
1907,1.141711205576712e-07,6.1714118260169926e-09
1908,8.840500242968119e-08,9.822778146428846e-10
1909,1.2102163893246143e-07,0.0
1910,1.1543365729949073e-07,0.0
1911,8.193376288545551e-08,5.320374141248863e-10
1912,8.751827440534043e-08,5.209421227725386e-10
1913,1.0871128708345168e-07,5.30298971401777e-10
1914,1.1250529752260263e-07,6.696743715117748e-10
1915,9.542416989916092e-08,1.1780761921542648e-09
1916,1.483307414673618e-07,0.0
1917,1.1185752768483326e-07,0.0
1918,1.2520150249883955e-07,0.0
