year,ces_DET oeufs_NOUN,ces_DET voeux_NOUN
1800,3.615789267996661e-07,8.174827570428533e-08
1801,6.976865258856435e-07,9.524730382182156e-08
1802,4.788977889802482e-07,3.8043282302169246e-08
1803,1.9054813833463413e-06,1.228713681911131e-07
1804,3.781931923185766e-07,3.707776552452913e-08
1805,2.1321583432154512e-07,7.960057457623293e-08
1806,3.1698359492793315e-08,5.4751712497136396e-08
1807,1.2811298155668283e-07,7.402083390672942e-08
1808,6.571614541428517e-08,4.5321478570059526e-08
1809,2.0331274441787173e-08,8.132509976555014e-08
1810,6.084329395861232e-08,5.3822915901946544e-08
1811,1.7549537822958428e-08,5.515568801683912e-08
1812,5.867858199337661e-08,4.000812259263853e-08
1813,7.189354267467252e-08,4.6011867205209e-08
1814,1.1013369771717407e-07,7.237357557698942e-08
1815,2.1577788444915313e-08,3.506390644503199e-08
1816,5.7940095388175905e-08,5.0987287281145655e-08
1817,7.784367150875937e-08,4.670620157298799e-08
1818,1.2994083675721413e-07,4.0532004197402216e-08
1819,1.6354659493345025e-07,4.45095160728215e-08
1820,4.153268395867826e-08,4.390598018488845e-08
1821,2.465372128668264e-08,5.029358973729359e-08
1822,3.208197085768916e-08,1.7043547018147365e-08
1823,1.9765373338032077e-08,3.854248054047105e-08
1824,3.705289586264371e-08,1.7684336661716316e-08
1825,3.698285966358128e-08,2.1133063299316746e-08
1826,4.4039921931471326e-08,3.523193559118454e-08
1827,1.0415518292283821e-07,1.935627302884768e-08
1828,6.787503004090922e-08,2.0179061976932644e-08
1829,2.4004893184326193e-08,4.6295149491726306e-08
1830,5.009681003365074e-08,3.235419043789989e-08
1831,2.962329048727952e-08,2.6505049710578987e-08
1832,2.1647950543268735e-08,4.329590286289431e-08
1833,3.011743432423941e-08,8.224376069065897e-08
1834,2.426977996350388e-08,3.453776464823477e-08
1835,4.689114518896531e-08,1.663879345414898e-08
1836,2.8227149950765806e-08,3.225959960273528e-08
1837,3.757261257675282e-08,3.826840089260486e-08
1838,5.996553897880119e-08,1.830526974444524e-08
1839,3.425822836522485e-08,7.201219531793868e-08
1840,1.2102408630809691e-08,2.2930879584048824e-08
1841,1.9903700021473014e-08,1.4767261191650505e-08
1842,6.372851713010164e-08,4.8970334454168096e-08
1843,2.3036953011867922e-08,2.8353173808781662e-08
1844,3.51267913645259e-08,1.701453922198226e-08
1845,2.622707162558413e-08,1.3392546627244428e-08
1846,5.0348711866377016e-08,2.3418004424513583e-08
1847,4.96176593145492e-08,1.941560512364049e-08
1848,4.103063222515857e-08,1.4481398968868575e-08
1849,4.022118993418644e-08,2.513824437500034e-08
1850,2.647708363667789e-08,3.190828223864628e-08
1851,3.3537080890155835e-08,2.06382047007736e-08
1852,3.255272740254611e-08,2.929745379631754e-08
1853,1.851298847554972e-08,2.985965941171287e-08
1854,2.5458756269802763e-08,2.961528622336118e-08
1855,9.552486801567284e-09,3.131092896069276e-08
1856,1.3978410429160704e-08,2.0708757375587084e-08
1857,2.4895695727167322e-08,1.3668225884444496e-08
1858,1.3702293022443968e-08,1.6638498356869036e-08
1859,2.49516496353408e-08,2.7497735421988523e-08
1860,9.840945319750105e-08,2.3801355997221663e-08
1861,3.536972786877257e-08,2.4051415081771665e-08
1862,1.4005757942303632e-08,1.852374437172344e-08
1863,1.5982786483181854e-08,2.447364266799923e-08
1864,4.698833366845179e-08,3.068625797908453e-08
1865,1.2708479713019472e-08,1.6473956032658776e-08
1866,9.731225880660332e-09,1.556996087614948e-08
1867,2.0867089389753346e-08,2.1837651686951176e-08
1868,9.87974813071446e-09,2.8651269023960424e-08
1869,1.0743742118179966e-08,2.197583537366654e-08
1870,1.9495765446464475e-08,2.064257476064313e-08
1871,1.5931765684484844e-08,1.911811864374613e-08
1872,6.047339295989218e-09,1.7537283736324127e-08
1873,1.6760812293625804e-08,3.292302386270762e-08
1874,2.0313670745508716e-08,1.6728905816165707e-08
