year,autres_ADJ oies_NOUN,autres_ADJ voies_NOUN
1800,1.5720821977538435e-08,3.6472309261625924e-07
1801,4.7623651688866175e-09,5.524343578144908e-07
1802,4.475680270843441e-09,5.437951813291875e-07
1803,0.0,5.98754127167922e-07
1804,4.943701892301533e-09,4.894264975519036e-07
1805,0.0,5.572040322476823e-07
1806,1.152667650217154e-08,9.106074685405474e-07
1807,0.0,8.939439339883393e-07
1808,4.5321479902327155e-09,6.888864731990907e-07
1809,0.0,7.90660692473466e-07
1810,0.0,1.0507169463380706e-06
1811,0.0,7.370805974460382e-07
1812,0.0,7.788248126416875e-07
1813,0.0,4.1410680751141626e-07
1814,0.0,4.122147174712154e-07
1815,1.0788894222457657e-08,5.664169293595478e-07
1816,0.0,9.061831178769353e-07
1817,0.0,5.184388669476903e-07
1818,2.026600220972341e-08,5.698322524949617e-07
1819,0.0,7.049064834063756e-07
1820,4.746592452420373e-09,5.862041803084139e-07
1821,2.9584463767662328e-09,7.327085995711968e-07
1822,1.0025615893027862e-09,8.040543661991251e-07
1823,1.8777105759149038e-08,9.932100510923192e-07
1824,0.0,6.526362312797573e-07
1825,2.905796137042671e-08,6.80660718899162e-07
1826,0.0,9.072223861039674e-07
1827,0.0,8.028245019886526e-07
1828,5.503380862137419e-09,9.264024356525624e-07
1829,8.57317605795771e-10,9.473359341427567e-07
1830,2.0873671680021744e-09,8.422526320828183e-07
1831,1.5591206103948707e-09,7.546143478975864e-07
1832,0.0,7.617372830281965e-07
1833,0.0,8.178041639439471e-07
1834,5.600718555598405e-09,8.074369475252752e-07
1835,2.2689263801112247e-09,9.287472266805707e-07
1836,2.688300027031687e-09,7.937205737107433e-07
1837,1.3915781860163179e-09,7.291869792425132e-07
1838,1.8936485712828244e-09,9.158947023024666e-07
1839,1.3982950353153e-09,9.025994245348556e-07
1840,3.821813199245128e-09,1.0083217603096273e-06
1841,6.420548537278137e-10,1.038202753989026e-06
1842,2.683306021822318e-09,1.012948018797033e-06
1843,0.0,1.0567464414634742e-06
1844,1.2074834465636286e-08,9.51716515373846e-07
1845,2.2878934136105755e-08,1.0066730737889884e-06
1846,1.1709002656346001e-09,1.086595489141473e-06
1847,3.235934187273415e-09,9.368029623146867e-07
