year,six_DET oies_NOUN,six_DET voix_NOUN
1800,0.0,7.860410988769218e-08
1801,0.0,6.905429472681135e-08
1802,0.0,7.608656460433849e-08
1803,1.1702034896643454e-08,3.705644502360883e-08
1804,2.7190360185613827e-08,1.408955085935304e-07
1805,3.980028751016107e-08,2.55858996212055e-08
1806,0.0,8.06867319624871e-08
1807,2.8469551160981155e-09,9.679647172688988e-08
1808,1.3596443970698147e-08,1.33698361270973e-07
1809,1.581321384946932e-08,6.777091243748146e-08
1810,0.0,6.31834251585417e-08
1811,0.0,1.0780430415024966e-07
1812,0.0,7.468182872116813e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,2.4229413497778296e-07
1815,0.0,5.1247248222807684e-08
1816,0.0,1.3442102897442965e-07
1817,0.0,1.3389110620209976e-07
1818,1.668964877410417e-08,9.179306914575136e-08
1819,0.0,1.5009023057732662e-07
1820,0.0,9.849179338772274e-08
1821,0.0,7.396116075142345e-08
1822,2.0051231786055723e-09,1.664252238242625e-07
1823,1.9765373782121287e-09,6.423746157224741e-08
1824,0.0,6.231623217445303e-08
1825,0.0,8.453225319726698e-08
1826,0.0,4.4039921931471326e-08
1827,1.8434546111834038e-09,1.1337245808817897e-07
1828,1.8344602503717056e-09,9.906085551847355e-08
1829,0.0,1.4231472855730232e-07
1830,2.0873671680021744e-09,1.3046044533560064e-07
1831,0.0,7.016043013230444e-08
1832,9.470978667991403e-09,8.117981487032466e-08
1833,0.0,1.3089500550123034e-07
1834,0.0,1.1388127441058771e-07
1835,0.0,2.6924593043986533e-07
1836,1.6129799718100912e-08,1.4987273289079894e-07
1837,4.174734336004349e-09,2.2265250354536192e-07
1838,0.0,1.60328909259988e-07
1839,0.0,1.908672744299622e-07
1840,1.2739377330817092e-09,1.808991598184484e-07
1841,1.926164561183441e-09,1.3483151928284087e-07
1842,2.683306021822318e-09,1.3148199684565043e-07
1843,1.1813822142769936e-09,1.5121691676611704e-07
1844,2.7442805805577564e-09,1.756339571556964e-07
1845,0.0,1.7131300467099209e-07
1846,3.5127007969038004e-09,1.7387869477580864e-07
1847,9.707802561820245e-09,1.9685266838820326e-07
1848,8.045221711050488e-10,2.695149152742715e-07
1849,8.379414939696517e-10,1.6926417689688833e-07
1850,4.073397619208663e-09,2.2064237725771818e-07
1851,5.8044946626978344e-09,1.4382248836319889e-07
1852,1.9531636308300904e-09,1.0286662122105383e-07
1853,1.1346670270029335e-08,1.510898748335876e-07
1854,1.0391328908454511e-09,1.449590341096041e-07
1855,5.306937111981824e-09,1.894576584504648e-07
1856,0.0,1.273588539074666e-07
1857,9.763018171682347e-10,1.4400452297280708e-07
1858,1.468102750479261e-09,1.2185253073226932e-07
1859,1.5276520048956854e-09,1.5836658895374e-07
1860,2.288591982591015e-09,1.7576386834861069e-07
1861,5.187560159214399e-09,1.579847914712218e-07
1862,4.969785055708442e-09,2.222849176114483e-07
1863,4.994620717013731e-09,1.7131550134052986e-07
1864,2.3973640850272204e-09,2.488463848315803e-07
1865,2.3534221238463715e-09,1.383812175959065e-07
1866,1.9462451650298362e-09,2.043557381092853e-07
1867,3.396968040192405e-09,1.5820165089053262e-07
1868,9.87974813071446e-10,1.6449781092831017e-07
1869,1.953407657850903e-09,1.5871437941683553e-07
1870,1.1468097582678638e-09,2.1789385451498333e-07
1871,1.0621177271019633e-09,1.1046024273042576e-07
1872,3.0236697590169115e-09,1.3787933095255056e-07
1873,4.788803575905831e-09,1.490515092461564e-07
1874,3.5847653734322193e-09,1.2606425270345056e-07
1875,2.2886108563824337e-09,2.03114211672073e-07
1876,6.04601479992084e-09,1.3543072974186998e-07
1877,5.566334282391949e-09,9.648313181731538e-08
1878,5.435179861734696e-09,2.9410362767379183e-07
1879,5.498392852132383e-09,1.105787863497909e-07
1880,8.984984978255284e-09,2.4323636393930315e-07
1881,6.972507571312292e-10,1.359638961417886e-07
1882,4.658769592325029e-09,1.4042862517271715e-07
1883,6.951272890631799e-09,1.977953075216199e-07
1884,9.242375753615306e-09,1.2807291938088383e-07
1885,6.445635636342928e-09,1.9014624630386834e-07
1886,3.2267319927115068e-09,1.284239306009738e-07
1887,6.528924623161458e-10,1.1425618295923812e-07
1888,1.268122939990235e-09,1.826097104640212e-07
1889,5.012109394186837e-09,1.3720649727488876e-07
1890,2.6217545912032847e-09,1.1601263860683275e-07
1891,1.9122659011827636e-09,9.68881437302116e-08
1892,3.761107425503951e-09,8.963972919495689e-08
1893,8.005941687372342e-09,1.4657031505160845e-07
1894,3.150769645188234e-09,1.411544809926113e-07
1895,6.018614495673091e-10,1.6069701302967587e-07
1896,2.948514543632541e-09,1.0673622558021734e-07
1897,6.409385022720926e-09,1.2469167676165682e-07
1898,1.13167097914868e-09,1.2391797188371356e-07
