year,dix_DET oies_NOUN,dix_DET voix_NOUN
1800,0.0,9.118077315406481e-08
1801,7.143547975374531e-09,3.095537337571841e-08
1802,3.1329761895904085e-08,6.489736392722989e-08
1803,1.950339267864365e-08,3.510610468993036e-08
1804,0.0,7.168367943677367e-08
1805,2.842877755426798e-08,2.842877711017877e-09
1806,0.0,9.797675204481493e-08
1807,2.8469551160981155e-09,6.832692633906845e-08
1808,0.0,2.039466551195801e-08
1809,1.581321384946932e-08,5.6475762733043666e-08
1810,0.0,1.4040760554223652e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,0.0,1.3336041604361526e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,6.293354282149721e-09
1815,0.0,1.2676950689183286e-07
1816,0.0,6.257530316133852e-08
1817,0.0,5.4490570278176165e-08
1818,1.668964877410417e-08,3.9339884239097955e-08
1819,0.0,5.900098543065724e-08
1820,0.0,8.187872158060827e-08
1821,0.0,4.930744168518686e-08
1822,6.015369535816717e-09,5.213320264374488e-08
1823,1.9765373782121287e-09,3.755420863171821e-08
1824,0.0,8.42111234078402e-08
1825,1.7610886082763955e-09,3.610231757988913e-08
1826,8.807984341885344e-10,1.0305341646699162e-07
1827,9.217273055917019e-10,9.8624823863247e-08
1828,1.8344602503717056e-09,8.6219628769868e-08
1829,0.0,7.630126930280312e-08
1830,4.174734336004349e-09,6.888311787633938e-08
1831,3.1182412207897414e-09,1.2317052799915018e-07
1832,0.0,7.306183391619925e-08
1833,1.1583628500844156e-09,8.919394156592375e-08
1834,0.0,5.3206826944318664e-08
1835,5.294161553592858e-09,9.302598158456021e-08
1836,1.3441500135158435e-09,7.191202866518864e-08
1837,2.7831562610103333e-09,1.1202204752702727e-07
1838,6.312161904276081e-10,1.6979716122023092e-07
1839,7.690622361167243e-09,1.0906700964596894e-07
1840,5.095750932326837e-09,1.445919323717071e-07
1841,0.0,1.4189411956522235e-07
1842,0.0,8.921992566968129e-08
1843,5.906911071384968e-10,9.628265307259909e-08
1844,6.586273748609983e-09,1.2404148641564916e-07
1845,1.0602433153650281e-08,1.3838965690071703e-07
1846,1.1709002656346001e-09,1.6978054073746307e-07
1847,0.0,1.666506168618298e-07
1848,2.413566457803995e-09,7.136111901395736e-07
1849,0.0,3.008209841226517e-07
1850,0.0,1.7583499278828185e-07
1851,0.0,1.5994608304481517e-07
1852,0.0,8.724131106419009e-08
1853,0.0,1.2541056637616066e-07
1854,1.558699391779328e-09,1.5067426772930048e-07
1855,0.0,2.595092105650565e-07
1856,0.0,1.418549784304446e-07
1857,4.881509085841174e-10,1.7866323626103409e-07
1858,0.0,1.0325656063514543e-07
1859,1.5276520048956854e-09,1.8026294346107363e-07
1860,9.154367819341758e-10,2.0826187030476007e-07
