year,vos_DET oies_NOUN,vos_DET voies_NOUN
1800,0.0,3.8673224089791347e-07
1801,0.0,2.3573708052282427e-07
1802,2.2378401354217203e-09,1.3427040812530322e-07
1803,3.900678446910888e-09,1.677291692203653e-07
1804,0.0,2.916784183071286e-07
1805,0.0,1.6204402397690387e-07
1806,2.305335300434308e-08,1.1814843325907987e-07
1807,2.8469551160981155e-09,2.44838133767189e-07
1808,1.1330369531492579e-08,9.517510424217335e-08
1809,0.0,1.9427662945048496e-07
1810,1.6380887757350138e-08,7.277794225046819e-07
1811,1.504245972228091e-08,1.1783261077980001e-07
1812,1.0668832928217853e-08,1.520308643421231e-07
1813,0.0,1.6391727797326894e-07
1814,1.2586708564299443e-08,1.6048053730344236e-07
1815,0.0,3.425473948936997e-07
1816,0.0,4.727911981916577e-07
1817,6.227493631882908e-09,1.8682481273124552e-07
1818,0.0,1.645122438276303e-07
1819,4.140420006848444e-09,1.418093802385556e-07
1820,3.5599443393152796e-09,2.491960913175717e-07
1821,5.9168927535324656e-09,6.557889467018185e-07
1822,4.010246357211145e-09,4.712039469723095e-07
1823,9.882686891060644e-10,3.063632967315044e-07
1824,1.6842225392110777e-09,2.1221203372334685e-07
1825,5.283265824829186e-09,1.9548083685094753e-07
1826,9.688783109140786e-09,1.5766291994179227e-07
1827,6.452091305675367e-09,1.5945882658741084e-07
1828,0.0,1.6326696083979186e-07
1829,0.0,1.1488055662312036e-07
1830,3.1310507520032616e-09,1.972561989305177e-07
1831,0.0,1.3720261904381914e-07
1832,0.0,1.352997003323253e-07
1833,2.3167257001688313e-09,2.988576284224109e-07
1834,6.534171426153534e-09,2.7536867386324104e-07
1835,1.285724948729694e-08,4.568105111957266e-07
1836,2.016224964762614e-09,3.514952353622647e-07
1837,6.957891152126194e-09,2.824903846398996e-07
1838,1.8936485712828244e-09,2.865721409062161e-07
1839,9.788065469251706e-09,2.1254084758837166e-07
1840,0.0,2.3121969405792697e-07
1841,1.2841097074556274e-09,2.683789359636535e-07
1842,3.3541325272778977e-09,2.8040548860630565e-07
1843,5.906911071384968e-10,2.39229904552829e-07
1844,2.195424508855126e-09,2.4643640195165517e-07
1845,3.348136878855712e-09,2.7677931380143406e-07
1846,5.854501328173001e-10,2.5642715506535296e-07
1847,3.235934187273415e-09,1.4723501173818931e-07
1848,6.43617736884039e-09,1.617089628869195e-07
1849,4.1897072478036534e-09,1.030668057566686e-07
1850,0.0,1.3238542795335206e-07
1851,1.9993260380601896e-08,2.038022701711384e-07
1852,3.2552727180501506e-09,2.0247796328476397e-07
1853,6.569124799682413e-09,2.2335025184894164e-07
1854,1.558699391779328e-09,4.946272795791629e-07
1855,3.714855978387277e-09,2.3032107066001117e-07
1856,5.694908100650764e-09,3.9243095573127107e-07
1857,2.4407544874094356e-09,2.147863940038519e-07
1858,1.9574704079872163e-09,1.6834245686325744e-07
1859,4.073738679721828e-09,1.7873529012391032e-07
1860,2.288591982591015e-09,1.5058935254330663e-07
1861,4.715963730639317e-10,1.8580896576914085e-07
1862,1.3553959066214816e-09,2.3448348687726828e-07
1863,9.989241656072068e-10,1.618257175484139e-07
1864,0.0,2.100090881196337e-07
1865,1.4120533631256649e-09,2.1274936035098335e-07
1866,4.865612801552288e-09,1.9657076610890556e-07
1867,4.367530337390235e-09,2.232293230264304e-07
