year,mes_DET airs_NOUN
1800,9.432493452976587e-09
1801,3.333655596016172e-08
1802,2.2378401354217203e-08
1803,3.1205427575287104e-08
1804,5.19088700912107e-08
1805,1.7057266488151868e-08
1806,8.068673551520078e-08
1807,0.0
1808,6.798222074166915e-08
1809,1.1295152813062259e-08
1810,6.552354792077608e-08
1811,5.515568801683912e-08
1812,1.0668832928217853e-08
1813,4.313612333994854e-08
1814,2.5173417128598885e-08
1815,1.0788894222457657e-08
1816,1.8540831092650478e-08
1817,1.5568733857662664e-08
1818,0.0
1819,4.140420006848444e-09
1820,3.678609061807947e-08
1821,2.465372084259343e-08
1822,1.0025615893027862e-08
1823,2.9648061450338048e-08
1824,2.6105450245950124e-08
1825,1.496925317034936e-08
1826,1.76159691278599e-08
1827,1.3825909916942436e-08
1828,2.2013523448549677e-08
1829,2.0575622983187714e-08
1830,2.2961039292113128e-08
1831,9.354723218280014e-09
1832,2.5706942574643676e-08
1833,2.548398292390175e-08
1834,5.600718555598405e-09
1835,1.663879345414898e-08
1836,2.419469957715137e-08
1837,7.653680356156656e-09
1838,1.7042836475411605e-08
1839,6.9914749545318955e-09
1840,3.184844388215424e-08
1841,1.733548060656176e-08
1842,7.379091560011375e-09
1843,2.4218335781256428e-08
1844,4.390849017710252e-09
1845,1.0602432709561072e-08
1846,9.367202125076801e-09
1847,6.47186837454683e-09
1848,1.528592186161859e-08
1849,6.703531951757213e-09
1850,2.1045888587423178e-08
1851,5.804494884742439e-09
1852,1.3021090872200602e-08
1853,2.20961471342207e-08
1854,3.013485283531736e-08
1855,2.812676669350367e-08
1856,2.8992259260007813e-08
1857,1.6597130780837688e-08
1858,7.829881809584549e-08
1859,3.360834455179429e-08
1860,1.876645361331697e-08
1861,1.7920661843362495e-08
1862,2.5300723294208183e-08
1863,1.9479021062807078e-08
1864,8.151037178549814e-09
1865,1.3179164537469035e-08
1866,3.503241252644784e-08
1867,1.5043715606566366e-08
1868,1.2349684830326169e-08
1869,1.6115613732381462e-08
1870,1.490852596930381e-08
1871,1.5931766128574054e-08
1872,1.8746751706544273e-08
1873,3.112722185560912e-08
1874,2.3898437007119355e-08
1875,2.7463329999033448e-08
1876,4.353130833578689e-08
1877,8.040260901509555e-09
1878,2.355244521634603e-08
1879,2.077170613290491e-08
1880,2.6954953824542827e-08
1881,2.9284532132578533e-08
1882,2.6621540527571597e-08
1883,1.895801765572358e-08
1884,2.3105939384038265e-08
1885,2.6427105892512515e-08
1886,1.677900662855336e-08
1887,2.154545164501087e-08
1888,1.9021844543942734e-08
1889,1.3156787381785051e-08
1890,1.2453334363726754e-08
1891,2.6771723837804018e-08
1892,1.6298132621272998e-08
1893,1.23168328869383e-08
1894,1.827446460822557e-08
1895,2.7083764564395096e-08
1896,9.435246361988447e-09
1897,9.322741689743452e-09
1898,1.5277558773618694e-08
1899,1.9346524382513053e-08
1900,1.9206896184620348e-08
1901,6.147612641171918e-09
1902,7.365425880312415e-09
1903,1.0800440541913758e-08
1904,1.2361637935498493e-08
1905,9.28936660926638e-09
1906,9.259531807970234e-09
1907,1.7485666858885196e-08
1908,1.7680999775393502e-08
1909,1.9803540807217246e-08
1910,1.6566866878342523e-08
1911,2.2877608141236294e-08
1912,1.2502610502451716e-08
1913,3.712092677687906e-08
1914,1.1384464038144415e-08
1915,2.1205371680821372e-08
