year,ayons_VERB eu_VERB,ayons_VERB vu_VERB
1800,2.2323567350213125e-07,2.138031902632065e-07
1801,1.2144030847593967e-07,1.3572740442668874e-07
1802,1.969299319171114e-07,1.3427040812530322e-07
1803,1.7553053055507917e-07,1.326230716358623e-07
1804,2.669599155069591e-07,1.656140113936999e-07
1805,1.648869130121966e-07,1.4214388954769674e-07
1806,1.0085842205853623e-07,8.35684019762084e-08
1807,2.562259737715067e-07,9.11025637151397e-08
1808,1.11037628869326e-07,1.6315732409566408e-07
1809,1.197286110254936e-07,1.5135503872443223e-07
1810,1.0764583180389309e-07,1.263668423234776e-07
1811,2.3315813280078146e-07,9.025476543911282e-08
1812,1.0935553973467904e-07,1.6269970615212515e-07
1813,2.8469841595324397e-07,1.8117172828624462e-07
1814,2.1397404736944736e-07,9.44003133440674e-08
1815,1.537417375629957e-07,2.0768621311617608e-07
1816,2.062667476820934e-07,2.4103081841531093e-07
1817,2.2574664626517915e-07,1.977229260319291e-07
1818,2.777634335870971e-07,1.3351719019283337e-07
1819,1.531955433620169e-07,1.418093802385556e-07
1820,1.281579926626364e-07,1.5545090548130247e-07
1821,2.2977268088197889e-07,2.1399429783741652e-07
1822,2.3660453507545753e-07,1.523893615740235e-07
1823,1.7690010167825676e-07,1.591112521737159e-07
1824,2.39159589909832e-07,1.3979047253087629e-07
1825,1.514536194235916e-07,1.3736490700466675e-07
1826,2.078684246953344e-07,1.3388135755576513e-07
1827,1.7236300209333422e-07,1.4102427314810484e-07
1828,1.9445278098828567e-07,2.1463185362335935e-07
1829,2.3061843990035413e-07,1.7575010247128375e-07
1830,2.4526565312044113e-07,2.0038724812820874e-07
1831,2.1671776551102084e-07,1.3096612860863388e-07
1832,2.54363413887404e-07,2.0024354796532862e-07
1833,2.2472239891158097e-07,2.965408896216104e-07
1834,2.2869600968533632e-07,2.4083090011117747e-07
1835,2.0344705831121246e-07,1.663879345414898e-07
1836,1.371032993802146e-07,1.6129800428643648e-07
1837,2.2126093313090678e-07,1.4959465488573187e-07
1838,2.202944529017259e-07,1.4896701827638026e-07
1839,2.544896915424033e-07,1.845749437734412e-07
1840,1.9172762222297024e-07,1.7962521781100804e-07
1841,2.3563413265037525e-07,2.670948333616252e-07
1842,1.784398477866489e-07,1.9923547256439633e-07
1843,2.1855571219475678e-07,2.002442869297738e-07
1844,1.65205690905168e-07,1.4654457913820806e-07
1845,2.3102143131836783e-07,1.311353514665825e-07
1846,1.639260318597735e-07,1.6626783860829164e-07
1847,1.7905502147641528e-07,1.423811113454576e-07
1848,2.300933346077727e-07,1.9308532728246064e-07
1849,2.220544956799131e-07,9.301150782903278e-08
1850,1.9212858148875966e-07,1.4528451686146582e-07
1851,1.5220675209093315e-07,1.3995281733514275e-07
1852,2.161501129194221e-07,1.8359737907758245e-07
1853,1.911018188138769e-07,1.4571513418104587e-07
1854,1.9795481875917176e-07,1.257350845662586e-07
1855,2.1811511885516666e-07,1.0932290450682558e-07
1856,2.334912352353058e-07,1.4806761328145512e-07
1857,2.269901671070329e-07,1.0788134829908813e-07
1858,2.2657719966900913e-07,1.1402265442939097e-07
1859,2.2049110270927486e-07,1.476730204785781e-07
1860,1.7576385857864807e-07,1.533356623895088e-07
1861,2.1457634602484177e-07,1.362913479852068e-07
1862,2.1731513299982907e-07,1.7529787044168188e-07
