year,vos_DET oeufs_NOUN,vos_DET voeux_NOUN
1800,0.0,1.1318991832709457e-07
1801,0.0,1.4048977448055666e-07
1802,0.0,1.3874608839614666e-07
1803,0.0,8.776526305709353e-08
1804,1.2359254952798437e-08,1.7550141317990153e-07
1805,0.0,8.244345273134002e-08
1806,0.0,1.4984679630458686e-07
1807,0.0,7.117388145516657e-08
1808,0.0,1.5862517965814504e-07
1809,0.0,8.358412828535222e-08
1810,0.0,1.0998595723066273e-07
1811,0.0,1.0529722338503689e-07
1812,0.0,1.3602762560793735e-07
1813,0.0,1.2078115219082974e-07
1814,0.0,1.3845379776000755e-07
1815,1.0788894222457657e-08,1.4565006600797403e-07
1816,0.0,5.7940095388175905e-08
1817,9.341240669868967e-09,7.472992147317115e-08
1818,0.0,7.629553522292554e-08
1819,0.0,3.622867339458935e-08
1820,0.0,8.543866236720987e-08
1821,9.86148829262845e-10,7.790575740074246e-08
1822,2.0051231786055723e-09,8.822541985864518e-08
1823,0.0,5.336650943377208e-08
1824,0.0,7.073734398233e-08
1825,8.805443041381977e-10,4.8429937615779295e-08
1826,0.0,4.9324713979892465e-08
1827,1.8434546111834038e-09,2.488663675137559e-08
1828,9.172301251858528e-10,4.677873494118856e-08
1829,0.0,4.715246665343287e-08
1830,0.0,4.17473438041327e-08
1831,0.0,4.3655377757190195e-08
1832,0.0,4.8707888389287746e-08
1833,1.1583628500844156e-09,1.5058717495186613e-08
1834,0.0,3.080395205579123e-08
1835,0.0,3.100866052818674e-08
1836,6.720750067579218e-10,1.8818100133710658e-08
1837,0.0,3.061471864906906e-08
1838,0.0,2.6511079775914936e-08
1839,6.9914751765765e-10,4.544458720445732e-08
1840,0.0,2.9300567638834707e-08
1841,1.2841097074556274e-09,1.733548060656176e-08
1842,6.708265054555795e-10,2.2137274680034125e-08
1843,1.7720733769266417e-09,1.6539351221922516e-08
1844,1.097712254427563e-09,7.1351298203126134e-09
1845,5.580227946389016e-10,1.7298706300739042e-08
1846,1.1709002656346001e-09,1.4636253098387897e-08
1847,1.0786447290911383e-09,2.4269505516372192e-08
1848,2.413566457803995e-09,1.528592186161859e-08
1849,0.0,1.0893239199560867e-08
1850,0.0,1.6293590476834652e-08
1851,0.0,1.2253933201478162e-08
1852,0.0,2.0833745395520964e-08
1853,5.971931837933653e-10,2.5082113941365947e-08
1854,0.0,1.8184826089395756e-08
1855,0.0,1.6451505047143655e-08
1856,0.0,1.7084724468485746e-08
1857,0.0,1.5620829074691756e-08
1858,0.0,1.614913069936108e-08
1859,0.0,1.2221216039165483e-08
1860,0.0,2.6547667342224912e-08
1861,4.715963730639317e-10,7.545541802489453e-09
1862,4.517986262886353e-10,1.67165499775912e-08
1863,0.0,1.3984937929922836e-08
1864,0.0,1.9658385475018747e-08
1865,0.0,1.4120533409212044e-08
1866,0.0,1.6056523222118813e-08
1867,0.0,1.8925964795357686e-08
1868,0.0,4.93987406535723e-09
1869,4.883519144627257e-10,1.5138909126299893e-08
1870,0.0,1.9495765890553685e-08
1871,0.0,2.1242354097950056e-08
1872,0.0,1.1489944551357212e-08
1873,1.7958012854535355e-09,1.4366410949762098e-08
1874,5.974609140757536e-10,1.1949218670093131e-08
1875,5.721527140956084e-10,2.0025344493745934e-08
1876,0.0,1.632423951569706e-08
1877,0.0,1.3606595072879202e-08
1878,0.0,1.9325084421595307e-08
1879,0.0,1.4051448005147904e-08
1880,0.0,8.343200130767059e-09
1881,0.0,2.5101028033880368e-08
1882,0.0,2.2628309226391252e-08
1883,0.0,1.6430281413182257e-08
1884,0.0,1.2543224237049344e-08
1885,0.0,8.379326565943757e-09
1886,0.0,1.6779006128953e-08
1887,0.0,1.828098916689669e-08
1888,6.340614699951175e-10,1.0779044989916997e-08
1889,0.0,7.51816386923565e-09
1890,5.898947996740844e-09,1.6385966583598588e-08
1891,0.0,7.649063604731055e-09
1892,0.0,1.6924984080901595e-08
1893,0.0,1.662772508570498e-08
1894,6.301539290376468e-10,7.561847370496366e-09
