year,avez_VERB eu_VERB,avez_VERB vu_VERB
1800,1.9368053472135216e-06,4.606200946000172e-06
1801,2.512147602828918e-06,5.11001780978404e-06
1802,2.246791609650245e-06,3.0009437068656553e-06
1803,1.7728583543430432e-06,5.197653990762774e-06
1804,2.867347120627528e-06,5.534474439627957e-06
1805,2.5216324957000325e-06,3.931699666281929e-06
1806,2.8931958695466164e-06,4.057390015077544e-06
1807,1.9074598185397917e-06,2.9779150736430893e-06
1808,1.774335942172911e-06,2.5221404484909726e-06
1809,2.4374940039706416e-06,2.7944206522079185e-06
1810,2.6232821710436838e-06,3.90333161703893e-06
1811,1.6897697605600115e-06,2.068338289973326e-06
1812,2.107094587699976e-06,3.093961595368455e-06
1813,1.5126400967346854e-06,2.8671145173575496e-06
1814,1.9540864286682336e-06,3.3071576126531e-06
1815,1.882661990748602e-06,2.9480654575309018e-06
1816,1.9769161099247867e-06,3.796235205300036e-06
1817,2.797701426970889e-06,4.496250312513439e-06
1818,2.561861037975177e-06,3.7515944768529152e-06
1819,2.3621096261194907e-06,4.583444933814462e-06
1820,2.950007228719187e-06,4.294479367672466e-06
1821,4.243398507242091e-06,4.882422672380926e-06
1822,2.961566906378721e-06,4.310012172936695e-06
1823,2.855108277799445e-06,3.5182365536456928e-06
1824,2.629071332194144e-06,3.285075990788755e-06
1825,2.668049319254351e-06,4.960106252838159e-06
1826,2.2522015115100658e-06,3.0625360523117706e-06
1827,2.0296436105127214e-06,3.709030579557293e-06
1828,2.7168355245521525e-06,4.0504883145331405e-06
1829,2.062706244032597e-06,3.3718301892804448e-06
1830,2.2908855044079246e-06,4.282233931007795e-06
1831,2.7565251912164968e-06,3.6997932966187363e-06
1832,3.180895873811096e-06,4.16858347307425e-06
1833,2.5657736841822043e-06,3.526056616465212e-06
1834,2.41951033785881e-06,3.913968612323515e-06
1835,2.822544502123492e-06,4.464490757527528e-06
1836,2.754163460849668e-06,3.972635568061378e-06
1837,2.3002787656878354e-06,3.318218205095036e-06
1838,2.1145742721273564e-06,3.142825335089583e-06
1839,2.2351746338244993e-06,3.6334697597339982e-06
1840,2.161872316719382e-06,4.079785412614001e-06
1841,2.1219912014203146e-06,3.7617994621541584e-06
1842,2.1124326394783566e-06,3.4675022106966935e-06
1843,2.2050498955650255e-06,3.59022055818059e-06
1844,1.9402064026508015e-06,3.451207248872379e-06
1845,2.1210446448094444e-06,3.078611825912958e-06
1846,2.2077324501879048e-06,4.261491540091811e-06
1847,1.8719879335549194e-06,3.222451141482452e-06
1848,2.124743105014204e-06,3.597018576328992e-06
1849,2.175296231143875e-06,3.4439394767105114e-06
1850,2.207102625106927e-06,3.008883140864782e-06
1851,2.1050968825875316e-06,3.1041149668453727e-06
1852,2.140016249541077e-06,2.923234887930448e-06
1853,2.124813363479916e-06,2.9071363769617165e-06
1854,2.0569634671119275e-06,3.3361361602146644e-06
1855,2.230505742772948e-06,2.988336291309679e-06
1856,2.460200221321429e-06,3.0281380531960167e-06
1857,2.294309297212749e-06,2.8688627935480326e-06
1858,2.703756081245956e-06,3.3565722787898267e-06
