year,les_DET yeux_NOUN,les_DET vieux_ADJ
1800,0.0001025060491883778,5.772686051841447e-06
1801,9.941199050444993e-05,4.364707848480975e-06
1802,0.00010179487208006321,5.023951302973728e-06
1803,0.00010422807645227294,7.068029503898288e-06
1804,9.626870951251476e-05,5.0944849760981015e-06
1805,9.488104592492164e-05,5.822213523742903e-06
1806,8.220249617352238e-05,3.7144714895021025e-06
1807,7.849054895814334e-05,3.1686610668657522e-06
1808,9.373841407978034e-05,4.457367424492986e-06
1809,8.105401502689347e-05,4.58357277466348e-06
1810,0.00010389929093435057,3.222354479248679e-06
1811,8.05924919404788e-05,3.725516080521629e-06
1812,7.7773121915925e-05,4.035485972053721e-06
1813,8.904159142275603e-05,3.2955998676698073e-06
1814,8.399110367918183e-05,2.6211819772470335e-06
1815,8.04446948450277e-05,4.555610587431147e-06
1816,9.330209718427795e-05,5.149715832430957e-06
1817,9.829787632043008e-05,5.870969687293837e-06
1818,9.738409494275402e-05,4.407259183381029e-06
1819,9.329504973720759e-05,3.998610679900594e-06
1820,9.070263513422105e-05,4.3573718357947655e-06
1821,9.514265093457652e-05,3.653681403648079e-06
1822,8.882996121428732e-05,4.436335075297393e-06
1823,8.762978677623323e-05,4.343441048604291e-06
1824,8.590376751271833e-05,4.373083868358663e-06
1825,9.316863247477158e-05,4.831546561945288e-06
1826,8.825072131912748e-05,4.41808504092478e-06
1827,7.953215936140623e-05,4.318292354810183e-06
1828,8.569039050598803e-05,4.416462957124168e-06
1829,9.187444129565847e-05,5.005877710573259e-06
1830,9.189216780214338e-05,5.389582156567485e-06
1831,8.978508049040101e-05,5.665844469149306e-06
1832,9.637397261030856e-05,5.784061784197547e-06
1833,8.695482347320649e-05,6.1555401202895155e-06
1834,9.190312744067342e-05,6.1673247842009005e-06
1835,9.674777379586885e-05,6.2697999396732484e-06
1836,9.116495948546799e-05,5.982139668958553e-06
1837,8.948613253778603e-05,6.398476614322135e-06
1838,8.266533609457838e-05,5.848218222581636e-06
1839,8.271194860753894e-05,6.187455710460199e-06
1840,8.449455845038756e-05,6.187515452893422e-06
1841,8.343117337972217e-05,6.154737832275714e-06
1842,8.688075115514948e-05,6.892071667152777e-06
