year,nos_DET allées_NOUN,nos_DET vallées_NOUN
1800,3.144164484325529e-09,1.1633408547595536e-07
1801,6.905429472681135e-08,7.857902284413854e-08
1802,0.0,2.0811913259422e-07
1803,7.801356893821776e-09,2.2038832980797451e-07
1804,3.707776485839531e-08,5.6852570651244605e-08
1805,1.1371510844071508e-08,1.1371511021707192e-07
1806,1.123850950079941e-07,5.76333825108577e-08
1807,8.540865792383556e-09,4.27043254092041e-08
1808,4.5321479902327155e-09,1.2690014106198078e-07
1809,9.036122072814123e-09,8.584316191218022e-08
1810,2.106114038724627e-08,5.616304221689461e-08
1811,1.504245972228091e-08,1.353821517113829e-07
1812,1.8670457180292033e-08,1.6536691305191198e-07
1813,2.5881675469463516e-08,5.176335093892703e-08
1814,3.1466771410748606e-09,1.6677388714469998e-07
1815,2.966945977789237e-08,1.780167480092132e-07
1816,6.952811659743929e-09,9.270415546325239e-08
1817,1.556873407970727e-09,6.227493543065066e-08
1818,3.2187177367859476e-08,1.1682753608965868e-07
1819,1.0351049795076506e-08,6.93520334493769e-08
1820,2.610625848831205e-08,5.577246042776096e-08
1821,7.88919063410276e-09,6.7058117281249e-08
1822,8.02049271442229e-09,1.8246620925310708e-07
1823,4.743689885344793e-08,1.0179167209134476e-07
1824,1.7684335773537896e-08,5.9789897477458e-08
1825,1.4088708866211164e-08,8.101007864524945e-08
1826,4.403992281964975e-09,1.7439809596453415e-07
1827,3.6869092223668076e-09,9.217273344575005e-08
1828,8.255071293206129e-09,1.6418419096497772e-07
1829,1.457439946506156e-08,5.658296231558779e-08
1830,2.7135772739939057e-08,1.836883087857899e-07
1831,2.0268567268999504e-08,2.822008307035162e-07
1832,9.470978667991403e-09,1.4071167697693454e-07
1833,1.3900354645102198e-08,2.5831491479166857e-07
1834,1.5868701908061666e-08,4.1351972535075276e-07
1835,3.7059130875150004e-08,1.6260638346921041e-07
1836,1.6129799718100912e-08,1.6936290592184378e-07
1837,1.2524203896191466e-08,1.6420622173107802e-07
1838,1.3255539776935166e-08,1.43286073006621e-07
1839,7.690622361167243e-09,2.0205363604475224e-07
1840,1.9109066329292546e-08,1.4650283330919223e-07
1841,2.3113974734201292e-08,2.073837208627083e-07
1842,7.379091560011375e-09,2.1063951693989225e-07
1843,1.7720733325177207e-08,1.52398311081825e-07
