year,vingt - deux vers
1800,0.0
1801,1.8304880278208202e-08
1802,0.0
1803,6.4285670120511895e-09
1804,1.3592027059416978e-08
1805,0.0
1806,3.1599316496766505e-09
1807,9.34484578607453e-09
1808,2.2411333233662845e-08
1809,0.0
1810,2.3078612798599352e-08
1811,0.0
1812,4.381375262596521e-08
1813,6.294130994177749e-09
1814,0.0
1815,1.2416953154570365e-07
1816,4.053025293160317e-08
1817,3.9240841687160355e-08
1818,6.516614359242112e-09
1819,1.1306090286211656e-08
1820,2.3307707763819963e-08
1821,0.0
1822,0.0
1823,1.619380718409502e-08
1824,1.745632260963248e-08
1825,1.4416056792754262e-08
1826,8.649531757498607e-09
1827,0.0
1828,2.0046215798430467e-09
1829,0.0
1830,2.282784095086754e-08
1831,2.5671722525544283e-08
1832,1.48262726540338e-08
1833,1.1406402045111008e-08
1834,2.1480360601344728e-08
1835,1.908909297299033e-08
1836,1.248393288744154e-08
1837,2.3532061632636214e-08
1838,1.0323364829645243e-08
1839,3.0570315168176876e-09
1840,8.350246716304355e-09
1841,2.316530833823549e-08
1842,7.335207996561621e-09
1843,2.581671321166823e-09
1844,4.7871790975762e-09
1845,2.318153846658788e-08
1846,3.523632546853506e-08
1847,1.1781199127369746e-08
1848,3.5236065176746934e-09
1849,1.0091632418607333e-08
1850,1.8575167293199968e-08
1851,2.117570563342497e-09
1852,1.640712454786808e-08
1853,7.844450422567206e-09
1854,7.38813898948365e-09
1855,4.654230334466547e-09
1856,6.238254357526785e-09
1857,1.3374243046371248e-08
1858,1.6619061293798865e-08
1859,9.476242901484966e-09
1860,7.025175108310577e-09
1861,6.712996825086748e-09
1862,2.5745642062702245e-08
1863,3.125089520494839e-08
1864,4.724585611626253e-09
1865,1.8574580040731092e-08
1866,2.6696531207903718e-08
1867,2.5551992521855027e-08
1868,2.7049558148917185e-09
1869,2.8929486806106297e-08
1870,2.3248166058920106e-08
1871,4.665970276818143e-09
1872,1.3267023035723469e-09
1873,1.771314650511613e-08
1874,5.899647881335568e-09
1875,6.286970499758127e-09
1876,1.1289412960024947e-08
1877,2.5868727604461128e-08
1878,7.311521166286639e-09
1879,2.688211653278927e-09
1880,9.893776464764414e-09
1881,9.989710392233064e-09
1882,3.6638168054992093e-09
1883,2.0899829422660332e-08
1884,1.9642074633452467e-08
1885,1.0653125992465817e-08
1886,4.2668775179777185e-09
1887,2.160787215821358e-09
1888,1.1182431203238252e-08
1889,1.3136718379769263e-08
1890,2.1686923368235966e-09
1891,2.8108828598050195e-09
1892,6.225469695309016e-09
1893,4.755059457295374e-09
1894,4.1752858948029825e-09
1895,1.1955523682161129e-08
1896,5.8539186831296774e-09
1897,1.9325523403779243e-09
1898,3.121296332508905e-09
1899,6.710451305735887e-09
1900,1.3192810399687005e-08
1901,6.167346189300815e-09
1902,1.838431806788776e-08
1903,1.1921984288676413e-08
1904,7.715794780871477e-09
1905,5.697895932854635e-09
1906,3.9729601830629235e-09
1907,3.978582796548835e-09
1908,1.6274594116794106e-08
1909,7.885884834024637e-09
1910,5.898358246270163e-09
1911,7.633353504843399e-09
1912,1.149544348599818e-09
1913,4.680880127949649e-09
1914,1.2557208606267523e-08
1915,1.1689287759963918e-08
1916,4.837344302899282e-09
1917,1.8091535380904133e-08
1918,7.582618088974868e-09
1919,1.1148440393071724e-08
1920,3.3373506180822687e-09
1921,6.685567655040359e-09
1922,3.257554670454965e-09
1923,1.0558273366712001e-08
1924,7.124528078605863e-09
1925,1.0966667574052735e-08
1926,2.8395117812607396e-08
1927,9.874144168975363e-09
1928,1.0121320670464229e-08
1929,1.4811152304616826e-08
1930,1.7438690491644593e-08
1931,1.7679964159356132e-08
1932,1.0915938375433143e-08
1933,3.806393422678411e-09
1934,1.4601593711915939e-08
1935,5.305495598406651e-09
1936,1.0737834621465936e-08
1937,4.184277369034817e-09
1938,2.8688222908357375e-09
1939,1.8636393761539694e-08
1940,5.629229971049199e-09
1941,1.64048170603337e-08
1942,0.0
1943,6.422745446599265e-09
1944,1.7747252556432613e-08
1945,4.805924103123971e-09
1946,2.3096038859193868e-08
1947,2.633565587828457e-09
1948,1.2032065122014046e-08
1949,7.571252069737966e-09
1950,1.2939040061610285e-08
1951,1.1799059507211496e-08
1952,4.672112918768789e-09
1953,1.1908261043913626e-08
1954,7.564706194784776e-09
1955,2.0775652309623638e-09
1956,4.823445642898605e-09
1957,1.0756654234000962e-08
1958,2.744675597909918e-09
1959,1.0289298302268435e-08
1960,9.184038418652563e-09
1961,4.6008774567951605e-09
1962,4.895980509900255e-09
1963,2.8528732709531823e-09
1964,4.69791910928663e-09
1965,9.654181454266109e-09
1966,1.5887493987065682e-08
1967,1.2493338807928467e-08
1968,1.1364149177239824e-08
1969,9.985480886598452e-09
1970,1.7196782664541388e-08
1971,8.499498882486023e-09
1972,7.914206179293615e-09
1973,8.530594008959724e-09
1974,8.707006504682369e-09
1975,7.578680794040338e-09
1976,6.942504793272519e-09
1977,6.494660809153174e-09
1978,1.112389824697857e-08
1979,7.0855898925969996e-09
1980,8.140167651049524e-09
1981,4.873978109998234e-09
1982,4.773100137356323e-09
1983,4.859352031871822e-09
1984,7.641757449050601e-09
1985,6.608413816167058e-09
1986,8.558607156317066e-09
1987,8.05641597878548e-09
1988,1.514737135721589e-08
1989,7.83614861887827e-09
1990,1.1939991217957413e-08
1991,8.35890234807124e-09
1992,1.448408581961047e-08
1993,7.279285618722042e-09
1994,5.196032937249129e-09
1995,5.928857904624607e-09
1996,9.333651185272629e-09
1997,5.234240152418579e-09
1998,1.196588783614061e-08
1999,6.480685765808403e-09
2000,9.152969937531452e-09
2001,4.7774668110456275e-09
2002,1.2410700023224308e-08
2003,1.1344830630477531e-08
2004,5.276318937319502e-09
2005,3.433454853762896e-09
2006,1.032106222709217e-08
2007,9.598652872533364e-09
2008,5.578605577483131e-09
2009,3.6509877343604558e-09
2010,5.694549221058054e-09
2011,2.0982131587743424e-09
2012,7.499130205701476e-10
2013,2.7721749340514634e-09
2014,5.029825889124595e-09
2015,3.431983086610302e-09
2016,5.731220123483816e-09
2017,2.510117863563366e-09
2018,2.86499379775762e-09
2019,1.982750852391746e-09
