year,aux_ADP iles_NOUN,aux_ADP villes_NOUN
1800,4.496155243671751e-07,1.2388008627794989e-06
1801,7.000676796042882e-07,1.7120703112993851e-06
1802,5.326059522303694e-07,2.1662291374013876e-06
1803,3.4521004543819345e-07,1.9659420025242014e-06
1804,4.301020488650664e-07,1.4806386878785105e-06
1805,1.9900143732876074e-07,1.6289689064308277e-06
1806,2.766402280585112e-07,1.6598413923318844e-06
1807,3.4448157260058565e-07,1.5914478588285874e-06
1808,3.965629673530202e-07,2.3272580609301485e-06
1809,4.111435498721505e-07,2.6453246846358525e-06
1810,4.610049728626109e-07,1.202825121282558e-06
1811,3.6352613763668273e-07,2.4469069188626236e-06
1812,2.987273219900999e-07,1.5096399152980666e-06
1813,3.5946771603789784e-07,1.325716866062976e-06
1814,5.034683385751748e-07,1.9320598685368395e-06
1815,4.2616133177908466e-07,2.395134536925525e-06
1816,4.4497993201275676e-07,1.9027528121995374e-06
1817,3.580808964898097e-07,1.9694447974671903e-06
1818,3.0875849166278613e-07,2.2459498625337915e-06
1819,2.69127307106487e-07,2.010173894007039e-06
1820,3.809140345367723e-07,1.8096383884724787e-06
1821,2.682324885538989e-07,2.0640095561574867e-06
1822,4.3009892181089526e-07,2.716941878588841e-06
1823,4.802986026675171e-07,2.347138075009525e-06
1824,3.326339594877936e-07,2.3823328119121356e-06
1825,4.693300967861802e-07,1.788385492140776e-06
1826,4.835583506945795e-07,2.408102983686433e-06
1827,5.134020985009258e-07,1.9282535497211484e-06
1828,4.815458063411882e-07,2.0995397740364297e-06
1829,4.415185808070987e-07,2.4399258578000627e-06
1830,5.228854744743217e-07,2.455787530664111e-06
1831,2.0580392656732727e-07,2.455614853680288e-06
1832,3.6260318314607076e-07,1.9158436295185766e-06
1833,8.386547283301127e-07,1.9796420502871115e-06
1834,4.816617957814628e-07,2.3382999039256447e-06
1835,4.6815515020171006e-07,2.454978321964063e-06
1836,4.583551405090702e-07,3.168833633715451e-06
1837,5.621975959213543e-07,3.0600805303038214e-06
1838,4.33014290424083e-07,3.5007249934437823e-06
1839,5.383435839334538e-07,2.846928717659125e-06
1840,4.649872768491825e-07,2.8319636529161585e-06
1841,4.500804391405211e-07,2.5085082384634916e-06
1842,5.004365610794537e-07,2.5431033723322116e-06
1843,4.5187870800766916e-07,2.622668562768382e-06
1844,5.340370253792415e-07,3.234409213348499e-06
1845,4.374898772141478e-07,2.3872216097231558e-06
1846,4.437712106675207e-07,2.5607588511888935e-06
1847,5.301538710256182e-07,2.6329716931172698e-06
1848,4.167424765277872e-07,2.8834075553874072e-06
1849,3.9718425659529544e-07,2.0814467553975646e-06
1850,4.2159665003538294e-07,2.3537449997945714e-06
1851,3.7342250625016504e-07,2.4772293478747542e-06
1852,3.7956479936873677e-07,2.26892501142828e-06
1853,4.269931452860476e-07,2.5141832686870202e-06
1854,3.507073543795869e-07,2.318825114144829e-06
1855,5.710264403546716e-07,2.1519629669342066e-06
1856,4.2401179500828334e-07,2.249488789018983e-06
1857,5.257385335966092e-07,2.175688566197209e-06
1858,3.7583431533594336e-07,2.695926146323302e-06
1859,5.132910798621992e-07,2.4167454064638605e-06
1860,3.6297067951274187e-07,2.3041544121582547e-06
1861,4.121752169017334e-07,2.1415192019702545e-06
1862,3.0541587481280885e-07,2.243631940679336e-06
1863,3.9257719763874377e-07,2.3150067551824804e-06
1864,4.315255180964428e-07,2.276536937628748e-06
1865,4.344417311452631e-07,2.335065552472315e-06
1866,3.6151503479686653e-07,2.406532061627331e-06
1867,3.8337209851135867e-07,2.703016104277367e-06
1868,3.467791616085236e-07,2.16712268752417e-06
1869,3.628454621207311e-07,1.7497648698849844e-06
1870,3.3544185917833147e-07,1.9581777088717445e-06
1871,3.228837925917105e-07,2.0477629938397968e-06
1872,3.192995086109818e-07,2.186113210456142e-06
1873,6.907849074977435e-07,2.015487641671143e-06
1874,4.97087469852886e-07,2.370724835998317e-06
1875,6.247907595735569e-07,2.251993077351244e-06
1876,5.616747644765496e-07,2.2164690207659987e-06
1877,4.675720770563885e-07,2.099745035621936e-06
1878,4.577629320046128e-07,2.561177540272297e-06
1879,3.824437526667168e-07,2.3960773170017546e-06
1880,4.7042813799968997e-07,2.2013213545335475e-06
1881,5.180573050544979e-07,2.115458686446914e-06
1882,4.525661880805387e-07,1.9666662964823445e-06
1883,4.916445659475244e-07,2.1182424845278547e-06
1884,5.202137112192418e-07,2.1151837508170956e-06
1885,5.865528489579219e-07,2.0806512637250307e-06
1886,7.014915244241138e-07,2.3329271030547716e-06
1887,6.372230556550562e-07,1.7184130083336413e-06
1888,6.486448889120311e-07,1.890771294199567e-06
1889,6.691165976846492e-07,2.3556914818811947e-06
1890,8.828758542023252e-07,2.171468153733258e-06
1891,8.3693510433136e-07,1.8478864305393472e-06
1892,6.801335876716053e-07,1.985864667375381e-06
1893,8.129109740906415e-07,1.7970259040822611e-06
1894,6.944296506716796e-07,1.835008223594059e-06
1895,1.0580724048026013e-06,1.7074809797179569e-06
1896,6.858244701035687e-07,1.7248809260905773e-06
1897,6.595839829870442e-07,1.7800609848350746e-06
1898,7.893404943004612e-07,1.70712570657372e-06
1899,8.534581006358621e-07,1.7030469443568563e-06
1900,8.061705569772926e-07,1.5433001259168577e-06
1901,7.365957763738606e-07,1.5324322291121462e-06
1902,8.720664377293019e-07,1.4387131290760635e-06
1903,7.171492546476088e-07,1.560123585875317e-06
1904,6.890269501624857e-07,1.661834154731423e-06
1905,7.503743866266177e-07,1.5451312744829693e-06
1906,7.16070473139041e-07,1.3369735682999817e-06
1907,6.639410869979656e-07,1.4374247054860234e-06
1908,6.360248692161008e-07,1.5485609470289319e-06
1909,6.260119427281552e-07,1.4852655176866847e-06
1910,7.342863010961764e-07,1.4952933646839028e-06
1911,6.703671369123754e-07,1.6886867761911617e-06
1912,5.271934462314221e-07,1.3971667698342571e-06
1913,6.671161010274318e-07,1.3151415032552904e-06
1914,6.830678502822707e-07,1.6259693751408122e-06
1915,6.161338568233532e-07,1.6587313087512712e-06
1916,5.372868945308085e-07,1.6250455878719094e-06
1917,4.6497639694109694e-07,1.3587399614323203e-06
1918,6.616152852245705e-07,1.674713669075345e-06
1919,5.994309371093465e-07,1.356316118972245e-06
1920,7.829687658222895e-07,1.257747682004151e-06
1921,7.459156026179414e-07,1.2093677792535118e-06
1922,8.528893555848072e-07,1.192274353911671e-06
1923,7.930113130605321e-07,1.3068232078694564e-06
1924,7.876782353033462e-07,1.20278853188438e-06
1925,7.379777275939858e-07,1.2966852294127307e-06
1926,7.902611951493554e-07,1.187063691787671e-06
1927,8.183531017280643e-07,1.311148857041644e-06
1928,9.96350798310175e-07,1.238582896689877e-06
1929,1.1753128541514002e-06,1.399235035393076e-06
1930,9.915401992799389e-07,1.4347922778767952e-06
1931,2.5251458932729065e-06,1.2705567122850425e-06
1932,1.154039190431888e-06,1.3754218350925385e-06
1933,8.866821714637041e-07,1.168860496392199e-06
1934,1.2520751386801976e-06,1.3575130353160603e-06
1935,1.3978955859528241e-06,1.080736046432662e-06
