year,ses_DET allées_NOUN,ses_DET vallées_NOUN
1800,1.2576657582030748e-07,2.7668647817336023e-07
1801,1.0000967165524344e-07,1.2144030847593967e-07
1802,1.0294064622939914e-07,1.6783801015662903e-07
1803,8.971560450099503e-08,2.535441074869027e-07
1804,1.656140113936999e-07,1.5325476354632883e-07
1805,1.6488690146587714e-07,1.194008616423048e-07
1806,7.492339815229343e-08,1.5561013100295895e-07
1807,1.0249038240317532e-07,1.7935816742919997e-07
1808,1.1330369886763947e-07,2.0847880621843728e-07
1809,9.262025457701384e-08,1.5135503872443223e-07
1810,2.8081521108447305e-08,7.488405318056834e-08
1811,9.526891409095128e-08,1.0028307206866316e-07
1812,5.067695596494559e-08,6.934741625386209e-08
1813,6.039057476314724e-08,2.1855636944678736e-07
1814,1.0698702368472368e-07,2.548808515356882e-07
1815,6.74305908887618e-08,2.589334542335564e-07
1816,8.343374346964083e-08,1.6918508549679245e-07
1817,6.694555310104988e-08,1.1520863552050287e-07
1818,1.1086694939876907e-07,3.2544813777235504e-07
1819,8.591371170041384e-08,1.190370764181381e-07
1820,2.2664978871489438e-07,2.4326287384468515e-07
1821,6.311352507282209e-08,1.3411623611681023e-07
1822,1.4938167680611514e-07,1.664252238242625e-07
1823,1.373693505613005e-07,1.8480623964478582e-07
1824,4.29476756380609e-08,1.237903513029437e-07
1825,1.0478477174835632e-07,2.5271621062472605e-07
1826,4.4039921931471326e-08,1.514973293481603e-07
1827,1.0692036589432519e-07,1.769716355681794e-07
1828,7.613009955775851e-08,1.47674052985991e-07
1829,6.60134547025848e-08,2.5890991306454225e-07
1830,9.6018888617877e-08,2.3482881239544895e-07
1831,6.704218691311326e-08,2.0736304406909767e-07
1832,1.420646782435142e-07,1.610066348023409e-07
1833,9.614411489167196e-08,2.2008893663105766e-07
1834,8.307732501933174e-08,2.4083089478210695e-07
1835,1.2176571573263573e-07,2.450440419465849e-07
1836,1.5592140056863713e-07,2.9840130189029423e-07
1837,1.0854310117380805e-07,2.2613146244410132e-07
1838,1.2119350722983313e-07,2.3859971864936824e-07
1839,8.739344048436237e-08,1.880706834711532e-07
1840,1.3822224920190251e-07,2.0255609989305867e-07
1841,6.613165126623244e-08,2.3242385793764697e-07
1842,7.915752942011522e-08,2.1533531224804392e-07
1843,1.1045923559160897e-07,1.8075147689700088e-07
1844,1.031849508059679e-07,1.6355913001753208e-07
1845,6.305657312966062e-08,1.6852287920698927e-07
1846,9.133022405016789e-08,1.8558769809828846e-07
1847,1.35909234977305e-07,1.8606621132732926e-07
1848,9.815170809446272e-08,1.609044407713256e-07
1849,1.0725651478082909e-07,2.1199920285930318e-07
1850,7.603675733491855e-08,1.8058729356340564e-07
1851,8.835731324374763e-08,2.1863597687854508e-07
1852,6.054807388800043e-08,1.9141003537725965e-07
1853,1.045088060536159e-07,1.8453269312601606e-07
1854,1.5379167050966203e-07,2.036700461616192e-07
1855,1.034852701309319e-07,1.8468140439154013e-07
1856,1.1182728387737484e-07,1.8793196510102916e-07
1857,1.5913719586535535e-07,2.6067259817352806e-07
1858,1.0815023721022499e-07,1.737254939904176e-07
1859,1.0591720833730278e-07,1.644771994158134e-07
1860,1.364000787873465e-07,2.714269917714063e-07
1861,8.96033105490801e-08,2.3768457246831076e-07
