year,dix_DET airs_NOUN,dix_DET verres_NOUN
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,2.2378401354217203e-09
1803,0.0,5.851017448321727e-09
1804,4.943701892301533e-09,1.2359254952798437e-08
1805,0.0,8.528632911009026e-09
1806,1.4408345627714425e-08,0.0
1807,5.693910232196231e-09,1.9928686700865228e-08
1808,2.2660739951163578e-09,1.5862518409903714e-08
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,1.0668832928217853e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,1.401186100480345e-08,2.1796227045456362e-08
1818,1.1921177378582115e-09,2.5034472272977837e-08
1819,1.3456364911235141e-08,1.035105001712111e-09
1820,2.3732962262101864e-09,8.306536791735653e-09
1821,9.86148829262845e-10,0.0
1822,4.010246357211145e-09,1.0025615893027862e-09
1823,6.917880934764753e-09,9.882686669016039e-09
1824,5.052667617633233e-09,1.0105335235266466e-08
1825,7.044354433105582e-09,8.805443041381977e-10
1826,1.5854372037438225e-08,1.6735169694470642e-08
1827,0.0,1.8434546111834038e-09
1828,9.172301251858528e-10,5.503380862137419e-09
1829,0.0,4.286587973467704e-09
1830,2.0873671680021744e-09,7.30578508800761e-09
1831,1.5591206103948707e-09,4.677361831184612e-09
1832,1.3529969367098715e-09,1.488296641483089e-08
1833,1.7375443306377747e-08,2.6642345218874652e-08
1834,1.8669061851994684e-09,4.667265462998671e-09
1835,0.0,2.2689263801112247e-09
1836,3.36037508930076e-09,6.048675060821296e-09
1837,2.7831563720326358e-09,1.8090515752078318e-08
1838,1.8936485712828244e-09,1.1993107174035345e-08
1839,6.9914749545318955e-09,1.6779539646627484e-08
1840,1.2739377330817092e-09,2.038300300766238e-08
1841,6.420548537278137e-10,1.6693426641012366e-08
1842,6.708265054555795e-10,1.0733224087289273e-08
1843,3.5441467538532834e-09,6.497602011990011e-09
1844,2.7442805805577564e-09,7.1351298203126134e-09
1845,0.0,1.841475172348339e-08
1846,1.7563503984519002e-09,2.9272506640865004e-09
1847,1.6179670936367074e-09,8.629157832729106e-09
1848,2.413566457803995e-09,1.6090443422100975e-09
1849,0.0,1.1731180693530519e-08
1850,3.394498016007219e-09,5.431196825611551e-09
1851,0.0,1.2253933867611977e-08
1852,4.557382027314816e-09,1.0416872697760482e-08
1853,1.7915795513800958e-09,4.180352064508952e-09
1854,5.195664454227256e-10,7.27393034694046e-09
1855,2.1227748447927297e-09,9.552486801567284e-09
1856,3.6240324075009767e-09,2.070875637638636e-09
1857,2.4407544874094356e-09,1.757343248698362e-08
1858,9.787352039936081e-10,3.4255731584664773e-09
1859,1.018434669930457e-09,1.9350259172767892e-08
1860,5.492620580582752e-09,2.242820151820979e-08
1861,4.715963730639317e-10,1.1789909493131745e-08
1862,1.3553959066214816e-09,1.7168348548368684e-08
1863,2.9967726078439227e-09,6.493007020935693e-09
1864,9.589455896019672e-10,1.1986819536957682e-08
1865,1.882737743486018e-09,2.8711751420829046e-08
1866,1.4596839292835284e-09,1.8002767276925624e-08
1867,0.0,1.6984840200962026e-08
1868,2.9639244392143382e-09,1.4819621974027086e-08
1869,4.883519144627257e-10,1.806902028000934e-08
1870,0.0,8.601073631098188e-09
1871,3.18635318130589e-09,3.611200227737754e-08
1872,0.0,1.3908880269752899e-08
1873,4.788803575905831e-09,2.0352414864532875e-08
1874,5.974609140757536e-10,3.1665429389704514e-08
1875,5.721527140956084e-10,1.7736734747586524e-08
1876,3.627608879952504e-09,1.6324239737741664e-08
1877,1.8554447978047506e-09,1.6699003069220453e-08
1878,8.4547240319921e-09,2.113680963589104e-08
1879,0.0,3.4212222943530435e-08
1880,6.417846254436199e-10,5.776061406947974e-09
1881,6.972507571312292e-10,6.9725074602899895e-09
1882,1.9966155395678697e-09,1.9966154951589488e-08
1883,1.8958017378167824e-09,8.847074184359371e-09
1884,1.3203393933736152e-09,1.0562715146988921e-08
1885,1.933690763067375e-09,1.4824961702686323e-08
1886,6.453463874400711e-10,2.516850983180774e-08
1887,1.9586774424595887e-09,1.5016526799804808e-08
1888,1.9021844099853524e-09,3.804368819970705e-09
1889,6.265136742733546e-10,1.4409814674820609e-08
1890,0.0,3.2771931834929546e-09
1891,0.0,3.824531802365527e-09
1892,0.0,0.0
1893,0.0,2.463366621796581e-09
1894,1.2603078580752936e-09,6.301539290376468e-09
1895,0.0,6.018614717717696e-09
1896,5.89702897624278e-10,2.94851448812139e-09
1897,5.826713556089658e-10,1.7480141112358183e-08
1898,5.6583548957434e-10,1.1882545614128048e-08
1899,0.0,8.291367592505594e-09
