year,grands_ADJ airs_NOUN,grands_ADJ verres_NOUN
1800,2.6725399493443547e-07,1.0061326349841693e-07
1801,1.8096987730586989e-07,2.1668761007731518e-07
1802,1.2531904758361634e-07,2.5735161557349784e-07
1803,1.2092102963379148e-07,1.1311967540450496e-07
1804,3.114532205472642e-07,1.7055771195373381e-07
1805,2.50173229687789e-07,9.097208675257207e-08
1806,4.3513205127965193e-07,6.339671898558663e-08
1807,2.1921555060089304e-07,1.3095993267597805e-07
1808,1.6768947830314573e-07,1.2010191596800723e-07
1809,1.8298146642337088e-07,1.0617443280125372e-07
1810,4.7036547812240315e-07,9.126494404654295e-08
1811,4.086535057012952e-07,7.771937760026049e-08
1812,3.414026537029713e-07,8.801787032552966e-08
1813,3.36461766892171e-07,9.777521370324394e-08
1814,1.9194730782601255e-07,1.321604372606089e-07
1815,1.780167480092132e-07,1.4834729711310501e-07
1816,2.0394914201915526e-07,4.1716869958463576e-08
1817,3.674221318306081e-07,8.718490818182545e-08
1818,2.1577331210664852e-07,8.225612191381515e-08
1819,2.1530183857976226e-07,3.1053151161586356e-08
1820,3.0259528216447507e-07,6.051905643289501e-08
1821,3.303598532511387e-07,1.065040748926549e-07
1822,2.3760709666476032e-07,1.1529458276982041e-07
1823,2.8956273467883875e-07,1.393458859411112e-07
1824,3.5200250181333104e-07,4.7158231097910175e-08
1825,3.0114614446574706e-07,7.660735690251386e-08
1826,1.7175570121708006e-07,6.429828403042848e-08
1827,1.1245072784049626e-07,1.0692036767068203e-07
1828,2.1738354405442806e-07,9.722639049414283e-08
1829,4.878137360719847e-07,3.943661042171698e-08
1830,3.9346872426904156e-07,8.036363396968227e-08
1831,2.744052380876383e-07,6.080570358335535e-08
1832,3.5989717162010493e-07,5.817886972181441e-08
1833,2.872739912618272e-07,6.370995464521911e-08
1834,2.5389923052898666e-07,7.374279675786966e-08
1835,3.947931759284984e-07,9.529490796467144e-08
1836,2.2447305525474803e-07,7.19120265557649e-08
1837,2.2891461526342027e-07,6.192522761239161e-08
1838,2.7016054104933573e-07,7.511472688292997e-08
1839,2.747649716638989e-07,7.2012191765225e-08
1840,3.4205228871542204e-07,6.815567132889555e-08
1841,2.1573043795797275e-07,4.365973182984817e-08
1842,3.723087047546869e-07,9.659901678560345e-08
1843,2.746713789747446e-07,7.383638944702398e-08
1844,2.2118902620604786e-07,5.0494762149355665e-08
1845,3.0691253982695343e-07,6.249855033502172e-08
1846,3.354629143359489e-07,8.957387365171599e-08
1847,1.7096519400183752e-07,7.874106700000993e-08
1848,2.2204811500614596e-07,8.68883915927654e-08
1849,2.1283713635966706e-07,5.027649052635752e-08
1850,1.7108270355947752e-07,6.042206734946376e-08
1851,2.61847219462652e-07,6.836405219701192e-08
1852,2.584686455975316e-07,5.208436348880241e-08
1853,3.2606746458441194e-07,7.76351143372267e-08
1854,2.156200764602545e-07,6.702406807335137e-08
1855,3.730776825250359e-07,7.482780972623004e-08
1856,4.581812333981361e-07,9.267169076565551e-08
1857,4.398239639158419e-07,7.175818694804548e-08
1858,4.0519637423130916e-07,8.514996352460003e-08
1859,4.297794191643334e-07,1.0235268632641237e-07
1860,3.80363985641452e-07,6.59114505197067e-08
1861,3.107820134573558e-07,8.441575261031176e-08
1862,3.162590473948512e-07,9.03597268120393e-08
1863,3.636083931723988e-07,5.0445670751742e-08
1864,4.2193605054308136e-07,7.240038968348017e-08
1865,4.0431794445794367e-07,1.1578837444403689e-07
1866,3.7173282407820807e-07,9.682569412916564e-08
1867,3.891954918344709e-07,7.618913855367282e-08
1868,3.166459237036179e-07,9.286963376098356e-08
1869,3.3061425597225025e-07,5.4695412643468444e-08
1870,2.9587693006760674e-07,9.919904186972417e-08
1871,3.3669132903924037e-07,4.6733180880664804e-08
1872,2.8301548127274145e-07,7.619647846013322e-08
1873,2.585954064215912e-07,8.200826329129995e-08
1874,3.142644402487349e-07,6.213593195525391e-08
1875,2.6090162918990245e-07,8.067353007845668e-08
1876,2.5876943254843354e-07,8.887641911314859e-08
1877,3.3274309885200637e-07,1.2184086983779707e-07
1878,3.055778847738111e-07,8.092379033541874e-08
1879,3.0180066801221983e-07,6.475885072632082e-08
1880,2.194903458985209e-07,7.829772386003242e-08
1881,3.1376285392070713e-07,4.671580100534811e-08
1882,3.414212699226482e-07,5.790185042542362e-08
1883,2.9574505333584966e-07,6.319339007632152e-08
1884,3.7959756582495174e-07,7.393900602892245e-08
1885,2.9327642891985306e-07,9.603996886653476e-08
1886,2.9879538487875834e-07,8.066830048392148e-08
1887,2.337355056170054e-07,6.594213886046418e-08
1888,2.612333389606647e-07,7.164894810784972e-08
1889,2.4935243914114835e-07,6.01453109538852e-08
1890,2.2547089884028537e-07,5.964491833765351e-08
1891,2.530565268443752e-07,5.290602800300803e-08
1892,2.2190533854882233e-07,6.70730813112641e-08
1893,2.407940939974651e-07,6.096832549928877e-08
1894,1.8337479446017824e-07,5.356308463433379e-08
1895,2.600041568712186e-07,7.162151405282202e-08
1896,2.1347244683056488e-07,6.368791360955584e-08
1897,1.7713209388148243e-07,5.5936450138460714e-08
1898,2.1841249520093697e-07,6.450524381307332e-08
1899,1.9678179796756012e-07,9.341607665191987e-08
1900,1.5988443635706062e-07,7.371295396296773e-08
1901,1.4698383665745496e-07,9.780293197536594e-08
1902,1.6645861933284323e-07,7.807351209976332e-08
1903,2.0736845840474416e-07,7.34429974613704e-08
1904,1.4189009789333795e-07,7.040758731591268e-08
1905,1.6307998862430395e-07,8.824898145576299e-08
1906,1.6409948955242726e-07,6.790323681116206e-08
1907,1.5428530275585217e-07,7.405694191220391e-08
1908,1.8123026279681653e-07,6.974172350737717e-08
1909,1.9363461944976734e-07,5.005895076237721e-08
1910,2.201790039180196e-07,5.7716828649745366e-08
1911,1.8887328678829363e-07,5.160762839295785e-08
1912,1.7295278098572453e-07,7.866226070518678e-08
1913,1.7022597376126214e-07,6.734796897944761e-08
1914,2.2233189156395383e-07,6.763711013491047e-08
1915,1.4372530188211385e-07,8.835571208010151e-08
1916,1.6151568615896394e-07,7.361599330124591e-08
1917,2.061687780496868e-07,6.360526327853222e-08
1918,1.918224796781942e-07,8.040463228553563e-08
1919,1.7679069230780442e-07,6.997964874244644e-08
1920,1.809763432447653e-07,6.436396660092214e-08
1921,2.1279420536757243e-07,8.55720472259236e-08
1922,1.9920425131658703e-07,7.009038682781465e-08
1923,1.8471749285708938e-07,7.112685551646791e-08
1924,2.3591672970724176e-07,7.477142105472012e-08
1925,2.2656246301266947e-07,8.248633776020142e-08
1926,2.0397433786456531e-07,8.582526334066642e-08
1927,2.675813846053643e-07,1.3825038536197098e-07
1928,2.4565989065195026e-07,1.1768822361091225e-07
1929,2.2169407998262614e-07,9.580749349424877e-08
1930,2.016691951212124e-07,7.142450186847782e-08
1931,1.4712910001435375e-07,8.439963750106472e-08
1932,1.8412021063340944e-07,8.438843224212178e-08
1933,2.064719240024715e-07,8.144170493551428e-08
1934,1.4377896206951846e-07,9.345632179247332e-08
1935,1.8311475002974476e-07,5.744776387928141e-08
1936,2.133949692506576e-07,1.0306007425242569e-07
1937,1.561298716978854e-07,7.428759829508635e-08
