year,avez_VERB ôté_VERB,avez_VERB oté_VERB,avez_VERB voté_VERB
1800,7.231578535993322e-08,0.0,3.144164484325529e-09
1801,3.809892135109294e-08,0.0,2.6193008650921e-08
1802,5.818384352096473e-08,0.0,4.923248297927785e-08
1803,6.241085515057421e-08,0.0,5.655983770225248e-08
1804,5.438072037122765e-08,0.0,5.9324420931261557e-08
1805,4.8328921309348516e-08,0.0,1.7057265822018053e-08
1806,3.7461699520235925e-08,0.0,1.4408345627714425e-08
1807,2.562259560079383e-08,0.0,1.7081731584767113e-08
1808,7.024829073998262e-08,0.0,6.798221985349073e-09
1809,4.743964154840796e-08,0.0,6.7770917766551975e-09
1810,8.658469141664682e-08,0.0,7.020380277111826e-09
1811,3.5099073869560016e-08,0.0,7.521229861140455e-09
1812,6.13457871168066e-08,0.0,5.3344164641089264e-09
1813,2.5881675469463516e-08,0.0,5.751483289628823e-09
1814,5.664018942752591e-08,0.0,9.125363931161701e-08
1815,4.315557688983063e-08,0.0,6.74305908887618e-08
1816,1.1819779643928996e-07,2.3176038865813098e-09,2.3176038865813098e-08
1817,6.694555310104988e-08,1.556873407970727e-09,2.490997452753163e-08
1818,6.199012148044858e-08,0.0,2.1458118837358597e-08
1819,4.5544620519422097e-08,4.140420006848444e-09,2.5877625375869684e-08
1820,9.255855104584043e-08,0.0,6.882559233645225e-08
1821,9.861488337037372e-08,1.97229765852569e-09,9.2697987952306e-08
1822,1.0526896687679255e-07,0.0,4.110502516141423e-08
1823,7.906149335212831e-08,0.0,2.075364236020505e-08
1824,6.82110155025839e-08,0.0,4.6316120716483056e-08
1825,5.459374818883589e-08,0.0,3.610231757988913e-08
1826,4.844391554570393e-08,0.0,5.9013494535520294e-08
1827,4.2399456390285195e-08,0.0,2.027800150017356e-08
1828,9.814362300630819e-08,0.0,1.008953134373769e-07
1829,6.858540757548326e-08,8.57317605795771e-10,1.800366966620004e-08
1830,4.383471008395645e-08,0.0,3.965997663613052e-08
1831,4.989185953263586e-08,0.0,4.677361786775691e-08
1832,8.253281436054749e-08,0.0,8.929779937716376e-08
1833,5.444305273272221e-08,0.0,6.139323005527331e-08
1834,8.401077877806529e-08,3.733812370398937e-09,9.334530659543816e-08
1835,8.092504089063368e-08,7.563087933704082e-10,7.487457054367042e-08
1836,5.107770206791429e-08,0.0,7.728862527756064e-08
1837,5.914207434898344e-08,0.0,9.949783930096601e-08
1838,7.763959075646198e-08,0.0,8.458297173774554e-08
1839,3.355908262392404e-08,0.0,8.040196775027653e-08
