year,aurais_VERB eu_VERB,aurais_VERB vu_VERB
1800,1.0690159513160324e-07,1.8864987794131594e-08
1801,5.714838380299625e-08,4.7623651688866175e-09
1802,2.9091921760482364e-08,1.3427040812530322e-08
1803,4.290746247193056e-08,1.1702034896643454e-08
1804,7.662737999680758e-08,3.213406074564773e-08
1805,4.5486043376286034e-08,2.842877755426798e-08
1806,8.645007198992971e-08,1.152667650217154e-08
1807,8.540865792383556e-09,5.693910054560547e-08
1808,4.985362878073829e-08,2.4926814390369145e-08
1809,1.581321384946932e-08,2.9367397402779716e-08
1810,8.190443878675069e-08,9.360507036149102e-09
1811,4.512738271955641e-08,4.512738271955641e-08
1812,1.1735716043403954e-07,3.7340914360584065e-08
1813,5.7514832008109806e-08,3.163315653864629e-08
1814,1.0069366851439554e-07,6.293354459785405e-08
1815,1.8880564667256294e-08,1.3486118000116676e-08
1816,5.3304887615013286e-08,1.8540831092650478e-08
1817,6.694555310104988e-08,3.7364962679475866e-08
1818,5.364529798157491e-08,8.464036227451288e-08
1819,5.693077653745604e-08,5.4860564091541164e-08
1820,9.137190204455692e-08,4.6279275522920216e-08
1821,1.7060374091215635e-07,7.691961201317099e-08
1822,8.521773509073682e-08,4.3110148340019805e-08
1823,8.400284201570685e-08,4.249555374258307e-08
1824,6.736890156844311e-08,5.221090049190025e-08
1825,5.987701001686219e-08,3.258013947515792e-08
1826,8.543744911548856e-08,2.906634755106552e-08
1827,9.032927295038462e-08,6.083400450052068e-08
1828,7.521286704559316e-08,4.4027046897099353e-08
1829,7.372931065674493e-08,4.372319750700626e-08
1830,1.231546633562175e-07,8.140732177253085e-08
1831,7.795603096383275e-08,9.666548095310645e-08
1832,6.629684889958298e-08,6.22378593106987e-08
1833,1.2973663388038403e-07,9.03523016404506e-08
1834,1.0454674281845655e-07,4.2005389389032644e-08
1835,1.013453783116347e-07,6.277362984974388e-08
1836,8.199315004731034e-08,7.05678786516728e-08
1837,8.697363540477454e-08,2.99189295560609e-08
1838,9.341999884782126e-08,3.7241754569095065e-08
1839,7.341049013120937e-08,3.0063343814390464e-08
1840,9.108654808187566e-08,4.8409635411417185e-08
1841,8.603534951134861e-08,8.475124246842825e-08
1842,8.720744659740376e-08,5.2324466537356784e-08
1843,1.0396163219184018e-07,6.14318764746713e-08
1844,6.037417676907353e-08,3.1833653935109396e-08
1845,8.370341930685754e-08,4.51998474204629e-08
1846,6.381406336686268e-08,4.507965911670908e-08
1847,5.069630049092666e-08,5.069630049092666e-08
1848,5.068489628001771e-08,5.551202875153649e-08
1849,7.792856138166826e-08,3.100383594301093e-08
1850,5.4311968256115506e-08,3.733947906425783e-08
1851,9.41618054639548e-08,4.127640806927957e-08
1852,6.510545347282459e-08,4.427170807730363e-08
1853,6.210809289086683e-08,5.2552998397459305e-08
1854,6.130883889454708e-08,3.792835201466005e-08
1855,6.209116065747367e-08,5.625353338700734e-08
1856,6.316170697573398e-08,3.7793480345271746e-08
1857,6.492407322866711e-08,6.394776619345066e-08
1858,8.417122643322728e-08,6.068158597827278e-08
1859,6.517981887554924e-08,3.8700516569178944e-08
1860,9.383226995396399e-08,4.485640303641958e-08
1861,1.1554111267741973e-07,5.3761986862355116e-08
1862,5.602302977081308e-08,4.608346060308577e-08
1863,1.0938219929812476e-07,4.6449972757045543e-08
1864,9.781245324802512e-08,4.17141343689309e-08
1865,1.1390563514623864e-07,5.554076309977063e-08
1866,7.055138695477581e-08,5.6441109563820646e-08
1867,7.521857980918867e-08,6.890992665375961e-08
1868,7.014621417056333e-08,5.08807040944248e-08
1869,1.1720445769469734e-07,6.348574999037737e-08
1870,7.626285025708057e-08,4.873941605865184e-08
1871,8.072094459521395e-08,3.292564798584863e-08
1872,8.466275147611668e-08,3.8702971494330995e-08
1873,8.14096594581315e-08,3.95076291681562e-08
1874,1.0694550667267322e-07,4.301718448118663e-08
1875,1.0470394329331612e-07,4.748867610260277e-08
1876,8.827181829929032e-08,8.948101992700686e-08
1877,1.0390490956524445e-07,6.679601227688181e-08
1878,8.515115013096874e-08,3.5026715750063886e-08
1879,9.774920783911512e-08,4.826366861720999e-08
1880,9.11334154807264e-08,7.123809098175116e-08
1881,9.203709794292081e-08,4.671580100534811e-08
1882,8.984770261122321e-08,6.05640053663592e-08
1883,9.226234709558412e-08,4.676310894069502e-08
1884,9.836528391815591e-08,5.0833065756705764e-08
1885,7.734762874633816e-08,3.8029249083137984e-08
1886,6.582533274013258e-08,2.9040586824180536e-08
1887,7.377684596576728e-08,4.1785117588233334e-08
1888,8.179392807505792e-08,3.9945874164004636e-08
1889,7.768769449967294e-08,4.322944491264025e-08
1890,8.586246025288347e-08,3.080561583601593e-08
1891,7.266611135037238e-08,4.6531805963923034e-08
1892,7.334159590755007e-08,4.8894396087462155e-08
1893,9.237624709612646e-08,3.571881634911733e-08
1894,7.939939195011902e-08,4.4110773700367645e-08
1895,9.990900196044095e-08,2.7083764564395096e-08
1896,7.84304887702092e-08,3.538217541176891e-08
1897,8.565268672100501e-08,3.204692333724779e-08
1898,6.111023509447477e-08,4.0740154361174064e-08
1899,7.572782578790793e-08,3.427098604902312e-08
1900,9.188163829776386e-08,3.426094963288051e-08
1901,7.712459648701042e-08,2.794369535763508e-08
1902,7.365425602756659e-08,1.9641134940684424e-08
1903,6.75027536090056e-08,3.510143287144274e-08
1904,8.330668777034589e-08,5.0521478556220245e-08
1905,6.863809431933987e-08,3.509316215399849e-08
1906,5.2985100751357095e-08,1.9547901075611662e-08
1907,4.782844342798853e-08,4.011417686911045e-08
1908,7.072399910157401e-08,4.469363901193901e-08
1909,7.646367095048845e-08,5.0609049395689e-08
1910,1.2451870645691088e-07,4.382203400155049e-08
1911,8.086968961151797e-08,2.606983251496331e-08
1912,9.012298818333875e-08,4.219631222213138e-08
1913,6.999946577934679e-08,2.4924052155483878e-08
1914,7.768223042603495e-08,2.4777952134513725e-08
1915,6.597226587246041e-08,3.2986132936230206e-08
1916,5.273981784625903e-08,2.197492321442951e-08
1917,6.031533672512523e-08,3.838248474608008e-08
1918,4.9391417178412667e-08,2.986458014220261e-08
