year,aux_ADP idéaux_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,0.0
1835,4.5378527602224494e-09
1836,0.0
1837,0.0
1838,6.312161904276081e-10
1839,8.38977065598101e-09
1840,0.0
1841,0.0
1842,0.0
1843,5.906911071384968e-10
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,4.180352064508952e-09
1854,5.195664454227256e-10
1855,0.0
1856,0.0
1857,0.0
1858,1.9574704079872163e-09
1859,2.036869339860914e-09
1860,3.204028820036342e-09
1861,0.0
1862,4.517986262886353e-10
1863,0.0
1864,4.794727948009836e-10
1865,0.0
1866,2.432806400776144e-09
1867,0.0
1868,0.0
1869,0.0
1870,5.734048791339319e-10
1871,1.0621177271019633e-09
1872,1.2094678591978436e-09
1873,3.591602570907071e-09
1874,0.0
1875,0.0
1876,6.650616057868319e-09
1877,8.040260901509555e-09
1878,6.039088673581716e-10
1879,0.0
1880,3.2089231272180996e-09
1881,0.0
1882,0.0
1883,6.319338941018771e-10
1884,1.3203393933736152e-09
1885,1.933690763067375e-09
1886,0.0
1887,5.876032105334161e-09
1888,6.340614699951175e-10
1889,0.0
1890,1.3108772956016423e-09
1891,3.1871101313640793e-09
1892,3.761107425503951e-09
1893,4.310891643655168e-09
1894,5.671385139294216e-09
1895,3.0093072478365457e-09
1896,7.076434549446731e-09
1897,1.1653427112179315e-09
1898,3.3950129374460403e-09
1899,5.527578395003729e-10
1900,4.671947717582725e-09
1901,1.956058603980182e-08
1902,9.329538919189417e-09
1903,8.640352433531007e-09
1904,6.987012746151322e-09
1905,1.186974607492175e-08
1906,2.623534101076075e-08
1907,8.228549397415463e-09
1908,3.3397444809679655e-08
1909,4.950885035270858e-09
1910,2.67207544979442e-09
1911,3.777465806820146e-08
1912,1.3023552902780011e-08
1913,2.1742257771961704e-08
1914,7.366418142140674e-09
1915,8.246533234057551e-09
1916,1.538244731591476e-08
1917,2.52227767560953e-08
1918,1.033773866510046e-08
1919,2.1178051312631396e-08
1920,8.329454459499175e-09
1921,1.3630945261411398e-08
1922,1.623145884366295e-08
1923,1.5923921736771263e-08
1924,1.804827398643738e-08
1925,3.299453377181294e-09
1926,1.0031524944054127e-08
1927,7.804457524684949e-09
1928,1.0283437212876834e-08
1929,3.0079096546842266e-08
1930,1.470504518152893e-08
1931,2.3951248095954725e-08
1932,2.520693342944469e-08
1933,7.11181087353907e-08
1934,4.7926320689839486e-08
1935,1.795242710045386e-08
1936,7.1535815493462e-08
1937,8.310137644684801e-08
1938,6.871563584809337e-08
1939,6.72938256229827e-08
1940,1.572185368559076e-07
1941,4.132103725851266e-08
1942,6.371844563091145e-08
1943,6.967764676346633e-08
1944,1.1567470181716999e-07
1945,7.189063211399116e-08
1946,6.821341003160342e-08
1947,9.775114051535638e-08
1948,1.0980606646171509e-07
1949,1.3449300695356214e-07
1950,1.201795782890258e-07
1951,1.140769967378219e-07
1952,1.2337420685071265e-07
1953,8.511323557058859e-08
1954,1.5440606659922196e-07
1955,1.351527600945701e-07
1956,1.482594029766915e-07
1957,1.4224410449514835e-07
1958,1.2739255339511146e-07
1959,1.4648912838310935e-07
1960,1.7025250542701542e-07
1961,2.0427587799076719e-07
1962,1.8962450099024863e-07
1963,2.088535211441922e-07
1964,1.8495263987006183e-07
1965,1.6087807352960226e-07
1966,2.0549967416627624e-07
1967,1.8587364536415407e-07
1968,2.106473999674563e-07
1969,2.025624041834817e-07
1970,1.7889040293539438e-07
1971,1.9474526880003395e-07
1972,2.09822999863718e-07
1973,2.381704007348162e-07
1974,2.5315071638942754e-07
1975,2.2788806575135823e-07
1976,2.633935878293414e-07
1977,3.003035544679733e-07
1978,2.738612749908498e-07
1979,3.1717695492261555e-07
1980,3.37697940722137e-07
1981,4.0103984133565973e-07
1982,3.4389563552394975e-07
1983,3.8649733369311434e-07
1984,4.047707875542983e-07
1985,4.650026426133991e-07
1986,4.615753823600244e-07
1987,4.589223578932433e-07
1988,4.809236315850285e-07
1989,4.802107014256762e-07
1990,5.3832673074794e-07
1991,4.6833108058308426e-07
1992,4.727532143533608e-07
1993,4.780335984833073e-07
1994,4.30433999554225e-07
1995,5.324846483745205e-07
1996,5.535601417250291e-07
1997,5.447000148706138e-07
1998,5.273550982565212e-07
1999,5.063782850811549e-07
2000,5.602063879450725e-07
2001,5.450227718029055e-07
2002,5.542245276046742e-07
2003,5.708684511773754e-07
2004,5.660156716658094e-07
2005,5.814340511278715e-07
2006,6.156245149213646e-07
2007,5.02505542954168e-07
2008,5.223878360993695e-07
2009,5.373752856030478e-07
2010,5.507942546500999e-07
2011,3.640421368800162e-07
2012,3.4995719033759087e-07
2013,2.967628915939713e-07
2014,3.0987521881797875e-07
2015,3.109855413185869e-07
2016,2.5871037223623716e-07
2017,3.0816238449915545e-07
2018,3.0099900527602585e-07
2019,2.522926934034331e-07
