year,nos_DET oies_NOUN,nos_DET voix_NOUN
1800,1.8864987794131594e-08,3.1756060892007554e-07
1801,2.1430643926123594e-08,3.714644947194756e-07
1802,8.951360541686881e-09,2.103569727296417e-07
1803,5.070882025393075e-08,2.0088493624115245e-07
1804,1.4831105232815389e-08,2.1999473176492756e-07
1805,3.41145314219915e-08,3.837884814394954e-07
1806,5.76333825108577e-09,2.5646854151517573e-07
1807,8.540865792383556e-09,1.9074598833768164e-07
1808,4.5321479902327155e-09,2.6286459053892486e-07
1809,4.0662548883574345e-08,1.716863131662194e-07
1810,0.0,2.878355918056741e-07
1811,5.0141535368197765e-09,3.4597660558688403e-07
1812,8.00162425207418e-09,2.347143261971496e-07
1813,0.0,3.2495879986882414e-07
1814,3.1466771410748606e-09,3.870413003426165e-07
1815,0.0,2.2117233178242657e-07
1816,9.270415546325239e-09,2.7347726749837875e-07
1817,2.8023721676539992e-08,4.3125393744958274e-07
1818,4.172412104708201e-08,2.8968460341616264e-07
1819,7.24573512300708e-09,2.877591782635136e-07
1820,1.6613073583471305e-08,3.0378192938940174e-07
1821,8.875339574387908e-09,3.6388891899719056e-07
1822,1.2030739071633434e-08,2.4863527414709097e-07
1823,5.929612023614084e-09,2.8560966214286054e-07
1824,1.1789557774477544e-08,4.791613061883027e-07
1825,3.25801385869795e-08,2.8177419064689957e-07
1826,1.7615968683770689e-09,2.501467424309567e-07
1827,7.373818444733615e-09,2.2213628092515592e-07
1828,3.485474309172787e-08,2.329764514641397e-07
1829,2.5719527840806222e-08,3.0006117057723714e-07
1830,6.262101504006523e-09,2.932750877704393e-07
1831,1.5591206548037917e-08,3.8354366793669215e-07
1832,1.352996914505411e-08,3.815451279365334e-07
1833,2.3167257445777523e-08,3.2549997186492874e-07
1834,1.8669062296083894e-08,2.6136686415156873e-07
1835,1.5882484660778573e-08,3.093302893830696e-07
1836,2.8899224790990274e-08,3.21923928403578e-07
1837,2.574419688539109e-08,1.8647148003481107e-07
1838,1.325553999897977e-08,2.1903202096495988e-07
1839,8.389769878824893e-09,1.9226556169371634e-07
1840,1.2102408852854296e-08,2.5415058324540496e-07
1841,3.017657901338566e-08,2.4590699654325476e-07
1842,1.408735617047796e-08,2.57597372765872e-07
1843,6.497602123012314e-09,2.215091665647151e-07
1844,6.037417454862748e-09,1.942950706990132e-07
1845,5.5802281129224696e-09,2.248831911799698e-07
1846,3.5127007969038004e-09,2.646234582570628e-07
1847,2.3730184928183462e-08,2.5456015251279496e-07
1848,2.011305477722658e-08,2.848008548994585e-07
1849,2.011059585527164e-08,3.4858365438594774e-07
1850,5.431196825611551e-09,2.7155985549143224e-07
1851,1.2898877521649865e-08,2.1670113792282564e-07
1852,1.6276363812295358e-08,1.7773789018349362e-07
1853,1.5527023222716707e-08,1.8811584912015178e-07
1854,8.832629738719788e-09,3.2057249299555224e-07
1855,9.021793090369101e-09,2.8551320241376743e-07
1856,8.28350277259915e-09,2.925112045915057e-07
1857,3.417056471111124e-09,3.0607060708121026e-07
1858,9.29798454896158e-09,3.097697049980752e-07
1859,1.171199848215565e-08,2.673390948615406e-07
1860,1.830873536112776e-09,2.750887588831574e-07
1861,1.1789909493131745e-08,2.796566533902478e-07
1862,3.162590467287174e-09,3.271022146478231e-07
1863,3.496234635136375e-09,2.3924233616412494e-07
1864,7.192092144059359e-09,2.4740796789046726e-07
1865,1.0355057922240007e-08,2.122786852964964e-07
1866,2.919367858567057e-09,2.364687823330769e-07
1867,5.82337378318698e-09,2.576842952350944e-07
1868,1.2843672791973404e-08,1.8079938612913793e-07
1869,1.0255390092694938e-08,2.2366517882232984e-07
1870,4.587239033071455e-09,3.4289610795212866e-07
1871,0.0,2.0605083284053194e-07
1872,5.442605477412599e-09,2.509645788961734e-07
1873,1.1373408437265198e-08,1.5084731508352434e-07
1874,5.974609251779839e-09,1.6430174554216137e-07
1875,2.8607636259891933e-09,3.101067775901356e-07
1876,1.209202959984168e-09,2.4486360494790915e-07
1877,1.2988113695655557e-08,2.1646856396273506e-07
1878,4.831270938865373e-09,1.64867120844292e-07
1879,6.720257905712401e-09,1.9733121325860026e-07
1880,1.7328185109022343e-08,2.034457295962966e-07
1881,2.091752326904839e-09,1.7570718480186542e-07
1882,3.9932310791357395e-09,2.0764801433870161e-07
1883,6.319338829996468e-09,1.687263440075526e-07
1884,8.582206056928499e-09,1.544797054719993e-07
1885,3.86738152613475e-09,1.418039881073696e-07
1886,1.0970888419947755e-08,1.5552847365540856e-07
1887,1.1752063988623718e-08,1.8019832559446058e-07
1888,8.87686035788704e-09,2.0289967306297285e-07
1889,8.14467782106476e-09,2.192797809996705e-07
1890,9.176141124722648e-09,1.4288563221498407e-07
1891,7.649064048820264e-09,1.842149597308662e-07
1892,7.522214851007902e-09,1.7050353839920263e-07
1893,6.158416665513755e-09,1.60734673571028e-07
1894,3.150769645188234e-09,1.8022402237249935e-07
1895,1.083350631425617e-08,1.5467839808991357e-07
1896,2.9485144326102386e-09,1.3268314713599239e-07
1897,6.992056267307589e-09,1.5324257329751845e-07
1898,5.658354784721098e-09,1.7257982731777588e-07
1899,4.4220627160029835e-09,1.4813910453881363e-07
1900,4.671947717582725e-09,1.4638770018393643e-07
1901,3.912117296778206e-09,1.4307171003480335e-07
1902,6.8743973291596205e-09,1.767702189070519e-07
1903,2.214090244478939e-08,1.879276654292994e-07
1904,3.7622376325430196e-09,1.9187411837151558e-07
1905,1.9094808956232612e-08,1.7959441489523442e-07
1906,8.745113411201544e-09,1.7541669450338304e-07
1907,1.1314255032868203e-08,1.7794238260648854e-07
1908,1.964555629285769e-09,1.9154416897038118e-07
1909,5.500983391026892e-09,1.650295118338363e-07
1910,4.275320542035388e-09,1.736848957989423e-07
1911,2.128149656499545e-09,2.2239163932624706e-07
1912,1.0418842455450772e-09,1.9431141140557884e-07
1913,3.71209285532359e-09,1.49014012684745e-07
1914,6.696743715117748e-10,2.3572538587757208e-07
1915,4.712304768617059e-09,2.061633406214014e-07
1916,0.0,2.3732918563723615e-07
1917,7.676497215669542e-09,2.193284860396716e-07
1918,0.0,2.3776799373820268e-07
1919,5.524709134618888e-09,2.7255230961031884e-07
1920,9.086678076641874e-09,1.9006301599233666e-07
