year,moins_ADV eu_VERB,moins_ADV vu_VERB
1800,2.6096566330124915e-07,6.60274537267469e-08
1801,2.7383600809116615e-07,6.667310969987739e-08
1802,1.6112448975036386e-07,3.1329761895904085e-08
1803,2.3014003147636686e-07,8.971560561121805e-08
1804,2.1505103120489366e-07,2.2246657849223084e-08
1805,2.899735136452364e-07,8.24434565060983e-08
1806,2.1612518708025164e-07,2.5935023018064385e-08
1807,1.7651122163897526e-07,1.9928686256776018e-08
1808,2.0621273222332093e-07,1.1330369886763947e-07
1809,3.185232912983338e-07,8.810219043198231e-08
1810,3.697400359214953e-07,7.956430891908894e-08
1811,1.1281845502253418e-07,3.259199843341776e-08
1812,3.6007310200147913e-07,2.9339290108509886e-08
1813,4.3998846877002507e-07,1.0352670187785407e-07
1814,1.3530711839848664e-07,5.97868634599763e-08
1815,2.6702514333010186e-07,2.6972236000233352e-08
1816,2.711596494009427e-07,3.476405652236281e-08
1817,2.771234619558527e-07,7.940054302935096e-08
1818,3.039900207113533e-07,9.656153565629211e-08
1819,3.094963858529809e-07,5.796588098405664e-08
1820,2.480094565271429e-07,8.306536614099969e-08
1821,3.2444296493849833e-07,1.1932401378089708e-07
1822,1.804610860745015e-07,5.6143449000956025e-08
1823,2.401492906756175e-07,8.696764552951208e-08
1824,2.896862838497327e-07,8.000056794799093e-08
1825,2.3686641270614928e-07,4.226612659863349e-08
1826,2.483851631041034e-07,6.253669226907732e-08
1827,2.414925575067173e-07,8.572063592282575e-08
1828,3.6322313690106967e-07,7.521286704559316e-08
1829,2.5290870553362765e-07,8.916103411138465e-08
1830,3.1101771469366213e-07,9.706257486641334e-08
1831,2.68168747652453e-07,7.483778574624012e-08
1832,2.92247335664797e-07,7.982681893281551e-08
1833,2.108220371610514e-07,6.602667923516492e-08
1834,2.7630210297502344e-07,5.0406466556296436e-08
1835,2.3823727701710595e-07,7.789980571715205e-08
1836,2.1775230152343283e-07,6.98957975941994e-08
1837,2.3726407505364477e-07,5.0096815584765864e-08
1838,2.297626906511141e-07,4.607878167917079e-08
1839,2.467990611876303e-07,5.5931799636255164e-08
1840,2.08925783340419e-07,8.471685930544481e-08
1841,2.2343509442634968e-07,6.805781538332667e-08
1842,2.0057711935805855e-07,3.4212153110502186e-08
1843,2.339136813134246e-07,4.4892523476391943e-08
