year,mêmes_ADJ oies_NOUN,mêmes_ADJ voies_NOUN
1800,6.288328968651058e-09,2.641098149069876e-07
1801,2.3811825844433088e-09,2.214499801311831e-07
1802,4.475680270843441e-09,1.9245425164626795e-07
1803,0.0,2.7109715006190527e-07
1804,2.4718509461507665e-09,2.0516363008482585e-07
1805,0.0,1.4782963830839435e-07
1806,0.0,2.852852389878535e-07
1807,0.0,3.501754690660164e-07
1808,2.2660739951163578e-09,4.1469152733952797e-07
1809,0.0,2.5301142159150913e-07
1810,0.0,5.054673692939105e-07
1811,0.0,3.158916683787538e-07
1812,0.0,1.9203899626063503e-07
1813,0.0,1.552900528167811e-07
1814,0.0,3.083743536080874e-07
1815,0.0,2.751168040049379e-07
1816,0.0,3.5691098787538067e-07
1817,0.0,2.1173478614855412e-07
1818,4.768470951432846e-09,2.7895555376744596e-07
1819,0.0,4.0472605178365484e-07
1820,3.5599443393152796e-09,3.3344812777613697e-07
1821,0.0,3.126091883132176e-07
1822,2.0051231786055723e-09,2.7069162911175226e-07
1823,0.0,3.1229291153067607e-07
1824,8.421112696055388e-10,3.5958152011517086e-07
1825,8.805443041381977e-10,2.6768546490529843e-07
1826,1.7615968683770689e-09,4.104520598957606e-07
1827,0.0,3.760647473427525e-07
1828,5.503380862137419e-09,3.5680253063219425e-07
1829,0.0,5.341088922250492e-07
1830,2.0873671680021744e-09,4.2060449345626694e-07
1831,1.5591206103948707e-09,2.5881402621052985e-07
1832,0.0,2.584224034762883e-07
1833,0.0,2.965408896216104e-07
1834,9.334530925997342e-10,2.99638429623883e-07
1835,1.5126175867408165e-09,4.401717319524323e-07
1836,6.720750067579218e-10,4.644038256174099e-07
1837,0.0,3.819882010702713e-07
1838,2.5248647617104325e-09,3.623181044076773e-07
1839,6.9914751765765e-10,4.397637951569777e-07
1840,0.0,3.4205228871542204e-07
1841,0.0,3.627609999057313e-07
1842,0.0,4.092041763215093e-07
1843,0.0,3.443729212904145e-07
1844,0.0,4.5664830850000726e-07
1845,0.0,5.814597443531966e-07
1846,0.0,5.06999811022979e-07
1847,0.0,4.902440196019597e-07
1848,0.0,3.845615879072284e-07
1849,0.0,4.843302008339379e-07
1850,0.0,4.4807373456023925e-07
1851,0.0,3.901910474723991e-07
1852,6.510545436100301e-10,4.251386087616993e-07
1853,1.1943863675867306e-09,4.2938191313623975e-07
1854,1.558699391779328e-09,4.785206897395256e-07
1855,1.0613874223963649e-09,3.491964548629767e-07
1856,5.177189232874468e-10,3.99679009888132e-07
1857,0.0,3.5098051398563257e-07
1858,4.893676019968041e-10,4.0470700923833647e-07
1859,0.0,3.452493615441199e-07
1860,0.0,3.0941762929614924e-07
1861,4.715963730639317e-10,3.650155804280075e-07
1862,0.0,3.614389072481572e-07
1863,0.0,3.9057934486663726e-07
1864,4.794727948009836e-10,4.463891798422992e-07
1865,0.0,2.668780609837995e-07
1866,0.0,3.20157340638616e-07
1867,0.0,3.576521976356162e-07
1868,0.0,3.66538642992964e-07
1869,0.0,3.682173428387614e-07
1870,0.0,3.188131074693956e-07
1871,0.0,3.3987765846177354e-07
1872,0.0,3.150663872020232e-07
1873,0.0,2.9271561174937233e-07
1874,0.0,4.1404041439818684e-07
1875,0.0,2.729168500081869e-07
1876,0.0,3.2527560733797145e-07
1877,0.0,3.0181902843651187e-07
1878,0.0,3.0678569373776554e-07
1879,0.0,2.840836259565549e-07
1880,1.2835692508872398e-09,2.804598864258878e-07
1881,6.972507571312292e-10,2.663497866706166e-07
1882,0.0,2.715397044994461e-07
1883,3.159669414998234e-09,2.4266262244054815e-07
1884,1.3203393933736152e-09,3.05658574006884e-07
1885,0.0,2.745840674833744e-07
1886,0.0,2.503944074305764e-07
1887,0.0,2.5136358772215317e-07
1888,1.268122939990235e-09,2.403093048997107e-07
1889,4.385595886446936e-09,2.9634097131747694e-07
