year,aux_ADP îles_NOUN,aux_ADP iles_NOUN,aux_ADP villes_NOUN
1800,5.2193131949707094e-06,4.496155243671751e-07,1.2388008627794989e-06
1801,4.336133471838366e-06,7.000676796042882e-07,1.7120703112993851e-06
1802,4.0370634053488175e-06,5.326059522303694e-07,2.1662291374013876e-06
1803,3.8363173047173404e-06,3.4521004543819345e-07,1.9659420025242014e-06
1804,4.417197544626106e-06,4.301020488650664e-07,1.4806386878785105e-06
1805,2.1947016293211163e-06,1.9900143732876074e-07,1.6289689064308277e-06
1806,2.7664024031537338e-06,2.766402280585112e-07,1.6598413923318844e-06
1807,2.6448213539254084e-06,3.4448157260058565e-07,1.5914478588285874e-06
1808,5.103198589040403e-06,3.965629673530202e-07,2.3272580609301485e-06
1809,3.8132434099225065e-06,4.111435498721505e-07,2.6453246846358525e-06
1810,3.088967304165635e-06,4.610049728626109e-07,1.202825121282558e-06
1811,3.7004454185307623e-06,3.6352613763668273e-07,2.4469069188626236e-06
1812,1.957730888957343e-06,2.987273219900999e-07,1.5096399152980666e-06
1813,3.6205587292670316e-06,3.5946771603789784e-07,1.325716866062976e-06
1814,2.6872622811424662e-06,5.034683385751748e-07,1.9320598685368395e-06
1815,2.837479147643762e-06,4.2616133177908466e-07,2.395134536925525e-06
1816,5.995641423339748e-06,4.4497993201275676e-07,1.9027528121995374e-06
1817,4.300084135877569e-06,3.580808964898097e-07,1.9694447974671903e-06
1818,3.397535436988619e-06,3.0875849166278613e-07,2.2459498625337915e-06
1819,2.645728361727606e-06,2.69127307106487e-07,2.010173894007039e-06
1820,4.357371722107928e-06,3.809140345367723e-07,1.8096383884724787e-06
1821,2.7799535722294877e-06,2.682324885538989e-07,2.0640095561574867e-06
1822,3.232258649177311e-06,4.3009892181089526e-07,2.716941878588841e-06
1823,3.5627086170109123e-06,4.802986026675171e-07,2.347138075009525e-06
1824,2.878336317735375e-06,3.326339594877936e-07,2.3823328119121356e-06
1825,3.7546408080402216e-06,4.693300967861802e-07,1.788385492140776e-06
1826,4.254256460001216e-06,4.835583506945795e-07,2.408102983686433e-06
1827,3.8426810959890645e-06,5.134020985009258e-07,1.9282535497211484e-06
