year,nos_DET airs_NOUN,nos_DET verres_NOUN
1800,3.772997558826319e-08,1.792173778270012e-07
1801,6.191074786165984e-08,3.095537337571841e-08
1802,4.475680270843441e-09,7.608656460433849e-08
1803,7.021221204439598e-08,1.5602713787643552e-08
1804,8.404293261321527e-08,4.44933170307138e-08
1805,1.8762992382015398e-07,1.9900143755080535e-08
1806,1.2391177506287931e-07,1.7001848107156547e-07
1807,3.131650672116848e-08,5.97860605466849e-08
1808,7.478043961839376e-08,1.2916622438297054e-07
1809,1.8072244145628247e-08,4.292158095609011e-08
1810,6.786367467981336e-08,1.0530570593303423e-07
1811,4.763445815569867e-08,6.267691565753353e-08
1812,2.9339290108509886e-08,9.068507722531649e-08
1813,5.463909147351842e-08,3.1633157648869314e-08
1814,3.461344899591268e-08,2.5173416240420465e-08
1815,8.091670444798638e-09,6.47333635583891e-08
1816,9.270415546325239e-09,2.7811246638975717e-08
1817,8.095742032310227e-08,9.029865888354749e-08
1818,3.099506074022429e-08,6.675859021143538e-08
1819,1.0040518816367694e-07,5.589566853814176e-08
1820,5.93324074316115e-08,5.933240565525466e-09
1821,5.719663320746804e-08,6.705811994578426e-08
1822,5.413832582235045e-08,9.123310462655354e-08
1823,2.8659792761231984e-08,6.62140013929502e-08
1824,3.621078548121659e-08,3.536867421161105e-08
1825,6.95629991387392e-08,1.2767892765275235e-07
1826,4.4039921931471326e-08,6.782147776718261e-08
1827,3.3182182335167454e-08,1.0046827680909587e-07
1828,4.769596628761974e-08,6.879226077671774e-08
1829,3.172075158097698e-08,1.3374155116707698e-07
1830,9.706257486641334e-08,1.4820306692975294e-07
1831,5.1450980143030733e-08,6.080570358335535e-08
1832,3.111892965534935e-08,2.976593194148336e-08
1833,3.8225973497674204e-08,8.687721653188873e-08
1834,8.681113605746305e-08,6.440826672005073e-08
1835,5.52105419160398e-08,1.202530981458949e-07
1836,3.1587525484155776e-08,1.1828520030121581e-07
1837,1.8090515530033713e-08,7.862416850912268e-08
1838,4.86036455527028e-08,1.0415067053237692e-07
1839,5.593180230079042e-08,9.857979677008188e-08
1840,4.58617570586739e-08,7.707323557148982e-08
1841,5.3290552415319326e-08,1.142857626312832e-07
1842,1.8783141708667017e-08,4.695785582597978e-08
1843,3.839492035417891e-08,8.801297302074573e-08
1844,4.390849023261367e-08,1.1965063828611733e-07
1845,1.7298706467272496e-08,1.1662676124846172e-07
1846,4.5665111247927825e-08,1.1357732887518068e-07
1847,2.6426796750911308e-08,3.88312111354594e-08
1848,2.172209789819135e-08,4.424871846708811e-08
1849,2.1786478399121734e-08,4.1059134758825167e-08
1850,2.308258650884909e-08,8.554135177973876e-08
1851,1.1608989325395669e-08,8.255281480629151e-08
1852,3.8412219849348617e-08,5.729280161403949e-08
1853,3.1054046445433414e-08,9.256494548637306e-08
1854,3.273268500691984e-08,5.195664343204953e-08
1855,3.980202833986368e-08,1.0401597094755743e-07
1856,5.539592606851329e-08,5.694908311593139e-08
1857,3.954022459451423e-08,9.128422107096412e-08
1858,4.9426128856389084e-08,9.591604932523978e-08
1859,4.277425569298998e-08,6.21245157539363e-08
1860,1.51047069019139e-08,1.0710610451325486e-07
1861,5.470517772110384e-08,7.121105305429865e-08
1862,3.343309987191567e-08,7.228778375889533e-08
1863,1.9978482868054925e-08,7.64177001677524e-08
1864,2.4453112201783256e-08,6.808513997036414e-08
