year,aurions_VERB omis_VERB
1800,0.0
1801,0.0
1802,4.475680270843441e-09
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,4.27043254092041e-08
1808,6.798221985349073e-09
1809,2.259030518203531e-09
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,0.0
1814,1.8880061958270744e-08
1815,0.0
1816,2.5493642752394408e-08
1817,1.556873407970727e-09
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,9.86148829262845e-10
1822,1.0025615893027862e-09
1823,0.0
1824,2.5263338088166165e-09
1825,0.0
1826,5.284790383086602e-09
1827,6.452091305675367e-09
1828,9.172301251858528e-10
1829,0.0
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,0.0
1834,0.0
1835,3.025235173481633e-09
1836,8.064899859050456e-09
1837,2.7831563720326358e-09
1838,2.5248647617104325e-09
1839,1.4682098203877558e-08
1840,0.0
1841,2.5682194149112547e-09
1842,5.366612043644636e-09
1843,0.0
1844,1.097712254427563e-09
1845,1.1160455892778032e-09
1846,2.3418005312692003e-09
1847,4.853901280910122e-09
1848,0.0
1849,0.0
1850,2.0366988096043315e-09
1851,7.739326512989919e-09
1852,7.161600201754936e-09
1853,1.7915795513800958e-09
1854,5.195664454227256e-10
1855,1.1144567935161831e-08
1856,8.801221973442352e-09
1857,4.881509085841174e-10
1858,6.361778659424999e-09
1859,2.036869339860914e-09
1860,3.204028820036342e-09
1861,9.431927461278633e-10
1862,1.8523744316212287e-08
1863,7.991393324857654e-09
1864,2.8768367688059016e-09
1865,7.0602665935837194e-09
1866,4.865612912574591e-10
1867,1.455843445796745e-09
1868,1.975949626142892e-09
1869,5.371870948067681e-09
1870,4.013834153937523e-09
1871,0.0
1872,6.652073114565837e-09
1873,1.1972008939764578e-09
1874,5.377148060148329e-09
1875,4.005069165202713e-09
1876,1.209202959984168e-09
1877,1.2369631985365004e-09
1878,0.0
1879,6.10932526790009e-10
1880,1.0910338410496934e-08
1881,5.5780060570498335e-09
1882,6.655385131892899e-10
1883,0.0
1884,0.0
1885,0.0
1886,1.936039106809062e-09
1887,6.528924623161458e-10
1888,0.0
1889,6.265136742733546e-10
1890,1.3108772956016423e-09
1891,5.736798147637501e-09
1892,2.820830502514582e-08
1893,2.463366621796581e-09
1894,2.520615716150587e-09
1895,6.018614495673091e-10
1896,2.358811590497112e-09
1897,3.4960281336537946e-09
1898,2.26334195829736e-09
1899,1.1055156790007459e-09
1900,5.191053142894475e-10
1901,5.58873880507349e-09
1902,9.820567692386817e-10
1903,1.0800440541913758e-09
1904,2.1498500757388683e-09
1905,6.708986699521802e-09
1906,1.5432553013283723e-09
1907,8.228549397415463e-09
1908,3.437972351250096e-09
1909,2.2003934230241384e-09
1910,2.67207544979442e-09
1911,0.0
1912,5.209421227725386e-10
1913,2.6514948014977335e-09
1914,0.0
1915,0.0
1916,2.197492410260793e-09
1917,3.289927441585405e-09
