year,petits_ADJ yeux_NOUN,petits_ADJ vieux_NOUN
1800,1.2733866014968953e-06,0.0
1801,2.295460035384167e-06,0.0
1802,1.8484558950149221e-06,0.0
1803,3.093238092333195e-06,0.0
1804,1.4633357068305486e-06,0.0
1805,3.9231713344634045e-07,0.0
1806,2.9681191904273874e-07,0.0
1807,5.978605486234301e-07,0.0
1808,7.478043926312239e-07,0.0
1809,3.7048101830805535e-07,0.0
1810,7.160787731663731e-07,0.0
1811,8.248282483691582e-07,0.0
1812,5.841185952704109e-07,0.0
1813,2.7894694198948855e-07,0.0
1814,2.800542517888971e-07,0.0
1815,1.9420009778059466e-07,0.0
1816,2.0371737718960503e-06,0.0
1817,1.9912411062250612e-06,1.556873407970727e-09
1818,7.176548706411268e-07,1.1921176934492905e-08
1819,6.1692259123447e-07,5.175524897538253e-09
1820,4.995788458472816e-07,0.0
1821,2.7316323780723906e-07,9.86148829262845e-10
1822,4.962680009157339e-07,0.0
1823,3.577532652343507e-07,7.906149623870817e-09
1824,3.1831805813453684e-07,0.0
1825,8.585307114117313e-07,8.805443041381977e-10
1826,3.549617701992247e-07,0.0
1827,3.806733843703114e-07,6.452091305675367e-09
1828,4.815458396478789e-07,1.8344602503717056e-09
1829,6.035515980329365e-07,1.0287811491593857e-08
1830,5.47933893813024e-07,1.0436835840010872e-09
1831,5.301010332914302e-07,0.0
1832,5.736707180403755e-07,0.0
1833,4.96937673233333e-07,0.0
1834,5.302013619257195e-07,0.0
1835,1.1541271760506788e-06,1.5126175867408165e-09
1836,5.020400521971169e-07,1.3441500135158435e-09
1837,5.100134217173036e-07,0.0
1838,5.52314190827019e-07,0.0
1839,6.110549293225631e-07,2.0974426639952526e-09
1840,3.961946219988022e-07,0.0
1841,3.0048167332097364e-07,6.420548537278137e-10
1842,3.957876515414682e-07,0.0
1843,5.009060828342626e-07,2.953455480181333e-09
1844,4.154840951287042e-07,0.0
1845,4.6985519475128967e-07,1.1160455892778032e-09
1846,4.3674580751940084e-07,0.0
1847,2.3676251714732643e-07,5.393223645455691e-10
1848,2.7514658995642094e-07,1.6090443422100975e-09
1849,3.418801384214021e-07,8.379414939696517e-10
1850,3.6117458535045444e-07,3.394498016007219e-09
1851,2.470135029852827e-07,1.2898877521649865e-09
1852,4.2123230059587513e-07,6.510545436100301e-10
1853,5.01642261951929e-07,2.9859659189668264e-09
1854,3.434334132634831e-07,1.0391328908454511e-09
1855,5.6518882729506e-07,5.306937111981824e-10
1856,3.960549861403706e-07,0.0
1857,4.583737052143988e-07,0.0
1858,4.741972077226819e-07,1.761723389392955e-08
1859,4.6186011104509817e-07,0.0
1860,5.37819119017513e-07,4.577183909670879e-10
1861,4.871590704169648e-07,4.715963730639317e-10
1862,5.335741661838256e-07,4.517986262886353e-10
1863,4.21046536303038e-07,1.6482248454963155e-08
1864,4.0179818938668177e-07,0.0
1865,5.304613637235889e-07,1.4120533631256649e-09
1866,4.194158407244686e-07,9.731225825149181e-10
1867,5.299270355862973e-07,9.7056229719783e-10
1868,5.181927917874418e-07,6.915823469455518e-09
1869,5.401172415986366e-07,2.9301114867763545e-09
1870,5.080367486698378e-07,5.734048791339319e-10
1871,4.5246216018313135e-07,5.310588635509816e-09
1872,5.896155812479265e-07,6.047339295989218e-10
1873,5.279655965750862e-07,8.380406590902112e-09
1874,5.269605480862083e-07,1.792382742227261e-09
1875,5.034943910686707e-07,5.721527029933782e-09
1876,4.939594191455399e-07,1.269663130187837e-08
1877,4.997331188860699e-07,1.0514186854493346e-08
1878,4.4206129246049386e-07,6.039088673581716e-10
1879,5.34565970156109e-07,5.498392852132383e-09
1880,4.2742857431221637e-07,7.059631101924424e-09
1881,5.578006039286265e-07,2.7890030285249168e-09
1882,5.716975692848791e-07,3.3276925659464496e-09
1883,6.338296998364967e-07,3.4756364897248204e-08
1884,5.301162673276849e-07,9.242375753615306e-09
1885,6.632558893215901e-07,5.80107206715752e-09
1886,6.130790666247776e-07,1.2906927970846027e-08
1887,6.659503242190112e-07,1.828098916689669e-08
1888,5.712893766940397e-07,1.4583413809887702e-08
1889,5.124882136442466e-07,7.518164202302557e-09
1890,5.466358174999186e-07,3.932631886804927e-09
1891,6.23398705101863e-07,5.099376032546843e-09
1892,5.660466513290885e-07,1.3163876211308434e-08
1893,5.832020519846992e-07,9.853466487186324e-09
1894,7.013613299022836e-07,5.041231432301174e-09
1895,6.831127734585607e-07,1.384281378413732e-08
1896,7.046949690447946e-07,7.076434549446731e-09
