year,ces_DET ânes_NOUN,ces_DET anes_NOUN,ces_DET vannes_NOUN
1800,9.432493897065797e-08,3.144164484325529e-09,3.772997558826319e-08
1801,6.667311414076948e-08,4.524246932646747e-08,2.1430642593855964e-08
1802,5.594600338554301e-08,2.2378401354217203e-09,6.713520406265161e-09
1803,1.404244258651488e-07,1.1702034896643454e-08,0.0
1804,6.426812282356309e-08,2.4718509461507665e-09,2.2246657849223084e-08
1805,2.558589873302708e-08,0.0,1.1371510577617983e-07
1806,1.4408345627714425e-08,2.881669125542885e-09,2.305335300434308e-08
1807,3.9857373401730456e-08,2.8469551160981155e-09,1.7081731584767113e-08
1808,6.345007363961486e-08,2.2660739951163578e-09,4.985362878073829e-08
1809,4.518060991998141e-08,0.0,1.3102376983376018e-07
1810,4.446240797761902e-08,7.020380277111826e-09,4.446240753352981e-08
1811,1.2535383397960231e-08,0.0,2.5070767684098882e-09
1812,5.3344164641089264e-09,0.0,6.934741136888078e-08
1813,8.627224934443234e-09,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,2.697223555614414e-09,0.0,0.0
1816,9.502176112619054e-08,0.0,3.476405652236281e-08
1817,6.538868113636909e-08,1.556873407970727e-09,3.2694341123296056e-08
1818,3.9339884239097955e-08,3.5763532135746345e-09,1.668964877410417e-08
1819,3.1053151161586356e-08,0.0,6.107119432385844e-08
1820,3.9159386844289656e-08,2.3732962262101864e-09,2.3732962262101864e-09
1821,6.508582295339238e-08,9.86148829262845e-10,8.875339574387908e-09
1822,5.012807946513931e-08,0.0,2.90742860897808e-08
1823,1.581229902569703e-08,2.3718449426723964e-08,2.569498569471307e-08
1824,3.621078636939501e-08,8.421112696055388e-10,1.51580028528997e-08
1825,5.459374641247905e-08,0.0,3.6982862106071934e-08
1826,2.4662355713189754e-08,0.0,1.761596823968148e-08
1827,2.027800150017356e-08,0.0,2.7651819833884872e-08
1828,2.4765213879618386e-08,0.0,1.4675682002973645e-08
1829,1.8860987438529264e-08,0.0,2.400489212961432e-08
