year,les_DET ans_NOUN,les_DET vents_NOUN
1800,1.693132617219817e-05,2.3562367914564675e-05
1801,1.832796260714531e-05,1.849464592851291e-05
1802,1.82630137715023e-05,1.9889923351001926e-05
1803,1.89514466910623e-05,1.8645243244463927e-05
1804,1.9670989786391146e-05,2.291405826326809e-05
1805,1.4603862837248016e-05,1.9831915551549173e-05
1806,1.6134465113282204e-05,2.7096335543319583e-05
1807,1.3924457562097814e-05,1.735788487167156e-05
1808,2.0578218027367257e-05,1.777281863724056e-05
1809,2.5804905817494728e-05,1.9664860019474872e-05
1810,1.5220184650388546e-05,1.8618048443386215e-05
1811,1.898358459584415e-05,1.5779540945004555e-05
1812,1.2181139936728869e-05,1.4176211493577284e-05
1813,1.2598624380188994e-05,1.545423606330587e-05
1814,1.43394081533188e-05,1.0015873840529821e-05
1815,1.360209807899082e-05,1.449487990612397e-05
1816,1.250347304448951e-05,1.3615922512144607e-05
1817,1.3660007425642107e-05,1.2223013186485332e-05
1818,1.4607018783863168e-05,1.4405550587071048e-05
1819,1.5006952708063181e-05,1.0814777283485455e-05
1820,1.4165018910716753e-05,1.4521013213197875e-05
1821,1.4544709301844705e-05,1.1426506375755707e-05
1822,1.308543414779706e-05,1.263027093045821e-05
1823,1.2178435099485796e-05,1.0963852901113569e-05
1824,1.1067026207456365e-05,1.3427463727566646e-05
1825,1.3106901860737707e-05,1.365195919333928e-05
1826,1.3817965736961924e-05,1.4479445212600695e-05
1827,1.2623977454495616e-05,1.2134539929320454e-05
1828,1.181117204396287e-05,1.1891888902937353e-05
1829,1.2647149560507387e-05,1.0880218155762122e-05
1830,1.240835445059929e-05,1.1926172419407521e-05
1831,1.045702174451435e-05,1.1590502481340081e-05
1832,1.1064808859373443e-05,1.0224597644992173e-05
1833,1.223231174662942e-05,1.8669334622245515e-05
1834,1.3057141586614307e-05,1.2376654353829508e-05
1835,1.317868100159103e-05,1.2570608532769256e-05
1836,1.1751231795642525e-05,1.1615472089943069e-05
1837,1.2489414075389504e-05,1.2397570117173018e-05
1838,1.424023685103748e-05,1.066818515482737e-05
1839,1.132199486164609e-05,1.042778501414432e-05
1840,1.148263800132554e-05,1.2352100384305231e-05
1841,1.129374504671432e-05,1.124944265029626e-05
1842,1.1474487109808251e-05,1.079494006717141e-05
1843,1.1633661415544339e-05,1.0472362987457018e-05
1844,1.2247724043845665e-05,1.1620381656030077e-05
1845,1.1073404493799899e-05,1.0172755537496414e-05
1846,1.2638697626243811e-05,9.961433875105286e-06
1847,1.2484773833421059e-05,8.660977414365334e-06
1848,1.2595599400810897e-05,9.073400860870606e-06
1849,1.1974183507845737e-05,1.0155850418414047e-05
1850,1.2649257769226097e-05,9.706227501737885e-06
1851,1.1113673281215597e-05,8.106299617338664e-06
1852,1.1776274732255843e-05,8.285320063805557e-06
1853,1.1919975804630667e-05,9.509107258054428e-06
1854,1.1197176718269475e-05,9.505468142378959e-06
1855,1.1140853530378081e-05,9.51162348883372e-06
1856,1.0548523277975619e-05,9.293054290537839e-06
1857,1.0285827556799632e-05,1.0032477121058037e-05
1858,9.45213560044067e-06,1.1069495371884841e-05
1859,9.868123015621677e-06,9.155218549494748e-06
1860,1.0040510460385121e-05,9.102645549319277e-06
1861,9.688475984148681e-06,9.27960223862101e-06
1862,1.0097247468365822e-05,8.027106218833069e-06
1863,1.0330873919883743e-05,1.1104540476480906e-05
1864,9.519452760287095e-06,9.500274359197647e-06
1865,9.946033060259651e-06,8.786266107563279e-06
1866,9.192115612677298e-06,9.644617762205598e-06
1867,9.765797585714608e-06,1.0267578545608558e-05
1868,1.0073391422338318e-05,8.123128850456851e-06
1869,9.157086424238514e-06,8.380607255276118e-06
1870,9.029407010530122e-06,8.763347068452276e-06
1871,8.709364919923246e-06,8.950466167334525e-06
1872,9.156276064459234e-06,1.0410494724055752e-05
1873,8.97002792044077e-06,8.10085992952736e-06
1874,1.0045110684586689e-05,8.249142979366297e-06
1875,9.419922207598574e-06,8.597739110882685e-06
1876,9.910022527037654e-06,9.703249020276417e-06
1877,9.389169463247526e-06,9.154145686807169e-06
1878,9.713874533190392e-06,8.379235509892169e-06
1879,1.0815949281095527e-05,1.0204405725744436e-05
1880,9.620993296266533e-06,8.58836199313373e-06
1881,9.83193331194343e-06,9.101213890971849e-06
1882,1.0076918442791793e-05,8.535531605957658e-06
1883,1.0116629709955305e-05,7.779738155022642e-06
1884,9.628574844100513e-06,8.056050660343317e-06
1885,9.615599083190318e-06,7.79793009542118e-06
1886,9.386562851432245e-06,7.301448874841299e-06
1887,9.400998351338785e-06,7.747221957288275e-06
1888,9.421519280294888e-06,6.8434255240390485e-06
1889,9.19220838113688e-06,6.377909357979661e-06
1890,9.003761078929529e-06,7.087257927196333e-06
