year,diverses_ADJ allées_NOUN,diverses_ADJ vallées_NOUN
1800,1.8864987794131594e-08,1.5720821977538435e-08
1801,2.8574191901498125e-08,2.3811825844433088e-09
1802,1.5664880947952042e-08,3.3567602031325805e-08
1803,1.755305234496518e-08,1.755305234496518e-08
1804,3.213406074564773e-08,0.0
1805,1.9900143755080535e-08,1.421438877713399e-08
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,5.693910232196231e-09,1.1387820464392462e-08
1808,0.0,4.078933102391602e-08
1809,2.259030518203531e-09,7.454800510231507e-08
1810,0.0,4.680253340438867e-08
1811,7.521229861140455e-09,4.512738271955641e-08
1812,5.3344164641089264e-09,3.200649700829672e-08
1813,1.1502966579257645e-08,1.0352670187785407e-07
1814,0.0,6.293354459785405e-08
1815,0.0,2.6972236000233352e-08
1816,1.3905623319487859e-08,6.952811659743929e-09
1817,1.5568733857662664e-08,1.71256075987003e-08
1818,4.768470951432846e-09,2.384235386898581e-08
1819,0.0,1.2421260464634543e-08
1820,1.4239777357261119e-08,2.3732962262101864e-08
1821,6.903041693817613e-09,0.0
1822,2.2056354964661296e-08,2.105379337535851e-08
1823,8.696764552951208e-08,7.214361374963119e-08
1824,5.894778887238772e-09,4.210556348027694e-09
1825,7.044354433105582e-09,7.924898959288385e-09
1826,4.932471142637951e-08,3.699353356978463e-08
1827,2.6730091917670507e-08,1.2904182611350734e-08
1828,3.668920500743411e-09,1.0089530988466322e-08
1829,8.57317605795771e-10,1.800366966620004e-08
1830,1.461157062010443e-08,5.322786122974321e-08
1831,3.1182412207897414e-09,1.7150327380477393e-08
1832,1.0823975493678972e-08,1.488296597074168e-08
1833,1.7375443306377747e-08,5.3284690437749305e-08
1834,4.667265685043276e-09,1.7735608537350345e-08
1835,1.5882484660778573e-08,2.7983425354705105e-08
1836,8.736974699274924e-09,1.6129799718100912e-08
1837,2.99189295560609e-08,4.1051556820548285e-08
1838,6.438405364406208e-08,3.787297231383491e-08
1839,3.216078425793967e-08,2.9364196407755117e-08
1840,7.0066574764382494e-09,2.5478755105723394e-08
1841,3.852329122366882e-09,2.1829865914924085e-08
1842,1.6770663080478698e-08,4.360372329870188e-08
1843,7.088293507706567e-09,3.9576303123567413e-08
1844,4.390849017710252e-09,3.2382512671347286e-08
1845,2.2320911785556063e-09,3.850357188639464e-08
1846,1.7563503984519002e-09,1.6392604607062822e-08
1847,1.4022381478184798e-08,1.6718992412734224e-08
1848,4.02261068899179e-09,3.861706332486392e-08
1849,0.0,4.9438547478075634e-08
1850,8.146795238417326e-09,1.968808760466345e-08
1851,7.739326512989919e-09,2.644269869733762e-08
1852,2.6042181744401205e-09,2.4740073101270355e-08
1853,1.4929829816878737e-08,1.1346670270029335e-08
1854,1.9743524148907454e-08,1.7665259477439577e-08
1855,2.1227748447927297e-09,2.2819829581521844e-08
1856,2.1226476576430287e-08,1.5531567143511893e-08
1857,2.1966791052818735e-08,1.0251168802710708e-08
1858,9.297984604472731e-09,2.4468379322684086e-08
1859,2.5460866748261424e-09,1.1202780925145817e-08
1860,4.57718396518203e-09,1.6020143434047895e-08
1861,1.8863854478468056e-08,1.3204698667834691e-08
1862,1.7620147119146168e-08,3.34330998441601e-08
1863,1.9978483312144135e-09,1.1987090431375691e-08
1864,3.3563094525845827e-09,4.2193605054308136e-08
1865,4.706844358715045e-10,4.471502279557171e-08
1866,1.0217787504984699e-08,3.259960479340407e-08
1867,1.747012134956094e-08,2.232293283555009e-08
1868,5.433861360870651e-09,3.210918109175509e-08
1869,2.9301114867763545e-09,2.9789466893248573e-08
1870,5.160643912205387e-09,3.096386436141074e-08
