year,pouvez_VERB ôter_VERB,pouvez_VERB voter_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,3.333655484993869e-08,2.3811825844433088e-09
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,1.152667650217154e-08,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,4.518061036407062e-09
1810,4.680253518074551e-09,4.680253518074551e-09
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,0.0,0.0
1814,1.8880061958270744e-08,1.8880061958270744e-08
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,2.5493642752394408e-08,6.952811659743929e-09
1817,2.1796227045456362e-08,0.0
1818,4.768470951432846e-09,1.1921177378582115e-09
1819,6.210630232317271e-09,2.070210003424222e-09
1820,8.306536791735653e-09,3.5599443393152796e-09
1821,3.155676253641104e-08,1.7750679148775816e-08
1822,2.105379337535851e-08,0.0
1823,2.9648061783404955e-09,9.882686891060644e-10
1824,1.431589158329416e-08,1.1789557774477544e-08
1825,1.1447076175841175e-08,7.044354433105582e-09
1826,7.927186018719112e-09,5.284790383086602e-09
1827,9.217273055917019e-10,1.2904182611350734e-08
1828,2.7516904310687096e-09,7.337841001486822e-09
1829,2.571952872898464e-09,1.0287811491593857e-08
1830,1.1480519646056564e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628278799551e-08,1.1583628500844156e-09
1834,1.120143711119681e-08,4.667265685043276e-09
1835,1.9664028627630614e-08,7.563087933704082e-09
1836,1.008112526790228e-08,1.008112526790228e-08
1837,2.0873671680021744e-09,1.3915781860163179e-09
1838,6.943378316748294e-09,1.4517972601879592e-08
1839,9.088918062616358e-09,5.5931801412612e-09
1840,5.095750932326837e-09,1.7835128929277744e-08
1841,0.0,4.494383976094696e-09
1842,8.049918065466954e-09,7.379091560011375e-09
1843,1.1813821920725331e-08,4.134837805480629e-09
1844,8.781698035420504e-09,1.5916826967554698e-08
1845,1.1160455670733427e-08,1.2834524554250493e-08
1846,1.2294452567118697e-08,6.439951683034906e-09
1847,7.550513103637968e-09,4.314578916364553e-09
1848,5.63165514222419e-09,1.609044275596716e-08
1849,1.0893239199560867e-08,1.6758828991214614e-08
1850,1.4935791270431764e-08,8.146795238417326e-09
1851,1.9348316726564008e-08,3.2247193804124663e-09
1852,5.859490670445666e-09,0.0
1853,1.1943863675867306e-08,1.0749477752369785e-08
