year,les_DET airs_NOUN
1800,1.3324968762162825e-05
1801,9.998585923653991e-06
1802,9.871112979453756e-06
1803,1.2858586558195384e-05
1804,1.5327947807008968e-05
1805,1.2190259582212093e-05
1806,1.3604359764940455e-05
1807,9.542993836930691e-06
1808,1.1763189775138017e-05
1809,9.46985633731856e-06
1810,1.557588387868236e-05
1811,1.0391833313860843e-05
1812,1.0028703343323286e-05
1813,1.183942828220097e-05
1814,1.101022309057953e-05
1815,8.515134723552364e-06
1816,7.467319932175087e-06
1817,9.496927731333926e-06
1818,1.0029286769963619e-05
1819,9.241417828320664e-06
1820,1.0386730480149708e-05
1821,9.884169799079245e-06
1822,9.61155804191094e-06
1823,8.369647432004967e-06
1824,9.600068523241134e-06
1825,1.0828053007116978e-05
1826,9.133879913747478e-06
1827,6.846590473230663e-06
1828,7.461666939434508e-06
1829,8.055356147451675e-06
1830,9.430724787762301e-06
1831,8.018557679179139e-06
1832,9.112434710800699e-06
1833,1.0465808713888691e-05
1834,8.686714238592685e-06
1835,8.70738324465492e-06
1836,8.332386045140083e-06
1837,7.959827073023007e-06
1838,7.293702950050829e-06
1839,7.055097526631471e-06
1840,6.677344650540817e-06
1841,7.537724059147877e-06
1842,6.920917101638224e-06
1843,7.585655282582593e-06
1844,7.089025793050041e-06
1845,6.053989366705537e-06
1846,5.999107713705598e-06
1847,5.701716169426163e-06
1848,6.272859550904286e-06
1849,6.230932918072085e-06
1850,6.899656739278726e-06
1851,6.306261127519974e-06
1852,6.749482395207451e-06
1853,6.968049916622476e-06
1854,6.6852613400669725e-06
1855,7.634559651137351e-06
1856,6.480805353703545e-06
1857,7.01619282494903e-06
1858,6.3020758886978e-06
1859,6.959473168421937e-06
1860,7.022773090170631e-06
1861,7.099411860167493e-06
1862,6.448973493888843e-06
1863,6.414591609882336e-06
1864,6.506445842546782e-06
1865,5.8444885695507764e-06
1866,5.933615113917767e-06
1867,6.235862642256507e-06
1868,5.725807923795401e-06
1869,5.786481651171016e-06
1870,6.216282130822037e-06
1871,5.228805733281661e-06
1872,5.312587347816589e-06
1873,4.743908711191125e-06
1874,5.086184728497756e-06
1875,5.059546225538725e-06
1876,5.622189149789847e-06
1877,5.453770590690965e-06
1878,5.661645488430622e-06
1879,4.9705468612160075e-06
1880,5.092560776631672e-06
1881,4.6862222120580554e-06
1882,4.654776411427974e-06
1883,4.673151266842979e-06
1884,4.776327870104069e-06
1885,4.115538224880311e-06
1886,4.749103958090473e-06
1887,4.286238905137907e-06
1888,4.136617135941378e-06
1889,4.393740184127637e-06
1890,3.71699246670687e-06
1891,3.5829491729089114e-06
1892,3.7648685022872996e-06
1893,3.584814301405004e-06
1894,3.7456348422892916e-06
1895,3.4932039127966164e-06
1896,3.2740304334311077e-06
1897,3.1312759176671534e-06
1898,3.361628749587453e-06
1899,3.362978596044286e-06
1900,3.5008463044050586e-06
1901,3.4393098715668202e-06
1902,3.139144510555525e-06
1903,3.284413992332702e-06
1904,2.8754244212336744e-06
1905,2.86680175776155e-06
1906,2.9651078818915266e-06
1907,3.1772486011050205e-06
1908,3.5833495246606617e-06
1909,3.83418556992865e-06
1910,4.158283601896073e-06
1911,3.5673109337608366e-06
1912,3.4496786867066476e-06
1913,3.7995920649791515e-06
1914,3.5224870913452833e-06
1915,3.3504486083302254e-06
1916,3.2621775183372392e-06
1917,3.5257055444049e-06
1918,3.842192910497033e-06
1919,3.598427042561525e-06
1920,3.47338261974528e-06
1921,3.3978916675891924e-06
1922,3.2521939488106e-06
1923,3.3121758917786792e-06
1924,3.4781603801548044e-06
1925,3.682189920084511e-06
1926,3.2412969517281454e-06
1927,3.245539367924266e-06
1928,3.1455890976417322e-06
1929,3.111515525233699e-06
1930,3.3779589330151794e-06
1931,2.9756575230521776e-06
1932,2.972226369024611e-06
1933,2.59695791271497e-06
1934,2.801293334186994e-06
1935,2.5468508866310913e-06
1936,3.1948622023492135e-06
1937,2.445195036671066e-06
1938,2.598229063011104e-06
1939,2.720811654199906e-06
1940,2.842612751408069e-06
1941,3.3233918941277807e-06
1942,3.5469934971388284e-06
1943,3.6464634760591252e-06
1944,3.6148344975117652e-06
1945,3.5596755836309057e-06
1946,3.1893250564962727e-06
1947,2.9229974742861486e-06
1948,3.0191232767151632e-06
1949,2.5946352124606165e-06
1950,2.7098902108946277e-06
1951,2.9883909462569136e-06
1952,2.2639694776671604e-06
1953,2.347617026998705e-06
1954,2.7832183491227624e-06
1955,2.5031416512888427e-06
1956,2.667797218691703e-06
1957,2.60545267138923e-06
1958,2.5495054600810363e-06
1959,2.1237049807609765e-06
1960,2.7551836652150996e-06
1961,2.3227696104299866e-06
1962,2.598933818376281e-06
1963,2.8651081862562933e-06
1964,2.677554412855443e-06
1965,2.7135862268323763e-06
1966,2.6227519995813964e-06
1967,3.0997019209166865e-06
1968,3.874295273931239e-06
1969,2.6033354814103404e-06
1970,2.76521328146373e-06
1971,3.0943429010221735e-06
1972,3.6531776146375705e-06
1973,2.7147015728701263e-06
1974,2.1073391138770603e-06
1975,2.064700005632858e-06
1976,2.120289774865114e-06
1977,2.1050632454944207e-06
1978,2.7017809429707995e-06
1979,2.590083479248051e-06
1980,2.4861163652190044e-06
1981,2.3834669704569933e-06
1982,2.230976434702825e-06
1983,2.3897155401186865e-06
1984,2.6808815292156396e-06
1985,2.4356993861829324e-06
1986,2.50089924236363e-06
1987,2.3923847791706976e-06
1988,2.2888845663260327e-06
1989,2.4295917810945866e-06
1990,2.481860441605477e-06
1991,2.812917117012148e-06
1992,2.4552311685965833e-06
1993,2.629461711478598e-06
1994,2.501897675699638e-06
1995,2.6591697732669672e-06
1996,2.4144190717834135e-06
1997,2.427655047654298e-06
1998,2.6777814383649456e-06
1999,2.632435851523951e-06
2000,2.6777688617585227e-06
2001,2.6076973185240604e-06
2002,2.7203005288356508e-06
2003,2.9714327283159037e-06
2004,2.8291974274452514e-06
2005,2.84321721011338e-06
2006,3.0950060931900225e-06
2007,3.3805279358034568e-06
2008,3.5519819263640784e-06
2009,3.661018190825871e-06
2010,4.531534784746327e-06
2011,4.854914891438966e-06
2012,6.316590933863608e-06
2013,7.086329823380311e-06
2014,6.7843399875755495e-06
2015,7.366123313090611e-06
2016,8.214520626381727e-06
2017,7.32973659722802e-06
2018,8.429521308528365e-06
2019,8.10168209142148e-06
