year,trois_DET ans_NOUN,trois_DET vents_NOUN
1800,1.93460442687865e-05,1.2576657937302116e-08
1801,1.921852387454237e-05,4.0480102825313224e-08
1802,1.812650532428961e-05,4.4756802708434407e-08
1803,1.9860304064422962e-05,5.655983770225248e-08
1804,1.925324747276136e-05,1.4831105232815389e-08
1805,1.8291075008392e-05,5.685755422035754e-09
1806,1.8307243692561315e-05,8.645007376628655e-09
1807,2.1013375345546592e-05,0.0
1808,2.1681795999484166e-05,1.5862518409903714e-08
1809,2.4754456489972654e-05,0.0
1810,1.842849906097399e-05,4.44624070894406e-08
1811,2.4130613496708975e-05,1.4541045345595194e-07
1812,1.9804021121672122e-05,1.1735716043403954e-07
1813,2.2189222022461763e-05,4.601186631703058e-08
1814,1.9811480115095037e-05,6.293354282149721e-09
1815,1.827638595841563e-05,1.537417375629957e-07
1816,1.7952158827938547e-05,1.3905623319487859e-08
1817,1.7735900939896965e-05,4.670620157298799e-08
1818,2.3205764250633365e-05,2.026600220972341e-08
1819,2.2830276066088118e-05,0.0
1820,2.1085551111355016e-05,0.0
1821,2.109963963903283e-05,3.8459806006585495e-08
1822,1.938653258548584e-05,5.012807946513931e-09
1823,1.908445744902565e-05,1.680056804787e-08
1824,1.858034329416114e-05,1.1789557774477544e-08
1825,2.2171224827616243e-05,4.226612659863349e-08
1826,2.0900465926843026e-05,1.7615968683770689e-09
1827,2.194909291119984e-05,3.6869092223668076e-09
1828,1.975897180273023e-05,5.503380862137419e-09
1829,2.0981134241537802e-05,8.573175946935407e-09
1830,1.92455246406098e-05,2.0873671680021744e-09
1831,2.031845974670432e-05,4.677361609140007e-09
1832,2.134758483407495e-05,6.764984572527055e-09
1833,2.0980268345738295e-05,1.1583628500844156e-09
1834,2.182319985877257e-05,3.827157613045529e-08
1835,1.990907207982673e-05,6.050470346963266e-09
1836,2.112533366016578e-05,6.048674894287842e-09
1837,2.2794051346863853e-05,6.957891152126194e-09
1838,2.111228877765825e-05,9.468242856414122e-09
1839,2.050669559139351e-05,5.593180252283503e-09
1840,2.202765739411916e-05,1.2102408852854296e-08
1841,2.1867745886083867e-05,1.2841097074556274e-08
