year,vingt - six voix
1800,0.0
1801,3.39947767713511e-08
1802,2.4635042450427136e-08
1803,1.714284536546984e-08
1804,0.0
1805,3.122235137098528e-09
1806,9.479794726985347e-09
1807,3.114948521343308e-09
1808,1.7431036170023617e-08
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,6.294130994177749e-09
1814,2.751503025422153e-08
1815,0.0
1816,2.5331408082251983e-09
1817,0.0
1818,1.0426583152423063e-08
1819,3.6179489626420036e-08
1820,1.2948726535455535e-08
1821,1.1880353589788228e-08
1822,4.714847889886187e-08
1823,2.26713314788185e-08
1824,3.491264521926496e-08
1825,3.459853559206749e-08
1826,3.459812702999443e-08
1827,2.6157701782381082e-08
1828,7.116406663953967e-08
1829,2.1540635941619257e-08
1830,1.3696705103427576e-08
1831,2.3960275541412557e-08
1832,8.895763237148913e-09
1833,2.4080181404428913e-08
1834,5.11437159289585e-09
1835,4.149802723674156e-09
1836,1.762437612518042e-08
1837,2.5050260532566426e-08
1838,1.376448643952699e-08
1839,2.2927736154088052e-08
1840,2.6442449785335498e-08
1841,9.12572772904241e-09
1842,1.393689519346708e-08
1843,1.5490027815978635e-08
1844,1.675512728560591e-08
1845,1.2810849270294966e-08
1846,1.4735190845271973e-08
1847,1.3548379307337655e-08
1848,1.0570819775068685e-08
1849,6.421947862378374e-09
1850,3.789334002135547e-08
1851,2.9645988774973375e-08
1852,1.14136513573726e-08
1853,5.229633615044804e-09
1854,1.5344596371313912e-08
1855,1.512624869803858e-08
1856,1.0775166536802772e-08
1857,3.263315306867298e-08
1858,2.144395061520754e-08
1859,4.515151091899483e-08
1860,3.512587426479641e-08
1861,1.5491531391020885e-08
1862,1.980434038983958e-09
1863,1.0965226948655982e-08
1864,1.2073940958146068e-08
1865,2.6829949373308182e-08
1866,1.4416126459249057e-08
1867,1.703466145919208e-08
1868,1.9475681400926703e-08
1869,1.3929012387947637e-08
1870,1.507989233484608e-08
1871,1.983037378749941e-08
1872,3.1840855285736325e-08
1873,1.836918883668659e-08
1874,1.1143779232725137e-08
1875,2.5776578871372635e-08
1876,1.261757898163296e-08
1877,8.849828425638862e-09
1878,1.0634940372789004e-08
1879,2.2849798497759366e-08
1880,1.130717297570527e-08
1881,8.452832211958139e-09
1882,2.5646716750316045e-08
1883,1.7416523334645717e-08
1884,1.7459621304283246e-08
1885,5.6816671367698746e-09
1886,4.2668775179777185e-09
1887,8.643148863285433e-09
1888,2.795607745298412e-09
1889,1.0371093317473878e-08
1890,1.2289256723363451e-08
1891,2.1784341441843935e-08
1892,3.4585942998432984e-09
1893,9.510118914590748e-09
1894,8.350571789605965e-09
1895,5.977761841080564e-09
1896,9.756531360594067e-09
1897,1.352786682673468e-08
1898,1.0612406953214304e-08
1899,1.2810861704792842e-08
1900,5.736004560219499e-09
1901,7.40081507188961e-09
1902,9.73287406225154e-09
1903,1.0133686778601714e-08
1904,1.187045350903304e-09
1905,3.988527286225008e-09
1906,5.675657277492974e-09
1907,1.7051068113005385e-08
1908,3.797405057071046e-09
1909,6.6726721925647325e-09
1910,1.769507562698891e-08
1911,2.642314633760634e-08
1912,9.771127018609604e-09
1913,1.6968190852395537e-08
1914,0.0
1915,5.195238905741917e-09
1916,4.837344302899282e-09
1917,0.0
1918,5.055078577953509e-09
1919,1.0134946215600849e-08
1920,3.3373506180822687e-09
1921,1.2535439353200672e-08
1922,4.071943227046404e-09
1923,0.0
1924,5.699622551702532e-09
1925,2.6807409625462242e-08
1926,1.111113334673064e-08
1927,7.405608126731522e-09
1928,5.0606603352321144e-09
1929,9.874101536411217e-09
1930,9.300634928877116e-09
1931,5.051418394685925e-09
1932,6.064410307260459e-09
1933,8.88158435685682e-09
1934,2.5220934674052842e-08
1935,1.3263738996016627e-09
1936,6.7111467494385124e-09
1937,8.368554738069633e-09
1938,1.434411112111178e-08
1939,1.0165305042164618e-08
1940,2.2516919884196795e-08
1941,0.0
1942,3.3643954289175326e-09
1943,3.2113727232996325e-09
1944,0.0
1945,1.4417771865282702e-08
1946,4.3112606817885535e-08
1947,9.217479224332692e-09
1948,6.016032561007023e-09
1949,2.163214940509306e-09
1950,1.646786884634821e-08
1951,4.719623802884598e-09
1952,7.008169156108579e-09
1953,2.3816522087827252e-09
1954,5.4033617580273585e-09
1955,5.1939128553613045e-09
1956,6.752823633604521e-09
1957,2.9336328921658605e-09
1958,3.659567315850154e-09
1959,3.4297662487858815e-09
1960,9.184038418652563e-09
1961,6.901316074170438e-09
1962,8.393109318660663e-09
1963,4.279309795407471e-09
1964,4.026787903121942e-09
1965,3.0169315934358565e-09
1966,2.444229929565722e-09
