year,des_DET airs_NOUN,des_DET verres_NOUN
1800,1.9305169658423438e-06,2.4650249663693558e-06
1801,1.514432067750704e-06,1.481095582178682e-06
1802,1.609007057368217e-06,1.1345849770805216e-06
1803,1.7045964781914336e-06,1.0843886109057621e-06
1804,2.031861363605003e-06,6.970619832458169e-07
1805,1.6289689126480766e-06,6.225902458023569e-07
1806,2.4321286673512077e-06,1.7405281269589068e-06
1807,1.6853974180719433e-06,1.261201077795704e-06
1808,1.8400520644945573e-06,1.1670281074849242e-06
1809,1.6468332475483294e-06,9.646059879742097e-07
1810,2.5975406430234216e-06,9.032889387583509e-07
1811,2.2062274780410007e-06,9.752528917772452e-07
1812,1.7150148821087896e-06,1.314933708584931e-06
1813,2.2286997882758897e-06,7.074324201994386e-07
1814,2.0359000529879268e-06,7.457624775497607e-07
1815,1.151714417169103e-06,9.979726733888583e-07
1816,1.3418926556596489e-06,1.068415356186847e-06
1817,1.6627408570002444e-06,7.90891697022289e-07
1818,1.6308170760481744e-06,8.177927455221834e-07
1819,1.495726777989148e-06,4.6786745766524973e-07
1820,1.940169710223927e-06,4.651660487908771e-07
1821,1.4900709235377008e-06,7.080548529714292e-07
1822,1.6903187969319333e-06,4.5416041416501685e-07
1823,1.6691858242268154e-06,5.751723808344877e-07
1824,1.5318003860897988e-06,7.14952456348783e-07
1825,1.7681329573804305e-06,7.290906918200335e-07
1826,1.4621254500468694e-06,6.43863673488454e-07
1827,1.1825761010442193e-06,8.009810343878598e-07
1828,1.3740107824844472e-06,6.851708977961835e-07
1829,1.3717082136821546e-06,7.552968357416034e-07
1830,1.652151127018442e-06,8.464273690833579e-07
1831,1.4437456314908559e-06,7.062816624880952e-07
1832,1.6290083664216581e-06,1.0133947370150054e-06
1833,1.692368128303201e-06,7.761031017849973e-07
1834,1.4617875230271693e-06,6.851545943931114e-07
1835,2.072286044096927e-06,7.283253466994211e-07
1836,1.4785650712667575e-06,7.352500830393183e-07
1837,1.4423708147859315e-06,7.417111937968457e-07
1838,1.5433235649453536e-06,6.520463458059567e-07
1839,1.7059199706181971e-06,8.10311997057056e-07
1840,1.4790416997811917e-06,7.044875687256535e-07
1841,1.596790447422336e-06,8.443021535242679e-07
1842,1.6992035796192795e-06,1.0290478442698259e-06
1843,1.7130041811697083e-06,1.0319373444644953e-06
1844,1.6449218165348611e-06,9.176874637972787e-07
1845,1.343718853519249e-06,8.627032279662217e-07
1846,1.5087050151407766e-06,6.674131611816847e-07
1847,1.3671822181038351e-06,8.817920917891797e-07
1848,1.5519232903216107e-06,6.910845309349156e-07
1849,1.539298523312027e-06,6.737049726979194e-07
1850,1.2220192786571715e-06,9.144777797231995e-07
1851,1.2756989651308004e-06,7.520045341991022e-07
1852,1.5840156546431672e-06,7.578274665576146e-07
1853,1.6166019918273378e-06,8.939981741562519e-07
1854,1.4360816216196781e-06,9.175543436157341e-07
1855,1.7979903113030105e-06,8.73521852184922e-07
1856,1.812533945155792e-06,8.36633786249763e-07
1857,1.770035183312757e-06,7.307619060981096e-07
1858,1.914895452870269e-06,8.656912982019094e-07
1859,1.8591524533206893e-06,7.541508644237638e-07
1860,1.9251635201555928e-06,8.476944692858979e-07
1861,1.9288291834840265e-06,8.375551736605757e-07
1862,1.8026765253864596e-06,9.433555110405223e-07
1863,1.7641001193169359e-06,8.395957777906915e-07
1864,1.7898718951414594e-06,6.98112412322871e-07
1865,1.7490633963390678e-06,8.500560815249969e-07
1866,1.8270376607176786e-06,8.451569488698851e-07
