year,mais_CONJ ôter_VERB,mais_CONJ voter_VERB
1800,9.432493452976587e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,0.0,1.4408345627714425e-08
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,9.036122072814123e-09
1810,7.020380277111826e-09,0.0
1811,0.0,7.521229861140455e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,8.091670666843243e-09,5.394447111228828e-09
1816,1.3905623319487859e-08,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,7.119888678630559e-09,0.0
1821,1.97229765852569e-09,0.0
1822,7.017931125119503e-09,1.0025615893027862e-09
1823,0.0,0.0
1824,4.210556348027694e-09,0.0
1825,7.924898959288385e-09,0.0
1826,2.642395191543301e-09,0.0
1827,5.530363722527909e-09,3.6869092223668076e-09
1828,5.503380751115117e-09,0.0
1829,2.571952872898464e-09,0.0
1830,5.218417920005436e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,0.0,1.1583628500844156e-09
1834,9.334531370086552e-09,0.0
1835,7.563087933704082e-10,7.563087933704082e-10
1836,8.736974865808378e-09,0.0
1837,6.262101948095733e-09,0.0
1838,1.8936485712828244e-09,0.0
1839,6.9914749545318955e-09,6.9914751765765e-10
1840,5.095750932326837e-09,0.0
1841,7.0626033910059505e-09,1.926164561183441e-09
1842,9.391571076378114e-09,3.3541325272778977e-09
1843,2.3627644840651385e-09,1.7720733769266417e-09
1844,1.097712254427563e-09,2.7442806360689076e-09
1845,1.1718478187816572e-08,1.674068439427856e-09
1846,9.367202569166011e-09,0.0
1847,7.011190739092399e-09,6.47186837454683e-09
1848,4.82713291560799e-09,4.82713291560799e-09
1849,8.379414939696517e-09,5.02764896381791e-09
1850,5.431196825611551e-09,1.4935791270431764e-08
1851,1.2898877521649865e-09,1.0319102239364497e-08
1852,1.9531636308300904e-09,0.0
1853,6.569125243771623e-09,1.1943863675867306e-09
1854,6.754363957028886e-09,0.0
1855,4.776243400783642e-09,1.5920811335945473e-09
1856,7.248064815001953e-09,3.6240324075009767e-09
1857,4.881508974818871e-09,4.881509085841174e-10
1858,5.8724113904951025e-09,0.0
1859,1.9859475841599306e-08,0.0
1860,1.602014410018171e-08,4.577183909670879e-10
1861,4.2443675241088386e-09,1.8863854922557266e-09
1862,4.9697850279528666e-09,4.517986429419807e-09
1863,2.9967726078439227e-09,1.8480097452311384e-08
1864,4.315255264231155e-09,9.589455896019672e-10
1865,1.1767110841276462e-08,3.765475597994339e-09
1866,5.838735717134114e-09,4.865612912574591e-10
1867,9.220341823379385e-09,1.455843445796745e-09
1868,5.927848767406374e-09,5.433861360870651e-09
1869,8.30198265688864e-09,4.395167230164532e-09
1870,6.880858549607183e-09,1.1468097582678638e-09
1871,5.3105884134652115e-09,0.0
1872,1.3304146229131675e-08,4.23313739617015e-09
1873,4.788803742439285e-09,8.380406590902112e-09
1874,4.779687201583727e-09,5.377148060148329e-09
1875,4.577221712764867e-09,4.577221712764867e-09
1876,4.836811839936672e-09,2.418405919968336e-09
1877,5.566334504436554e-09,5.566334504436554e-09
1878,4.831270938865373e-09,5.4351798062235446e-09
1879,2.443730107160036e-09,5.498392852132383e-09
1880,7.701415505323439e-09,1.9253538763308597e-09
1881,5.578006168072136e-09,0.0
1882,1.3310770263785798e-09,9.983077253750139e-09
1883,1.2638677882037541e-09,6.319338941018771e-10
1884,3.300848483434038e-09,6.601696966868076e-10
1885,2.578254332252783e-09,1.6114089174124047e-08
1886,3.872078380151578e-09,1.3552274358286098e-08
1887,1.3057849246322917e-09,6.528924734183761e-09
1888,3.1703073499755874e-09,1.268122939990235e-09
1889,1.8795410228200637e-09,1.0024218788373673e-08
1890,1.9663159434024635e-09,6.554386478008212e-10
1891,1.912266012205066e-09,1.9122659011827636e-09
1892,4.387958441043338e-09,5.641661138255927e-09
1893,0.0,3.0792082772457263e-09
1894,0.0,2.520615716150587e-09
1895,0.0,6.018614717717696e-09
1896,1.769108692872834e-09,8.845543852942228e-09
1897,1.7480140668268973e-09,8.157399089547823e-09
1898,1.13167097914868e-09,5.6583548957434e-10
1899,2.2110313580014918e-09,4.9748205555033564e-09
1900,6.22926377147337e-09,6.748368974740515e-09
1901,6.706486699314951e-09,3.353243460679778e-09
1902,4.910284012726862e-09,2.4551419786078554e-09
1903,0.0,3.2401321625741275e-09
1904,1.0749250378694342e-09,1.6123875568041512e-09
1905,0.0,5.676835002077496e-09
1906,2.572092316910357e-09,7.2018581098731715e-09
1907,3.0857059130084963e-09,6.68569621886661e-09
1908,4.4202501658929805e-09,4.911389073214423e-09
1909,1.6502950117569526e-09,1.0451868703853506e-08
1910,2.6720753387721174e-09,3.740905585303267e-09
1911,1.5961122423746588e-09,3.7242617878519013e-09
1912,3.125652625612929e-09,0.0
1913,1.060597942803554e-09,1.060597942803554e-09
1914,0.0,7.366418142140674e-09
1915,5.890381071793627e-09,0.0
1916,0.0,0.0
1917,0.0,4.3865698851064394e-09
1918,1.1486376294556067e-09,0.0
1919,6.4454939163738345e-09,1.8415696745321952e-09
1920,0.0,3.786115865267448e-09
1921,0.0,6.058197998815018e-09
