year,seules_ADJ voies_NOUN
1800,2.5153315874604232e-08
1801,1.4287095950749062e-07
1802,2.2378401354217203e-08
1803,6.826187615160961e-08
1804,2.2246657849223084e-08
1805,4.8328921309348516e-08
1806,1.440834580535011e-07
1807,5.97860605466849e-08
1808,6.798222074166915e-08
1809,1.129515236897305e-08
1810,7.254392642153107e-08
1811,2.0056614147279106e-08
1812,5.867858021701977e-08
1813,4.3136125782439194e-08
1814,1.2272040805783035e-07
1815,2.966945977789237e-08
1816,4.1716869958463576e-08
1817,6.85024303948012e-08
1818,5.126106117359086e-08
1819,8.9019032145643e-08
1820,4.2719332071783356e-08
1821,8.382264837791809e-08
1822,5.714601059025881e-08
1823,3.5577674140085946e-08
1824,6.315834610859383e-08
1825,3.874394849390228e-08
1826,8.807984386294265e-08
1827,4.608636672287503e-08
1828,8.89713192009367e-08
1829,7.715858174606183e-08
1830,5.5315229730013016e-08
1831,1.153749238369528e-07
1832,1.0012177398266431e-07
1833,1.042526562855528e-07
1834,9.801257760955195e-08
1835,7.865611451052246e-08
1836,3.8980349614803345e-08
1837,8.836521203647862e-08
1838,5.3653376852480505e-08
1839,7.970281501457066e-08
1840,7.197748175258312e-08
1841,5.521671653241356e-08
1842,8.921992389332445e-08
1843,9.15571192194875e-08
1844,5.0494762149355665e-08
1845,6.473064217971114e-08
1846,8.02066679739255e-08
1847,8.413428531639511e-08
1848,1.1826475798670799e-07
1849,4.9438547478075634e-08
1850,1.262753244191117e-07
1851,3.740674614505224e-08
1852,6.705861466116403e-08
1853,6.031650912063924e-08
1854,8.468933287986147e-08
1855,9.340209317088011e-08
1856,7.869327589560271e-08
1857,6.394776619345066e-08
1858,7.09583005686909e-08
1859,8.045633848041689e-08
1860,4.622955884769908e-08
1861,5.564837124438782e-08
1862,7.273958146924997e-08
1863,9.739510886674907e-08
1864,7.911300770047092e-08
1865,8.001635620757952e-08
1866,7.784980482483661e-08
1867,8.055667422013357e-08
1868,7.113418831750096e-08
1869,7.911300770047092e-08
1870,7.626285025708057e-08
1871,4.248470730772169e-08
1872,3.38650991693612e-08
1873,5.566984029314881e-08
1874,7.229277088072195e-08
1875,5.2065896483100005e-08
1876,6.650616057868319e-08
1877,5.813727099734933e-08
1878,8.394333406158694e-08
1879,5.315112971970848e-08
1880,7.25216651176197e-08
1881,4.392679642251096e-08
1882,4.45910792734594e-08
1883,5.561018312505439e-08
1884,9.902545627937798e-08
1885,6.767917426486747e-08
1886,8.518572514049083e-08
1887,6.790081386043312e-08
1888,5.326116436776829e-08
1889,7.455512474052739e-08
1890,7.668631951673888e-08
1891,5.673055980537356e-08
1892,6.70730813112641e-08
1893,6.83584246985447e-08
1894,7.498831422481089e-08
1895,6.500103921780465e-08
1896,6.309821287686646e-08
1897,5.5936450138460714e-08
1898,6.450524381307332e-08
1899,5.085372123403431e-08
1900,8.046132649042192e-08
1901,7.936009183140413e-08
1902,7.070809004972034e-08
1903,7.722314876446035e-08
1904,8.545654139879844e-08
1905,7.328277717988385e-08
1906,7.510509192343306e-08
1907,6.942838837176168e-08
1908,7.809108382161867e-08
1909,8.471514689745163e-08
1910,6.573305455503942e-08
1911,7.342116248310049e-08
1912,6.928529927563432e-08
1913,7.742364971363713e-08
1914,6.763711013491047e-08
1915,6.243804051564439e-08
1916,6.812226160946011e-08
1917,6.250861872558744e-08
1918,8.499918635607173e-08
1919,4.6960025201769895e-08
1920,6.057785384427916e-08
1921,6.815472630705699e-08
1922,6.345024416987144e-08
1923,6.157249998750558e-08
1924,5.414482373566898e-08
1925,6.598907020816114e-08
1926,5.015762383209221e-08
1927,4.5711821883287485e-08
1928,9.02657291135256e-08
1929,6.684243913923638e-08
1930,7.562594817045465e-08
1931,7.52753521737759e-08
1932,7.233294496700182e-08
1933,7.11181087353907e-08
1934,6.589868917217245e-08
1935,6.582556011380802e-08
1936,6.66859278908305e-08
1937,6.1696475484041e-08
1938,5.0564334941327616e-08
1939,6.270560959364957e-08
1940,2.5357829613881222e-08
1941,6.493305448884712e-08
1942,6.675266206457309e-08
1943,8.709705667797607e-08
1944,5.7837350908584995e-08
1945,6.535512397931598e-08
1946,1.1554516277101357e-07
1947,8.106191984325051e-08
1948,7.284165093324191e-08
1949,9.522498345404529e-08
1950,6.593923984610228e-08
1951,7.143139413301469e-08
1952,7.803154744578933e-08
1953,6.356557946674002e-08
1954,5.374894840315392e-08
1955,7.039206195713632e-08
1956,5.6687419203171885e-08
1957,6.096176008441034e-08
1958,8.768578396711746e-08
1959,8.680837737529146e-08
1960,7.33608302994071e-08
1961,7.990383465994455e-08
1962,7.356669584623887e-08
1963,1.047500646222943e-07
1964,5.77976990712159e-08
1965,6.840054567192055e-08
1966,5.926809976131153e-08
1967,6.853166212295037e-08
1968,6.961694509755034e-08
1969,7.175977145834622e-08
1970,6.806113361790267e-08
1971,8.786659577708633e-08
1972,7.28480884504279e-08
1973,6.064524171733865e-08
1974,6.525662854528491e-08
1975,7.710498550750344e-08
1976,4.913633233627479e-08
1977,5.994317575641617e-08
1978,5.22772047872877e-08
1979,5.14973663712226e-08
1980,6.537923269434032e-08
1981,6.325549861685431e-08
1982,6.704102162302661e-08
1983,6.315315914662278e-08
1984,5.3930779841948606e-08
1985,6.376491512583016e-08
1986,5.874595743193822e-08
1987,7.821845571243102e-08
1988,7.615623331957977e-08
1989,5.81740948746301e-08
1990,6.592867407562153e-08
1991,6.564840759892832e-08
1992,8.37511535678459e-08
1993,7.145577285427862e-08
1994,6.910153871331204e-08
1995,7.211859553990507e-08
1996,8.807852225345414e-08
1997,6.521056405972558e-08
1998,6.293930709944107e-08
1999,6.718195777466462e-08
2000,8.2617191310419e-08
2001,5.9146358921680076e-08
2002,6.133710428457562e-08
2003,7.042099525733647e-08
2004,6.386947148939726e-08
2005,6.710586575309208e-08
2006,5.60033015517547e-08
2007,6.950394038085506e-08
2008,5.61982034241737e-08
2009,5.72183083136224e-08
2010,5.81026533552631e-08
2011,5.238841538357519e-08
2012,5.208506692611081e-08
2013,4.3789263770577236e-08
2014,4.222617988602906e-08
2015,5.031626315599169e-08
2016,4.4119541797726924e-08
2017,4.25138324544605e-08
2018,4.207790738064432e-08
2019,3.5203630233127114e-08
