year,aviez_VERB eu_VERB,aviez_VERB vu_VERB
1800,2.4524482000742864e-07,2.421006684016902e-07
1801,3.3336556271024165e-07,4.0956339830700017e-07
1802,2.528759353026544e-07,2.506380951672327e-07
1803,1.969842600146876e-07,1.560271414291492e-07
1804,1.3100809326260787e-07,3.9796799455871223e-07
1805,2.6723051860244595e-07,2.2743022043414385e-07
1806,2.305335300434308e-07,3.429186392622796e-07
1807,1.679703558465917e-07,1.508886242618246e-07
1808,2.01680592226694e-07,1.5182695278781466e-07
1809,2.191259653727684e-07,2.3042110797177884e-07
1810,3.603795164508483e-07,2.386929338626942e-07
1811,1.3036799373367103e-07,2.732713539899123e-07
1812,2.453831484672264e-07,2.827240734859515e-07
1813,2.041776525629757e-07,2.3005932803243923e-07
1814,2.0453401816666883e-07,1.7621391634747852e-07
1815,1.5643897199879575e-07,1.348611817775236e-07
1816,2.595716352971067e-07,1.8309070526356663e-07
1817,2.880215674849751e-07,2.740097215792048e-07
1818,2.062363648747123e-07,4.100884893887269e-07
1819,2.4014437371988606e-07,2.0391568966715568e-07
1820,5.767109882981458e-07,2.2190319270976033e-07
1821,4.2404400346640614e-07,4.5165617734710395e-07
1822,2.2958660395033803e-07,3.4287606354155287e-07
1823,2.984571381148271e-07,3.221755946469784e-07
1824,2.0800148092803283e-07,2.576860538283654e-07
1825,2.2101662011664303e-07,2.1661389837390743e-07
1826,2.01702846425178e-07,1.7439809596453415e-07
1827,1.769716391208931e-07,2.368839204791584e-07
1828,2.568244212852733e-07,2.2747306616111018e-07
1829,1.4660130887023115e-07,3.1635019581699453e-07
1830,2.327414421188223e-07,3.2249823789243237e-07
1831,2.5881402621052985e-07,4.038122369820485e-07
1832,2.773643643649848e-07,4.2890002305284725e-07
1833,2.1545548634094303e-07,3.069661431709392e-07
1834,1.5121939611617563e-07,3.0523915484081954e-07
1835,2.3294310835808574e-07,3.494146767479833e-07
1836,1.7272327568207402e-07,3.2259600857287296e-07
1837,3.179756049576099e-07,2.414388120541844e-07
1838,1.666410724965317e-07,2.266066161382696e-07
1839,1.922655741282142e-07,2.1673572803138086e-07
1840,2.2357606610512448e-07,1.6624886711724685e-07
1841,1.9004824025614653e-07,1.95184668427828e-07
1842,2.2808100652582652e-07,1.9923547256439633e-07
1843,2.0201635209105007e-07,2.386392168318707e-07
1844,2.1460274979290261e-07,1.9429506892265636e-07
1845,2.3771771395786345e-07,1.7521915651741438e-07
1846,1.709514378944732e-07,1.60413335947851e-07
1847,1.6125738966366043e-07,1.407631344818583e-07
1848,1.7860392631519062e-07,1.7216774494954734e-07
1849,1.6423653903530067e-07,1.7931948548266519e-07
1850,1.5818361021047167e-07,1.9484419055970648e-07
