year,as_VERB eu_VERB,as_VERB vu_VERB
1800,2.200915076855381e-07,3.0498395631184394e-07
1801,1.619204113012529e-07,2.2383116515811707e-07
1802,1.7231369042747247e-07,2.5735161557349784e-07
1803,1.2677205063482688e-07,3.6276310311222915e-07
1804,1.3842365831351344e-07,3.262843222273659e-07
1805,2.5301611117356515e-07,4.491746778967354e-07
1806,6.916005901302924e-08,2.1324350996110297e-07
1807,1.537355700520493e-07,1.7651122163897526e-07
1808,1.0423940466353088e-07,3.172503681980743e-07
1809,9.93973401364201e-08,1.7394535234416253e-07
1810,1.591286178381779e-07,3.4399863579892553e-07
1811,1.3287507272252697e-07,3.158916683787538e-07
1812,1.6269970615212515e-07,2.9339290108509886e-07
1813,1.0352670187785407e-07,2.7319546802573313e-07
1814,7.552024783308298e-08,2.234140765722259e-07
1815,8.091670622434322e-08,1.4834729711310501e-07
1816,7.879853569647821e-08,1.4137383175238938e-07
1817,1.214361304846534e-07,2.3664475179430156e-07
1818,1.2755660350194375e-07,2.062363648747123e-07
1819,1.35598753558952e-07,2.1840715191956406e-07
1820,1.3053129066520341e-07,2.859821961465059e-07
1821,2.169527419937367e-07,2.7612168196355924e-07
1822,2.546506436829077e-07,4.772193165081262e-07
1823,2.174191138237802e-07,3.567649855540367e-07
1824,2.450543661325355e-07,2.5347549126308877e-07
1825,3.10832149352791e-07,3.0114614446574706e-07
1826,1.418085417981274e-07,3.029946640253911e-07
1827,1.1798109511573784e-07,1.9909309401100472e-07
1828,1.2657775982916064e-07,2.6874843683799554e-07
1829,1.2002446680980938e-07,2.777709084966773e-07
1830,1.5655253093882493e-07,4.122550194551877e-07
1831,2.1204040479005926e-07,3.7574807265627896e-07
1832,2.1512651926514081e-07,3.504262053866114e-07
1833,1.6796261093077192e-07,2.965408896216104e-07
1834,2.4549817112529126e-07,4.4805747734244505e-07
1835,3.0327981903610635e-07,3.441205080889631e-07
1836,3.0646620530205837e-07,3.9181972510959895e-07
1837,2.1708619613036717e-07,4.2164819546997023e-07
1838,1.988331064239901e-07,4.159714706020168e-07
1839,1.8247750688260567e-07,3.2510359915249865e-07
1840,1.840840013755951e-07,2.796293188112031e-07
1841,2.221509731725746e-07,2.5939016268239357e-07
1842,2.743680340699939e-07,3.957876515414682e-07
1843,2.658109963249444e-07,3.130662946659868e-07
1844,2.1130961158633e-07,3.5785419072453806e-07
1845,2.1539679551096924e-07,3.169569424699148e-07
1846,1.6978053452021413e-07,3.2726663334869954e-07
1847,1.5316754797822796e-07,3.333012159600912e-07
1848,1.4240042389701557e-07,3.161772212934011e-07
1849,1.0055298105271504e-07,2.32109798048441e-07
1850,1.575047008373076e-07,3.129727303985419e-07
1851,1.5672135589284153e-07,1.979977639621211e-07
1852,2.0963956615105417e-07,3.359441507200245e-07
1853,1.9767094272538088e-07,3.093460634318035e-07
1854,1.7041779187820794e-07,2.7485066311783157e-07
1855,2.069705544727185e-07,4.5533519710261317e-07
1856,2.2727860482518736e-07,3.903600713783817e-07
1857,2.5969629291466845e-07,3.841747684418806e-07
1858,2.6915216722045443e-07,4.0666446921022725e-07
1859,2.6021007215604186e-07,3.620535267145897e-07
1860,2.842431285898783e-07,4.806042852578685e-07
1861,2.664519627160189e-07,4.1736279854376335e-07
1862,2.3041729946271516e-07,4.2469071104278555e-07
1863,2.9068692697364895e-07,3.581143062092451e-07
1864,3.5624827887659194e-07,4.439918086518446e-07
1865,2.574643929165177e-07,3.431289599120646e-07
1866,2.875577251870709e-07,4.2476801809243625e-07
1867,2.7563970661503845e-07,4.3820887185574975e-07
1868,2.5341554987790005e-07,3.6555067595145374e-07
1869,2.6517508899814857e-07,4.1754088897505426e-07
1870,2.322289702760827e-07,3.474833647487685e-07
1871,3.1544897183266585e-07,2.9102025678184873e-07
1872,3.0962377195464796e-07,3.840060571747017e-07
1873,2.2986256453805254e-07,2.933142297933955e-07
1874,2.820015652105212e-07,3.46527343708658e-07
1875,3.15828287966724e-07,4.090891820851539e-07
1876,2.110059114102114e-07,3.186249841746758e-07
1877,2.4058934400272847e-07,4.057239380017563e-07
1878,2.11972007946315e-07,3.333576898967294e-07
1879,3.4090035683220776e-07,3.861093489376799e-07
1880,2.2462461402028566e-07,2.9457913797159563e-07
1881,2.2660650245143188e-07,3.521116411775438e-07
1882,2.7353632958693197e-07,3.181274053076777e-07
1883,2.4961389044619864e-07,3.0016860819159774e-07
1884,2.970763546272792e-07,4.2184842641290743e-07
1885,2.507352405700658e-07,2.5911455736604694e-07
1886,1.981213415547245e-07,2.6910944939118053e-07
1887,2.428759842132422e-07,2.7160325544173247e-07
1888,2.4918614371927106e-07,3.259075924688659e-07
1889,2.2930400689347152e-07,2.9007583179918583e-07
1890,2.7856142992277455e-07,2.7004071512237715e-07
1891,1.905891764408807e-07,2.600681909825653e-07
1892,2.137562660209369e-07,2.908589635808312e-07
1893,1.866000189920669e-07,2.4633666839690704e-07
1894,2.2370464591858763e-07,2.7978833827546623e-07
1895,2.8106930471949454e-07,2.8287487907618925e-07
1896,2.8954411845916184e-07,3.290542167633248e-07
1897,2.2316312708881014e-07,2.6278479481334216e-07
1898,2.682060085135163e-07,2.919711050708429e-07
1899,2.7306236916047055e-07,3.067806062517775e-07
1900,1.9777912996232772e-07,2.829123957326374e-07
1901,2.0734221095608518e-07,2.369625349274429e-07
1902,2.131063183696824e-07,2.71538709739616e-07
1903,1.9602799739004695e-07,2.808114629715419e-07
1904,2.2519679987453856e-07,2.6281918508175295e-07
1905,2.069464386522668e-07,2.6319870016777713e-07
1906,2.0525295951756561e-07,3.1739617156745226e-07
1907,2.4994218961182924e-07,3.101134495864244e-07
1908,2.9861246275686426e-07,2.8289599640629604e-07
1909,2.8770145377166045e-07,3.1960715318746225e-07
1910,3.1797696919966256e-07,3.537827808486327e-07
1911,2.5112166213148157e-07,3.1656225019105477e-07
1912,2.484893855125847e-07,3.255888145758945e-07
1913,2.2060437743220973e-07,3.6272450643082266e-07
1914,2.089384025794061e-07,3.555970806701225e-07
1915,1.9673872486691835e-07,2.8980673505429877e-07
1916,2.0766303521213558e-07,2.647978476488788e-07
1917,2.1055535626146593e-07,2.971900983084197e-07
1918,1.9526839878380997e-07,3.216185291421425e-07
1919,2.384832669122261e-07,3.8765040244470583e-07
1920,2.6351366955168487e-07,3.354498687713203e-07
1921,2.506579335204151e-07,4.1877294165715284e-07
1922,3.2905592206589063e-07,4.441517091891001e-07
1923,2.8450742206587165e-07,4.0340603391086916e-07
1924,3.416280378587544e-07,4.39604406210492e-07
1925,3.134480834887654e-07,4.839198481931817e-07
1926,3.5444719514998724e-07,5.662238322656776e-07
1927,4.6269283870969957e-07,5.596911023530993e-07
1928,3.6906112654833123e-07,4.787511329595873e-07
1929,3.219577422441944e-07,4.6121283503453014e-07
1930,3.770793739477085e-07,4.169930605257832e-07
1931,2.7144747605234443e-07,4.0717122828937136e-07
1932,3.6276065884521813e-07,4.613964961208694e-07
1933,3.0167842623995966e-07,3.750906500954443e-07
1934,3.258989806909085e-07,4.624889982096647e-07
1935,2.9920710176156717e-07,4.811250278180523e-07
1936,3.103926928815781e-07,4.231525281284121e-07
1937,2.581179217031604e-07,4.3061623955509276e-07
1938,3.1116513810047763e-07,5.445390343084e-07
1939,3.1658683496971207e-07,4.481156850033585e-07
1940,2.0032685199566913e-07,4.2347573980805464e-07
1941,3.6598632391360297e-07,5.076584557173192e-07
1942,3.3679751254567236e-07,4.5513175450651033e-07
1943,3.135494068828848e-07,6.329052553155634e-07
1944,3.373845345322479e-07,5.783734877695679e-07
1945,4.966989308741177e-07,8.605090897617629e-07
1946,4.176331174221559e-07,7.350342912104679e-07
1947,4.4584058400687354e-07,7.319414976336702e-07
1948,4.5770647716381063e-07,6.316566896202858e-07
1949,3.524305896007718e-07,6.017826308379881e-07
1950,5.28577459135704e-07,7.583012688883173e-07
1951,4.0086871422317927e-07,6.428825258808502e-07
1952,3.237254873056372e-07,6.337427294056397e-07
1953,3.835482687009062e-07,6.173403335196781e-07
1954,4.896040763924248e-07,7.368492447312747e-07
1955,3.557145475951984e-07,6.250814976738184e-07
1956,4.1163787045661593e-07,7.072845846778364e-07
1957,3.640035401986097e-07,7.527452225986053e-07
1958,4.4008334043610375e-07,7.627008358213061e-07
1959,4.286163459710224e-07,5.991328180243727e-07
1960,3.7856958101656346e-07,6.920833470758225e-07
1961,3.696420662890887e-07,6.746662393197767e-07
1962,4.6042603685236827e-07,6.640028118454211e-07
1963,4.209400685795117e-07,8.121363066493359e-07
1964,4.033670961689495e-07,7.288593906196184e-07
1965,3.649852828857547e-07,6.26548967375129e-07
1966,3.938282020499173e-07,6.674584938082262e-07
1967,3.682960709738836e-07,6.941912715774379e-07
1968,3.745840899682662e-07,6.490095643130189e-07
1969,3.7742006497865077e-07,6.054162895452464e-07
1970,3.168521516272449e-07,5.017208764002135e-07
1971,3.5968781730844057e-07,5.873188229088555e-07
1972,2.7138477776134096e-07,4.6017416366339603e-07
1973,3.3079223271670344e-07,5.937720288784476e-07
1974,3.139068951441004e-07,5.45680450159125e-07
1975,2.6501268735046324e-07,5.265984555080649e-07
1976,2.58251418472355e-07,5.633537512039766e-07
1977,3.138201520869188e-07,5.565312335420458e-07
1978,2.7504938771016896e-07,5.928710038460849e-07
1979,3.429256310027995e-07,5.998272740725952e-07
1980,3.558904211331537e-07,6.429905283766857e-07
1981,3.5676100651471643e-07,6.724059176121955e-07
1982,3.0975436970948067e-07,7.157250365708023e-07
1983,3.479739234535373e-07,6.378469379342278e-07
1984,3.3576259284018306e-07,6.819633995291952e-07
1985,3.783786155509006e-07,7.158513994909299e-07
1986,3.7285698795130884e-07,7.151421073103847e-07
1987,3.0309652743198967e-07,6.654679509665584e-07
1988,3.6459047692005697e-07,6.914026471349644e-07
1989,3.5672795206664887e-07,7.244321409416443e-07
1990,3.6288014371166355e-07,6.838056947344739e-07
1991,3.3410350397389266e-07,7.02789691331418e-07
1992,3.300456512533856e-07,6.997628929639177e-07
1993,3.7278866216183815e-07,6.86307828345889e-07
1994,3.27572934111231e-07,7.253024136844033e-07
1995,3.6709991491079563e-07,7.792061751388246e-07
1996,3.36833608116649e-07,6.555177378686494e-07
1997,3.763992140193295e-07,7.259470180542849e-07
1998,3.4902706147477147e-07,7.209411592157267e-07
1999,3.190000370523194e-07,6.526247489091475e-07
2000,3.251671216730756e-07,7.356022706517251e-07
2001,3.662693188744015e-07,7.154519039431761e-07
2002,4.2278787759642e-07,8.20164643755561e-07
2003,4.487775981942832e-07,8.142167189362226e-07
2004,3.8630020071650506e-07,8.813987051325967e-07
2005,4.0668859924153367e-07,8.147283097059699e-07
2006,4.5749757759949716e-07,9.57409383772756e-07
2007,8.356450962310191e-07,1.444403778805281e-06
2008,9.779339507076656e-07,1.489678197685862e-06
2009,1.0790419082695735e-06,1.7132115317508578e-06
2010,1.5583792674078722e-06,2.5598235424695304e-06
2011,1.6825476905069081e-06,3.0098483421170386e-06
2012,2.037785634456668e-06,3.887997081619687e-06
2013,2.258354470541235e-06,4.104197614651639e-06
2014,2.4614614630991127e-06,4.443493708095048e-06
2015,2.4847809072525706e-06,4.237205303070368e-06
2016,2.4893365662137512e-06,4.236097538523609e-06
2017,2.871821834560251e-06,5.026442977396073e-06
2018,2.9501002245524433e-06,5.2282443903095555e-06
2019,2.803025381581392e-06,4.912181793770287e-06
