year,voulez_VERB ôter_VERB,voulez_VERB voter_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,9.751696339321825e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,2.4275012222574333e-08,0.0
1816,1.622322720606917e-08,0.0
1817,1.8682481339737933e-08,0.0
1818,1.7881765401739358e-08,1.1921177378582115e-09
1819,1.449147024601416e-08,0.0
1820,8.306536791735653e-09,0.0
1821,1.97229765852569e-09,9.86148829262845e-10
1822,8.02049271442229e-09,0.0
1823,9.882686891060644e-10,0.0
1824,2.105278085196005e-08,0.0
1825,3.522177216552791e-09,8.805443041381977e-10
1826,7.0463874735082754e-09,1.145037931138404e-08
1827,4.608636583469661e-09,2.7651818612639545e-09
1828,1.834460228167245e-08,9.172301251858528e-10
1829,1.8860987438529264e-08,0.0
1830,1.3567886369969528e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.352996914505411e-08,0.0
1833,1.9692167896323554e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,1.4369867074037757e-08,3.025235173481633e-09
1836,2.688300071440608e-08,0.0
1837,1.1132625488130543e-08,0.0
1838,4.418513555037862e-09,0.0
1839,4.194885327990505e-09,0.0
1840,3.184844388215424e-08,0.0
1841,1.733548060656176e-08,0.0
1842,4.024959032733477e-09,6.708265054555795e-10
1843,4.7255288571079745e-09,4.134837805480629e-09
1844,8.232841963717874e-09,2.195424508855126e-09
1845,6.696273757711424e-09,1.1160455892778032e-09
1846,5.269050973311096e-09,1.7563503984519002e-09
1847,6.47186837454683e-09,4.853901280910122e-09
1848,8.04522137798358e-09,3.298540818263973e-08
1849,5.865590679832167e-09,2.513824526317876e-08
