year,ces_DET ivres_ADJ,ces_DET vivres_NOUN
1800,0.0,7.860410988769218e-08
1801,0.0,1.4287095506659853e-08
1802,0.0,6.489736392722989e-08
1803,0.0,7.801356960435157e-08
1804,0.0,8.651478111687538e-08
1805,0.0,9.381496779425902e-08
1806,0.0,5.187004603612877e-08
1807,0.0,8.825560815495237e-08
1808,0.0,4.5321479902327155e-08
1809,0.0,1.581321384946932e-08
1810,0.0,1.6380887757350138e-08
1811,0.0,1.0279014883707305e-07
1812,0.0,7.468182872116813e-08
1813,0.0,1.4378708002027452e-08
1814,0.0,1.4789382518642924e-07
1815,8.091670444798638e-09,1.2946673422220556e-07
1816,0.0,4.4034472068688046e-08
1817,0.0,5.916118794857539e-08
1818,0.0,7.748765185056072e-08
1819,0.0,9.833497571776206e-08
1820,0.0,9.611849982604781e-08
1821,0.0,3.3529059417780616e-08
1822,0.0,5.714601059025881e-08
1823,1.9765373782121287e-09,1.1661570908927388e-07
1824,8.421112696055388e-10,6.652679029883757e-08
1825,0.0,2.465524118200335e-07
1826,0.0,1.0921900628346748e-07
1827,0.0,1.0876381884017405e-07
1828,0.0,1.3299836609803606e-07
1829,0.0,7.372931420945861e-08
1830,0.0,7.723258477199124e-08
1831,0.0,4.989185953263586e-08
1832,0.0,5.411987658021644e-08
1833,0.0,1.2278646277508187e-07
1834,0.0,8.027696551948793e-08
1835,0.0,6.126101226300307e-08
1836,0.0,8.669767215252477e-08
1837,6.957890930081589e-10,1.0993468002595819e-07
1838,0.0,9.152635094267225e-08
1839,0.0,7.690622716438611e-08
1840,6.369688665408546e-10,1.1465439619939843e-07
1841,6.420548537278137e-10,6.805781493923746e-08
1842,6.708265054555795e-10,3.354132527277898e-08
1843,0.0,9.332919148619112e-08
1844,0.0,4.884819415629238e-08
1845,0.0,4.9664030221663324e-08
1846,1.1709002656346001e-09,8.196301592988675e-08
1847,0.0,7.981970995274423e-08
1848,8.045221711050488e-10,1.2952807182387005e-07
1849,0.0,3.0165893560862855e-08
1850,0.0,7.875235574772432e-08
1851,0.0,1.0706068298560467e-07
1852,0.0,4.036538103768805e-08
