year,autres_ADJ îles_NOUN,autres_ADJ iles_NOUN,autres_ADJ villes_NOUN
1800,1.2765307246809243e-06,7.54599476238127e-08,4.948914920532843e-06
1801,1.7835058088166988e-06,9.048493798680113e-08,5.19097784490441e-06
1802,1.2733310086332494e-06,5.147032311469957e-08,6.069022674637381e-06
1803,1.2365151178528322e-06,1.1702035251914822e-07,7.376183020824101e-06
1804,1.579512741045619e-06,1.1617699291477379e-07,6.2513108787243254e-06
1805,7.050336989777861e-07,3.4114532976303735e-08,6.0269007917668205e-06
1806,8.702641025593039e-07,3.45800286183362e-08,5.806563422083855e-06
1807,1.2014151025141473e-06,6.832692100999793e-08,9.164348739432171e-06
1808,1.6723626004022663e-06,9.51751069067086e-08,8.275702384707984e-06
1809,1.185991006735776e-06,6.325285539787728e-08,8.586574949731585e-06
1810,4.984469796909252e-07,3.978215445954447e-08,5.635025445371866e-06
1811,8.549131962354295e-07,1.42903374467096e-07,9.173393664241303e-06
1812,6.241266987672134e-07,7.201462359773814e-08,7.617546543770004e-06
1813,1.0036338835561764e-06,5.176334849643638e-08,6.11382665738347e-06
1814,5.915753149565717e-07,1.8880063290538374e-08,8.036613508011214e-06
1815,7.363420309047797e-07,1.8880565111345504e-08,7.00199234415777e-06
1816,1.3233518529887078e-06,2.5493642752394408e-08,4.720959168480476e-06
1817,1.0244226587019511e-06,7.78436682891126e-08,6.1839009504183196e-06
1818,6.950046416154265e-07,3.9339885127276375e-08,6.338490038615419e-06
1819,7.214682113954041e-07,2.587762526484738e-08,8.660723324283026e-06
1820,1.1095160061813658e-06,3.44127952800477e-08,7.0391965891758446e-06
1821,6.617058829760936e-07,4.7335143804616564e-08,6.624947673117276e-06
1822,8.31123543321155e-07,4.3110148340019805e-08,6.738216598023428e-06
1823,5.652896675201191e-07,4.941343512143703e-08,6.972235496505164e-06
1824,7.739002727547017e-07,5.052667439997549e-08,6.601310360565549e-06
1825,8.400392630392162e-07,3.25801385869795e-08,7.282982096512569e-06
1826,9.750439176059444e-07,6.077509029367434e-08,9.561947990732733e-06
1827,9.696570941741811e-07,9.770309250534126e-08,6.6392017288308125e-06
1828,8.869615157891531e-07,6.420610765278667e-08,6.1656210164073855e-06
1829,9.439066843697219e-07,1.0459274896179593e-07,6.71622592562926e-06
1830,8.579078780712734e-07,4.905312778191728e-08,7.949737664603163e-06
1831,6.454759500229557e-07,4.5214498811674275e-08,6.3206748563970905e-06
1832,7.035583848846727e-07,8.929779504729396e-08,5.922067430219613e-06
1833,2.2518572677654447e-06,2.4904800355329826e-07,7.808524060237687e-06
1834,1.0361329714214662e-06,7.280933922437782e-08,7.224926775961649e-06
1835,7.472331162716728e-07,8.848812882433776e-08,7.206866484921193e-06
1836,8.636163936759367e-07,7.056787687531596e-08,8.666407666169107e-06
1837,8.405132234656776e-07,1.0019362850499647e-07,8.592299309384543e-06
1838,5.093914379195041e-07,9.846972859328673e-08,9.493491234024987e-06
1839,7.362023135559781e-07,1.090670168624186e-07,7.600432581966743e-06
1840,5.293211415846599e-07,8.344292251605268e-08,8.160208381013945e-06
1841,6.773678449256693e-07,9.374000908835001e-08,6.2555404838349205e-06
1842,5.702025478449002e-07,7.043678396101427e-08,6.804193162679439e-06
1843,6.39718450656801e-07,9.923610377882142e-08,6.4379423747595865e-06
