year,trois_DET airs_NOUN,trois_DET verres_NOUN
1800,4.087413785214267e-08,4.27606380526413e-07
1801,8.096020565062645e-08,3.905139465132379e-07
1802,1.7902721083373763e-08,4.6770858830313955e-07
1803,2.145373123596528e-08,2.6134546260436764e-07
1804,1.1123329102247226e-07,2.125791809248767e-07
1805,0.0,3.0134503203882446e-07
1806,1.613734639249742e-07,1.0950342410609437e-07
1807,2.2775641372874134e-08,2.619198653519561e-07
1808,1.5862518409903714e-08,1.3143228727585665e-07
1809,8.132509776714869e-08,1.7620438086396462e-07
1810,2.106114083133548e-08,3.205973655440175e-07
1811,8.524060923775778e-08,2.1059445032278745e-07
1812,7.20146218213813e-08,1.9470620316042186e-07
1813,1.552900432688631e-07,3.077043686516845e-07
1814,4.090680105761635e-08,2.2026739543434815e-07
1815,1.0788894222457657e-08,3.290612720086017e-07
1816,1.3905623319487859e-08,1.5527946573001827e-07
1817,1.5568734412774177e-08,2.98919690444599e-07
1818,1.1921177378582115e-08,2.3365508150519076e-07
1819,2.5877625819958894e-08,1.3559875533530885e-07
1820,3.441279616822612e-08,1.091716228529549e-07
1821,4.5362847478358503e-08,1.6764529675583617e-07
1822,3.308453244699194e-08,9.925359734097583e-08
1823,7.906149623870817e-09,1.8381797417532653e-07
1824,3.452656205382709e-08,1.456852531944719e-07
1825,1.8491430608946757e-08,1.0830694763264148e-07
1826,2.2019961409824873e-08,2.52789146060195e-07
1827,1.1982455361270183e-08,1.1152900714073155e-07
1828,1.7427372434042354e-08,2.5223828448162067e-07
1829,4.972442174677738e-08,1.5603180775203285e-07
1830,5.0096812920230605e-08,2.2543565902921614e-07
1831,4.989186042081428e-08,1.808579952466971e-07
1832,3.5177921020590475e-08,2.489514285830552e-07
1833,4.2859427118457916e-08,2.1082204426647877e-07
1834,2.0535967593104942e-08,2.1376075332035782e-07
1835,3.327758690829796e-08,1.921024335160837e-07
1836,2.419469957715137e-08,1.0484369816765593e-07
1837,1.87863058442872e-08,2.233482976343737e-07
1838,1.704283669745621e-08,1.7674053154337344e-07
1839,4.824117816326634e-08,1.8527409029189812e-07
1840,2.9300568360479673e-08,1.1975014468923462e-07
1841,2.8892467973662406e-08,2.041734368241066e-07
1842,2.68330611064016e-08,1.5898587601981262e-07
1843,1.8311423488626133e-08,1.5003553788250912e-07
1844,1.866110915793584e-08,1.4380030899374674e-07
1845,1.3950569588416784e-08,1.2834523754889915e-07
1846,1.2294452567118697e-08,2.1837290020698674e-07
1847,2.6966118227278457e-08,9.222412522547074e-08
1848,2.654923214606697e-08,1.118285806178676e-07
1849,2.011059585527164e-08,2.2205448946266415e-07
1850,2.5798184921654865e-08,1.6293590299198968e-07
1851,5.0305621446256055e-08,2.0960675861658729e-07
1852,3.971432693816723e-08,1.5169571399020754e-07
1853,1.7318602552052198e-08,2.1797551430502438e-07
1854,2.1821789930598356e-08,1.3664597919849086e-07
1855,2.865746040470185e-08,1.236516347091765e-07
1856,2.536822751864065e-08,1.7343583946782815e-07
1857,2.2454941239757886e-08,1.723172673440132e-07
1858,2.0553438895287712e-08,1.3212925864536373e-07
1859,1.6804171831807935e-08,1.4156242134077957e-07
1860,2.883625790928157e-08,1.9636119663601903e-07
1861,3.065376513733398e-08,1.2167186236311522e-07
1862,2.936691112509493e-08,1.0436548336656415e-07
1863,1.7481173175681874e-08,1.0238972747433905e-07
1864,2.205574833880064e-08,1.491160346311915e-07
1865,1.788600795249451e-08,1.7132913998629817e-07
1866,1.5569961597794446e-08,1.201806416606388e-07
1867,3.930777303651212e-08,1.790687420566428e-07
1868,1.4819621863004784e-08,1.585699580530786e-07
1869,1.2697150109097777e-08,1.6945812053581477e-07
1870,2.752343331025031e-08,1.6514060874328607e-07
1871,1.0621176826930423e-08,1.4126165481798125e-07
1872,1.0885210954825197e-08,1.8625805697780606e-07
1873,1.8556614689302364e-08,2.0232695197019979e-07
1874,1.0156835816843568e-08,1.4219569233198115e-07
1875,3.2612703648737806e-08,1.4647109014553905e-07
1876,1.9951849505872588e-08,1.1668808452824919e-07
1877,2.1646856307455664e-08,1.6513459077938109e-07
1878,5.555961629655215e-08,9.541759904418967e-08
1879,2.443730195977878e-08,1.441800714374608e-07
1880,3.1447447090826586e-08,1.4504332712661494e-07
1881,1.8128519574389657e-08,1.5967042932274467e-07
1882,3.5273542087210785e-08,1.7902986337858806e-07
1883,3.47563645641813e-08,1.415531981630025e-07
1884,2.178560087884307e-08,1.5778055484361175e-07
1885,1.740321664556177e-08,1.5985176743393836e-07
1886,2.0651084398082276e-08,1.7553421827187776e-07
1887,1.1099172247952538e-08,1.9978509158136148e-07
1888,2.4094335415725254e-08,1.394935256193719e-07
1889,1.37833008340138e-08,1.37833012003874e-07
1890,2.1629475988049762e-08,1.2191158305085992e-07
1891,1.593555043477579e-08,1.2620955924802502e-07
1892,1.4417578020342603e-08,1.3351931427152408e-07
1893,1.0469308309168923e-08,1.1639406954921938e-07
1894,1.8274464830270176e-08,1.1342770989131168e-07
1895,2.7083765896662726e-08,1.3180765900955294e-07
1896,1.120435499935013e-08,1.0378770931573911e-07
1897,1.514945524583311e-08,1.281876991221509e-07
1898,2.4896761985360172e-08,1.1203542893412077e-07
1899,1.492446166651007e-08,1.0668226124721514e-07
1900,1.193942211763499e-08,1.1160763957462905e-07
1901,1.6207343245255856e-08,1.1904013819119541e-07
