year,grandes_ADJ allées_NOUN,grandes_ADJ vallées_NOUN
1800,1.8550569791386806e-07,1.603523855919775e-07
1801,2.0478169915350009e-07,1.0000967165524344e-07
1802,1.1189200677108602e-07,1.7007585029205075e-07
1803,2.4184205926758295e-07,4.115215688216267e-07
1804,2.4224138428508013e-07,3.534746895184071e-07
1805,1.7910129201936797e-07,1.7625842474444653e-07
1806,2.305335300434308e-07,3.602086451337527e-07
1807,8.256169792275614e-08,9.964342950752325e-08
1808,3.172503681980743e-07,2.5380029455845943e-07
1809,3.1174621994978224e-07,2.552704359004565e-07
1810,7.956430891908894e-08,2.1529166360778618e-07
1811,1.0780430415024966e-07,2.582289084784861e-07
1812,9.868670503010435e-08,2.2404549326893175e-07
1813,9.777521370324394e-08,1.0352670187785407e-07
1814,1.5733385794192145e-07,1.604805390797992e-07
1815,2.966945977789237e-08,2.3196122356239357e-07
1816,1.2515060632267705e-07,4.055806925862271e-07
1817,1.401186011662503e-07,1.6814232139950036e-07
1818,1.5735953695639182e-07,1.7524131123991538e-07
1819,7.349245834120666e-08,2.2254756970596645e-07
1820,7.831877724129299e-08,2.3970292772901303e-07
1821,6.7058117281249e-08,6.114122896860863e-08
1822,5.413832582235045e-08,2.0652768739637395e-07
1823,1.4922856905741355e-07,1.591112521737159e-07
1824,6.315834610859383e-08,8.42111234078402e-08
1825,8.805442774928451e-08,1.725866809465515e-07
1826,6.34174881497529e-08,1.8584846372959873e-07
1827,9.032927295038462e-08,1.3272872934066982e-07
1828,4.861319524707142e-08,2.623278021474107e-07
1829,5.058173968564006e-08,3.5407217069405306e-07
1830,9.184415716845251e-08,2.536150986998109e-07
1831,5.76874619184764e-08,3.4300654760954785e-07
1832,8.38858085216998e-08,2.232444984429094e-07
1833,1.2741990929043823e-07,3.915266404419526e-07
1834,9.894602470694736e-08,2.8096937398913724e-07
1835,4.61348363955949e-08,3.010109139722772e-07
1836,8.199315004731034e-08,3.1318694482251885e-07
1837,4.87052354003481e-08,2.0873672212928795e-07
1838,9.783850885014544e-08,3.1497688723902684e-07
1839,4.824117993962318e-08,2.726675347730634e-07
1840,5.923810419972142e-08,2.2739789073966676e-07
1841,4.8154113585496816e-08,3.4927785463878536e-07
1842,7.848669980603518e-08,2.2741018312899541e-07
1843,7.560846171372759e-08,2.451368175115931e-07
1844,7.79375710635577e-08,2.2557986767424154e-07
1845,9.653794563746487e-08,2.8235953664079716e-07
1846,6.498496674112175e-08,1.8207498442279757e-07
1847,3.937053350000497e-08,2.960879896818369e-07
1848,5.792559676365272e-08,5.712107622457552e-07
1849,7.373885324568619e-08,2.81548352631944e-07
1850,6.721106160512136e-08,2.0570658421092958e-07
1851,5.611011744122152e-08,1.8961350178869907e-07
1852,4.492276417522589e-08,2.389370195032825e-07
1853,6.031650912063924e-08,2.0125409605498135e-07
1854,5.0917510208137173e-08,2.3952011929395667e-07
1855,1.1144567935161831e-07,2.0590915994489478e-07
1856,8.128186834710505e-08,1.6515234335656714e-07
1857,5.9554409403972386e-08,1.7671062835233897e-07
1858,7.34051397444091e-08,2.476199938428181e-07
1859,5.29586046127406e-08,1.7669842122813861e-07
1860,8.37624654081992e-08,1.4326585073831666e-07
1861,6.083593007133459e-08,1.4666646563910035e-07
1862,1.6490649556999415e-07,2.1912232739396131e-07
1863,1.1537574096109893e-07,2.617181280584191e-07
1864,8.486668434670719e-08,2.6802530328495777e-07
1865,1.0307989128932604e-07,2.621712269501586e-07
1866,7.152451075853605e-08,1.761351882123563e-07
1867,7.424801395927716e-08,2.2614101169438072e-07
1868,7.064019769131846e-08,2.4155983169293904e-07
1869,7.862465878361036e-08,2.4905946816033975e-07
1870,7.912987598501786e-08,2.4083004745989456e-07
1871,9.877695106297324e-08,1.4975860551658116e-07
1872,6.77301983387224e-08,2.388699158473173e-07
1873,5.926144552859114e-08,3.0947643381296075e-07
1874,7.587753714233259e-08,1.941748024592016e-07
1875,7.15190893174622e-08,2.1627371893373493e-07
1876,7.799359025284502e-08,2.841626951521903e-07
1877,5.133397351642088e-08,2.473926485890843e-07
1878,8.756678226973236e-08,3.019544294602383e-07
1879,9.591640548478608e-08,3.2684889106349146e-07
1880,7.444701566328149e-08,2.573556230345275e-07
1881,1.2062437804161164e-07,2.768085494153638e-07
1882,9.517200538766701e-08,2.655498576586979e-07
1883,9.163041170268116e-08,2.028507850582173e-07
1884,7.790002598540013e-08,1.954102231138677e-07
1885,6.123353557541122e-08,2.0174839221454022e-07
1886,1.1487165352264128e-07,1.684354060671467e-07
1887,6.202478175509896e-08,1.9586774158142362e-07
1888,7.291706793921549e-08,1.9529093719938828e-07
1889,6.828999232766364e-08,2.499789673038322e-07
1890,5.767860145056147e-08,2.457894936469529e-07
1891,1.0772431835448515e-07,1.9823824004561175e-07
1892,9.026658176480851e-08,2.990080361087166e-07
1893,7.636436549773862e-08,2.592693419956049e-07
1894,7.624862519151065e-08,2.1677294625987997e-07
1895,7.463081885816791e-08,1.7634540938615828e-07
1896,8.078929880639407e-08,2.8777500915566634e-07
1897,8.040864685199267e-08,2.2141512090456672e-07
1898,6.167606869666997e-08,2.370850751276521e-07
1899,7.130576307190495e-08,2.017566060885656e-07
1900,6.02162160134867e-08,3.1042497994349105e-07
1901,5.197527030986748e-08,2.498166224995657e-07
1902,4.910283735171106e-08,2.725207650655648e-07
1903,4.644189388613995e-08,2.3166944629338104e-07
1904,8.00819179858081e-08,2.0638560727093136e-07
1905,4.902721073563043e-08,2.554575644353463e-07
1906,6.584556189181967e-08,2.602957351882651e-07
1907,7.765693510464189e-08,2.3657079850636364e-07
1908,6.139236319313568e-08,2.470428626111243e-07
1909,8.086446001698278e-08,2.1233796587694087e-07
1910,7.428369741546703e-08,2.8591205136763165e-07
1911,5.479985532019782e-08,2.692109433155565e-07
1912,5.3136098188133474e-08,2.385914967817371e-07
1913,8.166604459347582e-08,2.465890247549396e-07
1914,8.638799187110635e-08,2.310376601144526e-07
1915,5.654765544704787e-08,4.5120319214220217e-07
1916,2.5271162940043723e-08,2.2084799411459244e-07
1917,6.250861872558744e-08,4.1343420775774575e-07
1918,9.763419939190499e-08,2.2857888382077363e-07
1919,7.734592344377234e-08,2.826809577527456e-07
1920,5.7548959375708364e-08,2.0672192135862133e-07
1921,5.2251955651172466e-08,2.3702699536443106e-07
1922,4.574319945049865e-08,2.043688169806046e-07
1923,4.0340601970001444e-08,2.2399650845272845e-07
1924,6.574728672603669e-08,2.39784213817984e-07
1925,7.368779364469447e-08,4.597238500991807e-07
1926,7.244990030130793e-08,2.741950027029816e-07
1927,9.476841000832792e-08,2.1072034428470943e-07
1928,5.3702393643106916e-08,2.399468712610542e-07
1929,5.3473950600846365e-08,2.261502487499456e-07
1930,5.2518018378577835e-08,3.875829577282275e-07
