year,leurs_DET yeux_NOUN,leurs_DET vieux_NOUN
1800,1.0740466251490943e-05,9.432493897065797e-09
1801,1.024384789616306e-05,2.3811825844433088e-09
1802,7.946570548256204e-06,6.713520406265161e-09
1803,1.0498676260795037e-05,7.801356893821776e-09
1804,1.033728096899722e-05,4.943701892301533e-09
1805,1.027984586698949e-05,1.9900143755080535e-08
1806,7.451996168583719e-06,2.881669125542885e-09
1807,8.02271915745223e-06,2.8469551160981155e-09
1808,8.926065618197754e-06,1.5862518409903714e-08
1809,8.376485482131102e-06,2.259030518203531e-09
1810,9.985320929217778e-06,2.574139479349924e-08
1811,6.721472885828916e-06,5.0141535368197765e-09
1812,7.113444510764566e-06,5.3344164641089264e-09
1813,8.31376901544445e-06,2.8757416448144113e-09
1814,9.156830358847401e-06,0.0
1815,8.072789967172866e-06,5.394447111228828e-09
1816,8.790671245151316e-06,4.6352077731626196e-09
1817,1.0283148526468722e-05,1.556873407970727e-09
1818,9.175729900334773e-06,5.9605886892910576e-09
1819,9.754829648045416e-06,1.1386155129855524e-08
1820,9.826632734188934e-06,1.542642635854463e-08
1821,9.192879701913625e-06,1.2819934336327776e-08
1822,8.40748123209778e-06,4.712039469723095e-08
1823,8.466498243819842e-06,5.929612023614084e-09
1824,9.613542275133113e-06,6.736890156844311e-09
1825,9.519564883930798e-06,1.6730341556581152e-08
1826,8.734877809501995e-06,2.2019960965735663e-08
1827,7.2798020767095295e-06,2.488663675137559e-08
1828,9.146618481281621e-06,3.6689205562545624e-09
1829,9.318184652329364e-06,1.1145129263923081e-08
1830,8.576992001962935e-06,1.5655253093882493e-08
1831,7.870440725810113e-06,1.7150327380477393e-08
1832,8.343931952481398e-06,5.411987746839486e-09
1833,9.226359793501615e-06,1.853380560135065e-08
1834,8.95181514692922e-06,1.4935249481595747e-08
1835,9.263270442261273e-06,1.0588323107185715e-08
1836,8.980266670732817e-06,4.032449929525228e-09
1837,8.490018785778375e-06,2.2961039292113128e-08
1838,8.090298337037893e-06,1.5780404538645598e-08
1839,8.287694811315305e-06,1.2584655095793096e-08
1840,8.452577262119121e-06,1.0191501864653674e-08
1841,8.721030951619468e-06,8.346713542550788e-09
1842,8.422227054438736e-06,1.0733224087289273e-08
1843,9.030485969674373e-06,1.063243981747064e-08
1844,9.118695260212917e-06,3.293136707771538e-09
1845,8.36811022963957e-06,8.37034175305007e-09
1846,8.638316558062797e-06,1.7563503984519002e-09
1847,8.179363419458241e-06,1.294373674909366e-08
1848,7.890753423112074e-06,5.63165514222419e-09
1849,7.73168618195541e-06,1.0893239199560867e-08
1850,7.745565369532414e-06,4.752297222410107e-09
1851,7.294960269632611e-06,7.094382414862821e-09
1852,7.82242054242488e-06,7.812654523320361e-09
1853,8.30158214171206e-06,2.20961471342207e-08
1854,8.458021838464447e-06,4.1565315633818045e-09
1855,8.224160481518084e-06,1.4328730202350926e-08
1856,8.066578587317963e-06,1.5531567143511893e-09
1857,7.992007056145667e-06,1.269192401176511e-08
1858,8.165587900066384e-06,3.8170671956549995e-08
1859,8.537028293176263e-06,5.601390462572908e-09
1860,8.88797563902699e-06,1.9224173142262657e-08
1861,8.756129787457212e-06,1.0375120318428799e-08
1862,7.839158200795282e-06,1.536115412648087e-08
1863,8.164207002891999e-06,2.8469339163894603e-08
1864,8.509203453854752e-06,7.671564716815737e-09
1865,8.362179642062983e-06,1.1296426905005319e-08
1866,8.004906277392365e-06,1.2650593461671633e-08
1867,7.3918024128261095e-06,9.220341823379385e-09
1868,7.550103731546187e-06,8.891773206620712e-09
1869,7.761376906501027e-06,1.855737197242746e-08
1870,7.282815261078213e-06,1.6055335727571673e-08
1871,7.0811388184210955e-06,2.1242354542039266e-09
1872,7.467859489906914e-06,1.9351485747165498e-08
1873,7.043133066986229e-06,1.7359413462259e-08
1874,6.366543686908699e-06,1.1351757756017378e-08
1875,6.796029879296839e-06,9.154443425529735e-09
1876,6.749166416852859e-06,7.859819239897092e-09
1877,6.6536250500348615e-06,8.658742500777805e-09
1878,6.413512053882187e-06,1.1474268646338714e-08
1879,6.677492692119813e-06,1.3440515367335593e-08
1880,6.399876184559616e-06,5.134277003548959e-09
1881,6.363110401252925e-06,1.324776466304911e-08
1882,6.184849425494576e-06,6.655385131892899e-09
1883,5.791674183797113e-06,1.2006744043446815e-08
1884,6.037912243073151e-06,9.242375753615306e-09
1885,5.879709007672318e-06,2.0626034269444204e-08
1886,5.900402200609278e-06,1.0970888975059268e-08
1887,5.84534640779566e-06,1.697520346510828e-08
1888,5.872677220963851e-06,1.2047167707862627e-08
1889,6.139834027862889e-06,9.397705447167226e-09
1890,5.6479147900745374e-06,1.1797895993481688e-08
1891,5.562781623780211e-06,4.461953917456185e-09
1892,5.774553642368119e-06,8.149066088591894e-09
1893,5.517325249115856e-06,1.1085149687062312e-08
1894,5.934159446496778e-06,1.0082463308691558e-08
1895,5.800740495942591e-06,1.625025980445116e-08
1896,5.898208428334328e-06,1.179405750839635e-08
1897,6.150679041638796e-06,8.157399200570126e-09
1898,5.574045587763976e-06,1.0185038590293516e-08
1899,5.669084544024372e-06,1.1607914629507832e-08
1900,5.670706372029599e-06,2.0245106924221545e-08
1901,5.618359139702989e-06,1.0059729937950124e-08
1902,4.809131809224709e-06,1.718599307309887e-08
1903,5.350538046400288e-06,1.5660638563730345e-08
1904,5.377849745968888e-06,7.524475265086039e-09
1905,5.29803500626258e-06,9.805441791854719e-09
1906,5.6514010111641255e-06,5.144184633820714e-09
1907,5.253414613548557e-06,1.542852956504248e-08
1908,5.508122782771352e-06,7.858222517143076e-09
1909,5.658861624624478e-06,1.265226234892225e-08
