year,avais_VERB eu_VERB,avais_VERB vu_VERB
1800,1.320549074534938e-07,2.483890000348765e-07
1801,5.9529565277216534e-08,1.6668278135512082e-07
1802,1.0741632650024258e-07,1.991677720525331e-07
1803,5.070882025393075e-08,1.5407680109547073e-07
1804,1.8291696335381857e-07,4.671798308208963e-07
1805,1.051864728651708e-07,1.8762992226584174e-07
1806,1.9019016406218725e-07,2.881669161070022e-07
1807,9.964342950752325e-08,1.8789903322158352e-07
1808,9.744118045773575e-08,1.5862518409903714e-07
1809,1.5587310997489112e-07,2.3042110797177884e-07
1810,1.8018975822542416e-07,2.503935547792935e-07
1811,1.0279014617253779e-07,1.8301660986708157e-07
1812,1.1735716043403954e-07,1.8670458246106136e-07
1813,1.4091133948568313e-07,2.9620139230246423e-07
1814,1.541871768040437e-07,1.8250727862323401e-07
1815,1.9150287755564932e-07,2.3735567822313897e-07
1816,6.257530316133852e-08,3.4068776244566834e-07
1817,1.9149543106777855e-07,3.222727968932304e-07
1818,1.6928072454902576e-07,4.720786250800302e-07
1819,6.314140676977331e-08,2.98110251151229e-07
1820,1.4239776646718383e-07,3.061552149574709e-07
1821,2.1793889004584344e-07,4.812406473320152e-07
1822,2.666813827545411e-07,4.962680009157339e-07
1823,2.1346603773508832e-07,4.051901498769439e-07
1824,2.4168593881768174e-07,4.842139560423675e-07
1825,1.2767893053933221e-07,4.6580794332840014e-07
1826,1.4621254251778737e-07,3.1796824373486743e-07
1827,1.769716391208931e-07,4.737678409583168e-07
1828,2.1463185362335935e-07,4.1275356466030644e-07
1829,2.5976723350140674e-07,7.364358225459e-07
1830,3.0162456710058905e-07,7.963305961311562e-07
1831,1.2784788339104125e-07,6.517124120364315e-07
1832,1.7994858581005246e-07,6.79204447351367e-07
1833,2.884323464513727e-07,8.235959967350936e-07
1834,2.4176435431400023e-07,5.040646442466823e-07
1835,2.3521204184362432e-07,7.328632136704982e-07
1836,1.4852857077585213e-07,5.584943210124038e-07
1837,2.3239356039539416e-07,4.905313062408823e-07
1838,1.5843527023662318e-07,4.027159263841895e-07
1839,1.587064843988628e-07,4.5724246433564986e-07
1840,1.9554944685751252e-07,4.541587941275793e-07
1841,1.5024083666048682e-07,5.528092401618778e-07
1842,2.0594373495441687e-07,5.091573029858409e-07
1843,1.890211507316053e-07,4.731435865323874e-07
1844,1.531308555513533e-07,4.110932252388011e-07
1845,1.4229581779545697e-07,3.9229001913554384e-07
1846,1.299699334822435e-07,3.9810609564483457e-07
1847,1.5424619448367594e-07,2.9285203595463827e-07
1848,1.5527277241744741e-07,4.038701320041582e-07
1849,1.1814974953949786e-07,3.5277335541650245e-07
1850,2.0570658421092958e-07,3.9647736116421584e-07
1851,1.883236109279096e-07,4.5662025627279945e-07
1852,1.386746220077839e-07,3.795647955939785e-07
1853,1.409375869343421e-07,3.1830396096665936e-07
1854,1.3093074358039303e-07,3.3460079862379644e-07
1855,1.6610712805231742e-07,4.5321243646867515e-07
1856,1.7861303547306306e-07,4.260826642621396e-07
1857,1.8403289914203924e-07,4.4714622049468744e-07
1858,1.888958962581455e-07,4.927931627207727e-07
1859,1.7109702810103045e-07,5.58102215109102e-07
1860,2.5128738911917026e-07,5.694016635970911e-07
1861,2.1882071621348587e-07,4.300958948988409e-07
1862,2.2544750777342415e-07,4.1565473907212436e-07
1863,1.8579989102818217e-07,5.109496896693599e-07
1864,2.2295485280210414e-07,4.674859610531712e-07
1865,2.0145293433415645e-07,4.90923866891535e-07
1866,1.761351882123563e-07,4.432573348367441e-07
1867,2.309938338385109e-07,4.4160583456687164e-07
