year,nos_DET oeufs_NOUN,nos_DET voeux_NOUN
1800,0.0,2.0122652699683385e-07
1801,0.0,2.0716288862132615e-07
1802,0.0,2.3721105435470236e-07
1803,1.950339223455444e-09,2.2038833513704503e-07
1804,2.4718509461507665e-09,2.2741028327111223e-07
1805,0.0,2.0468718942012742e-07
1806,0.0,3.3139194766107494e-07
1807,0.0,1.9074598789359243e-07
1808,0.0,1.8355198783126525e-07
1809,0.0,2.2138498589896471e-07
1810,0.0,1.9891077585043604e-07
1811,0.0,1.679741430393733e-07
1812,0.0,2.2671270372143226e-07
1813,0.0,2.0705339887072682e-07
1814,0.0,5.664019031570433e-07
1815,0.0,2.454473477797592e-07
1816,0.0,2.966533081405487e-07
1817,0.0,1.6969920135778693e-07
1818,0.0,1.096748336593123e-07
1819,0.0,9.729986771844779e-08
1820,0.0,1.542642538154837e-07
1821,0.0,1.2819934780416986e-07
1822,1.0025615893027862e-09,1.443688688596012e-07
1823,0.0,1.1068609051534395e-07
1824,1.6842225392110777e-09,1.2126401927048391e-07
1825,4.4027217427355936e-09,8.012952967817455e-08
1826,0.0,8.807984641645561e-08
1827,0.0,8.572063714407108e-08
1828,0.0,1.1098484264948638e-07
1829,0.0,1.0716470244531706e-07
1830,0.0,7.514521782603367e-08
1831,0.0,1.075793230054245e-07
1832,0.0,1.2041673036478073e-07
1833,0.0,8.340212187540885e-08
1834,0.0,1.0641365300045891e-07
1835,0.0,8.773182003096736e-08
1836,0.0,6.451920198102812e-08
1837,0.0,8.906100701366881e-08
1838,6.312161904276081e-10,5.9334322344284374e-08
1839,0.0,1.0836786312751201e-07
1840,1.2739377330817092e-09,7.45253556644343e-08
1841,0.0,7.576247584850648e-08
1842,0.0,1.0129480099152488e-07
1843,1.1813822142769936e-09,1.1577545899754682e-07
1844,0.0,4.116421076227894e-08
1845,1.1160455892778032e-09,6.194053270291988e-08
1846,1.1709002656346001e-09,5.85450128376408e-08
1847,0.0,4.0988501481820094e-08
1848,0.0,6.275272768085927e-08
1849,1.6758829879393033e-09,4.8600607982507427e-08
1850,0.0,7.943125535092577e-08
1851,4.514607354622058e-09,3.418202698668438e-08
1852,0.0,7.747549268799503e-08
1853,0.0,6.927440909798577e-08
1854,5.195664454227256e-10,5.7671876163567504e-08
1855,5.306937111981824e-10,6.04990830765928e-08
1856,0.0,5.7984520740461676e-08
1857,0.0,3.954022287366854e-08
1858,0.0,5.0894229275399994e-08
1859,5.092173349652285e-10,6.721668821541016e-08
1860,0.0,5.309533257502608e-08
1861,1.4147891747029462e-09,4.102888606638544e-08
1862,4.517986262886353e-10,4.472806491850889e-08
1863,0.0,5.3941905386878375e-08
1864,0.0,5.753673582020724e-08
1865,4.706844358715045e-10,4.094954575428744e-08
1866,0.0,5.498142741089396e-08
1867,1.94112459439566e-09,7.570385918143074e-08
1868,0.0,4.9398741097661514e-08
1869,0.0,5.225365629080159e-08
1870,0.0,4.873941472638421e-08
1871,0.0,4.460894431623785e-08
1872,1.2094678591978436e-09,2.8422494358082417e-08
1873,0.0,4.190203117815372e-08
1874,5.974609140757536e-10,3.1665428945615304e-08
