year,pas_ADV omis_VERB,pas_ADV vomi_VERB
1800,2.04370692813427e-07,0.0
1801,1.262026785298076e-07,0.0
1802,2.215461734067503e-07,0.0
1803,1.3457341196954076e-07,0.0
1804,1.0134588990240445e-07,2.4718509461507665e-09
1805,1.3930100806192058e-07,2.842877755426798e-08
1806,2.1612518708025164e-07,5.76333825108577e-09
1807,1.508886242618246e-07,5.693910232196231e-09
1808,2.1980918063491117e-07,9.064295980465431e-09
1809,1.423189246452239e-07,2.259030518203531e-09
1810,2.4103306373035593e-07,1.8721014072298203e-08
1811,7.52123057168319e-08,2.5070767684098882e-09
1812,9.601949813031752e-08,0.0
1813,1.0927818294703684e-07,1.7254450312975678e-08
1814,1.950939889638903e-07,1.2586708564299443e-08
1815,1.726223075593225e-07,4.8550024445148665e-08
1816,2.248075787747439e-07,3.476405652236281e-08
1817,1.5101672090622742e-07,6.227493631882908e-09
1818,2.396156730810617e-07,2.2650237241350624e-08
1819,1.8631889986409078e-07,2.4842520929269085e-08
1820,1.1391821885808895e-07,1.4239777357261119e-08
1821,1.8046523564407835e-07,1.2819934447350079e-08
1822,1.523893615740235e-07,6.015369535816717e-09
1823,1.353928098524193e-07,1.680056804787e-08
1824,1.549484807128465e-07,4.210556348027694e-09
1825,1.8579484617475828e-07,8.805443485471187e-09
1826,1.6294771398861485e-07,1.76159691278599e-08
1827,1.4102427314810484e-07,1.474763688946723e-08
1828,1.72439257539736e-07,1.9261833017480967e-08
1829,1.9203913836918218e-07,8.573175946935407e-09
1830,1.3880992355552735e-07,1.0436835395921662e-08
1831,2.385454536124598e-07,1.2472964883158966e-08
1832,2.3406846594298258e-07,1.0823975493678972e-08
1833,1.1467792404573629e-07,2.3167256557599103e-08
1834,1.23215812664057e-07,1.0267983796552471e-08
1835,1.5731222902104491e-07,1.5126175867408165e-08
1836,1.7339534963412007e-07,8.064899859050456e-09
1837,1.349830824892706e-07,2.0177884252348122e-08
1838,1.4770458278690057e-07,1.64116205070286e-08
1839,1.7268943963699712e-07,2.1673573158409454e-08
1840,1.5414646270528465e-07,1.2739377552861697e-08
1841,1.5794549312886375e-07,1.733548060656176e-08
1842,1.5227762162339786e-07,1.7441490030023488e-08
1843,1.890211507316053e-07,2.3627643841450663e-08
1844,1.5861941449202277e-07,2.7442807137845193e-08
1845,1.439698849026172e-07,8.37034175305007e-09
1846,1.43435286759086e-07,1.1709002656346001e-08
1847,1.8768417930914438e-07,1.294373674909366e-08
1848,1.4481399546184548e-07,2.091757700384278e-08
1849,1.6088476684217312e-07,1.005529792763582e-08
1850,1.1609183303562531e-07,1.1541293254424545e-08
1851,1.3221350059211545e-07,1.6123596680017727e-08
1852,1.7969105670090357e-07,2.6042181744401205e-08
1853,1.7438040345041372e-07,7.166318205520383e-09
1854,1.1950028522278444e-07,1.0391328908454511e-09
1855,1.432873091289366e-07,2.0697054736729115e-08
1856,1.6101058974982152e-07,8.801221973442352e-09
1857,2.1429825380891998e-07,8.298565390418844e-09
1858,1.5561889199489087e-07,5.872411001917044e-09
1859,1.4156242400531482e-07,1.782260738991681e-08
1860,1.9590346767017763e-07,3.204028820036342e-09
1861,1.7873502144993836e-07,7.073945429425521e-09
1862,1.2243742730788654e-07,1.0843167252971853e-08
1863,1.3585368208168802e-07,1.0988165932701577e-08
1864,1.668565374757236e-07,1.821996598039277e-08
1865,1.8544966451372602e-07,1.97687466396701e-08
1866,1.435355869716659e-07,1.0704348518686402e-08
1867,1.9168605547292827e-07,1.5043715606566366e-08
1868,1.3881046356800653e-07,8.397785578040384e-09
1869,1.9338736478857754e-07,1.2697149998075474e-08
1870,1.4965867478622386e-07,6.307453670473251e-09
1871,1.401995461947081e-07,1.0621176826930423e-08
1872,1.7537283270030457e-07,4.8378714367913744e-09
1873,1.8257313172398426e-07,1.6760813181804224e-08
1874,1.4398807479665265e-07,2.0313670745508716e-08
1875,1.4017741989391652e-07,4.863298030954866e-08
1876,2.3458537157239334e-07,1.6324239737741664e-08
1877,1.4225076938600978e-07,1.2369632429454214e-08
1878,1.6728274943034194e-07,1.8117265465633636e-09
1879,1.6678457370744582e-07,1.4051448005147904e-08
1880,1.4183440555370908e-07,3.8507077526617195e-09
1881,1.5269792186245468e-07,1.8128519130300447e-08
1882,1.0715169906916344e-07,8.652000893505374e-09
1883,1.4660867009297363e-07,2.338155447034751e-08
1884,1.2213139655159466e-07,7.2618666635548834e-09
1885,1.1731057014685575e-07,1.2246707647989297e-08
1886,1.6456333185033145e-07,9.034849313138693e-09
1887,1.351487384226857e-07,1.697520346510828e-08
1888,1.3188478931169811e-07,7.60873763994141e-09
1889,1.9296621189823782e-07,1.566284169030041e-08
1890,1.3436492452001403e-07,8.520702365899524e-09
1891,1.466070642663908e-07,5.736798147637501e-09
1892,1.7802575769110263e-07,1.002961980134387e-08
1893,1.5211288939553924e-07,1.4164357686752282e-08
1894,1.4304494300176884e-07,3.150769645188234e-09
1895,1.534746729703329e-07,4.213029924926559e-09
1896,1.2560671791561617e-07,5.897029087265082e-09
