year,toutes_DET voix_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,1.7902721083373763e-08
1803,1.3652374342143503e-08
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,4.839823830593559e-08
1808,5.891792298484688e-08
1809,2.0331274441787173e-08
1810,3.2761775514700275e-08
1811,0.0
1812,4.5342538612658245e-08
1813,4.888760685162197e-08
1814,0.0
1815,1.6183340889597275e-08
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,9.315945348475907e-09
1820,9.493184904840746e-09
1821,0.0
1822,5.012807946513931e-09
1823,8.894418535021487e-09
1824,1.1789557774477544e-08
1825,2.201360693732113e-08
1826,2.025836387531399e-08
1827,4.608636672287503e-08
1828,2.2013523448549677e-08
1829,5.744027831156018e-08
1830,2.0873670791843324e-08
1831,0.0
1832,4.6001897402447867e-08
1833,6.950177322551099e-09
1834,1.8669061851994684e-09
1835,1.8907719834260206e-08
1836,6.720750067579218e-10
1837,1.0436836284100082e-08
1838,9.468243078458727e-09
1839,2.7965900706306e-09
1840,1.7198159341091923e-08
1841,3.274479709602929e-08
1842,1.341653010911159e-08
1843,2.3627644285539873e-09
1844,1.4270259640625227e-08
1845,5.5802281129224696e-09
1846,1.5221703009160592e-08
1847,1.1865092020002521e-08
1848,2.574470947536156e-08
1849,2.5976186535103807e-08
1850,6.788996032014438e-09
1851,1.6768540334055615e-08
1852,4.557382027314816e-09
1853,1.1346670270029335e-08
1854,7.79349651480743e-09
1855,8.491099379170919e-09
1856,1.1389816201301528e-08
1857,9.763018171682347e-10
1858,1.0276719919488642e-08
1859,3.055304009791371e-09
1860,7.781213007262977e-09
1861,3.772770984511453e-09
1862,1.8523744316212287e-08
1863,4.994620717013731e-09
1864,2.3973640850272204e-09
1865,1.3649848862318237e-08
1866,1.4596839292835284e-09
1867,1.358787216076962e-08
1868,9.385760613156435e-09
1869,1.12320943657096e-08
1870,6.307453670473251e-09
1871,3.18635318130589e-09
1872,3.0236697590169115e-09
1873,5.387403856360606e-09
1874,4.779687312606029e-09
1875,6.293679799540541e-09
1876,7.859819461941697e-09
1877,1.2369631985365004e-09
1878,7.2469061862534545e-09
1879,3.665595160740054e-09
1880,7.701415505323439e-09
1881,1.2550513517339823e-08
1882,3.3276925659464496e-09
1883,6.951272890631799e-09
1884,8.582206056928499e-09
1885,7.734762663691441e-09
1886,1.1616235084943582e-08
1887,1.2404957061562527e-08
1888,2.53624587998047e-09
1889,9.397705447167226e-09
1890,4.5880703680722945e-09
1891,7.649064048820264e-09
1892,5.014809900671935e-09
1893,4.926733243593162e-09
1894,0.0
1895,3.611168697403855e-09
1896,4.1279202278587945e-09
1897,5.2440420894583895e-09
1898,1.13167097914868e-09
1899,1.6582735185011188e-09
1900,7.786579381274805e-09
1901,6.147612641171918e-09
1902,1.6203935970793282e-08
1903,3.7801539676252105e-09
1904,2.1498500757388683e-09
1905,1.0321517862621477e-08
1906,3.0865106026567446e-09
1907,5.142843484406967e-09
1908,7.367083831866239e-09
1909,1.2652262071366494e-08
1910,5.34415089958884e-09
1911,2.128149656499545e-09
1912,1.0418842122383865e-08
1913,7.42418571064718e-09
1914,7.366418142140674e-09
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,1.864292187292449e-08
1918,4.594550517822427e-09
1919,1.012863304339362e-08
1920,1.8930579770426448e-08
1921,7.572747762196741e-09
1922,9.591316185719734e-09
