year,autres_ADJ ans_NOUN,autres_ADJ vents_NOUN
1800,2.5153315874604232e-08,1.2576657759666432e-07
1801,9.524730337773235e-09,8.334139067756041e-08
1802,4.475680270843441e-09,1.320325679898815e-07
1803,1.950339223455444e-09,7.606323038089613e-08
1804,2.4718509461507665e-09,1.2359254242255702e-07
1805,5.685755422035754e-09,1.194008660831969e-07
1806,8.645007376628655e-09,1.9019015606858147e-07
1807,2.8469551160981155e-09,7.402083213037258e-08
1808,4.5321479902327155e-09,1.2916622438297054e-07
1809,6.7770917766551975e-09,1.7846341138216815e-07
1810,0.0,4.9142661051604364e-08
1811,2.5070767684098882e-09,6.267691787797958e-08
1812,0.0,1.520308643421231e-07
1813,5.751483289628823e-09,8.627225156487839e-09
1814,6.293354282149721e-09,4.090680150170556e-08
1815,5.394447111228828e-09,5.93389177794279e-08
1816,0.0,1.297858158721965e-07
1817,4.670620334934483e-09,5.916118794857539e-08
1818,4.768470951432846e-09,5.722165141719415e-08
1819,1.3456364911235141e-08,7.14222423425781e-08
1820,1.4239777357261119e-08,6.526564533260171e-08
1821,1.3806083387635226e-08,5.226588939422072e-08
1822,2.105379337535851e-08,6.717162648328667e-08
1823,4.941343334508019e-09,5.929612001409623e-08
1824,3.3684450784221553e-09,5.9789897477458e-08
1825,1.6730341556581152e-08,4.402721387464226e-08
1826,4.403992281964975e-09,7.046387517917196e-08
1827,5.530363722527909e-09,5.2538457140371975e-08
1828,2.2930752408001354e-08,6.145441489024961e-08
1829,6.001223074036943e-09,5.229637523029851e-08
1830,7.305785310052215e-09,8.766941883564527e-08
1831,2.182768810143898e-08,5.6128342862393765e-08
1832,6.764984683549358e-09,5.547287429408243e-08
1833,4.6334514003376626e-09,9.961920710566119e-08
1834,9.334531148041947e-09,5.600718466780563e-08
1835,1.9664028627630614e-08,1.005890695182643e-07
1836,3.36037508930076e-09,4.2340726036371734e-08
1837,3.4789454650407947e-09,6.401259333710385e-08
1838,3.1560809521380406e-09,3.850418650586107e-08
1839,2.09744255297295e-09,7.480878139176639e-08
1840,8.280595042986505e-09,3.9492068282243054e-08
1841,5.1364388298225094e-09,5.457466301095337e-08
1842,1.0062397137744483e-08,5.1653639587811995e-08
1843,1.1813822142769936e-09,4.961805188941071e-08
1844,1.6465684371524958e-09,5.3787900355928286e-08
1845,3.348136878855712e-09,5.3570189728624484e-08
1846,2.9272506640865004e-09,6.322861167973315e-08
1847,8.089835468183537e-09,2.8584086209093584e-08
1848,4.022610855525244e-09,3.942158599556933e-08
1849,8.379414495607307e-09,1.0641856817983353e-07
1850,2.0366988096043315e-09,6.585326417507531e-08
1851,1.096404611544699e-08,4.127640851336878e-08
1852,1.2370036550635177e-08,4.101643469311966e-08
1853,2.9859659189668264e-09,4.837264810930719e-08
1854,9.352195906586758e-09,4.7800114089113777e-08
1855,1.3798036491152743e-08,4.6701046585440054e-08
1856,3.624032518523279e-09,4.918329921110853e-08
1857,7.322263795295214e-09,4.246912865824015e-08
1858,1.468102750479261e-09,4.257498081861044e-08
1859,8.147477359443656e-09,7.332729978770658e-08
1860,8.238931398230065e-09,6.8200041503097e-08
1861,7.545542080045209e-09,5.94211435611669e-08
1862,1.445755604123633e-08,3.8402884428023754e-08
1863,6.493007298491449e-09,1.018902651139797e-07
1864,9.109982990196386e-09,3.308362295229017e-08
1865,6.589581991178761e-09,4.094954419997521e-08
1866,4.865612801552288e-09,4.719644408623935e-08
1867,9.220341823379385e-09,8.73506067478047e-08
1868,6.9158236915001225e-09,4.6928804287027504e-08
1869,9.767038733343725e-09,3.41846337903462e-08
1870,4.013834153937523e-09,1.2500226720391083e-07
1871,3.18635318130589e-09,4.3546825478912865e-08
1872,3.0236697590169115e-09,4.051717183983783e-08
1873,4.1902030178953e-09,3.7711828326791874e-08
1874,9.559374625212058e-09,4.600449088343339e-08
1875,5.149374426860476e-09,4.577221801582709e-08
1876,9.06902175579205e-09,7.799359025284502e-08
1877,1.0514186854493346e-08,5.44263798474276e-08
1878,6.039088784604019e-09,4.3481439726544835e-08
1879,1.649517855639715e-08,5.070739916845923e-08
1880,1.4761046163158653e-08,7.252166422944128e-08
1881,6.275256869692214e-09,3.765154105161983e-08
1882,5.324307883469714e-09,4.3925541870493134e-08
1883,6.319339107552224e-09,2.7173157945981075e-08
1884,3.9610181801208455e-09,4.5551708183211304e-08
1885,7.734762830224895e-09,2.578254243434941e-08
1886,3.2267319372003556e-09,2.9040586824180536e-08
1887,5.223139754040318e-09,1.9586773092328258e-08
1888,2.53624587998047e-09,2.15580902018786e-08
1889,3.132568371366773e-09,3.947036120166558e-08
1890,3.2771931834929546e-09,3.277193122430688e-08
1891,3.1871101313640793e-09,4.780665108228277e-08
1892,1.0656470816883257e-08,3.13425623232888e-08
1893,8.621783287310336e-09,1.7243566574620672e-08
1894,6.301539290376468e-09,2.5836310868498913e-08
1895,3.611168697403855e-09,2.9491211250842753e-08
1896,4.717623180994224e-09,1.9460195233023114e-08
1897,5.244042311502994e-09,3.903898149193452e-08
1898,2.26334195829736e-09,2.1501748270758014e-08
1899,4.9748205555033564e-09,1.713549302451156e-08
1900,3.6337372000261325e-09,2.0245107479333058e-08
1901,2.794369402536745e-09,8.941982265753268e-09
1902,1.178468167495339e-08,1.3257766440233354e-08
1903,4.860198243861191e-09,1.3500550677392198e-08
1904,7.524475265086039e-09,1.2361637935498493e-08
1905,6.708986810544104e-09,1.2901898049921812e-08
1906,5.144184633820714e-09,1.5432553013283723e-08
1907,4.6285588695127444e-09,2.2114226339020604e-08
1908,3.929111258571538e-09,1.1787334219803824e-08
1909,5.5009836685826485e-09,3.410609694665112e-08
1910,6.412980702030779e-09,1.6566866878342523e-08
1911,7.44852390877071e-09,2.8197982615552064e-08
1912,1.5107321338359014e-08,2.5005221671037248e-08
1913,9.015082513830208e-09,1.590896836489719e-08
1914,5.357394972094198e-09,1.7411534103395354e-08
1915,2.3561523843085297e-09,2.3561523843085297e-09
1916,1.0987462051303964e-09,8.789969641043172e-09
1917,6.579854550103903e-09,5.483212217605171e-09
1918,2.2972752589112133e-09,6.89182577673364e-09
1919,5.524709134618888e-09,4.1435317399418636e-08
1920,1.514446346106979e-09,1.741613298023026e-08
1921,3.7863738810983705e-09,1.7417319364554373e-08
1922,5.902348387820666e-09,2.2871600613427745e-08
1923,1.5923922180860473e-08,1.6985516992917837e-08
1924,3.867487330388997e-09,3.093989942026809e-08
1925,8.798542117105512e-09,3.409435223034052e-08
1926,4.458455382660986e-09,2.1177662290483568e-08
1927,4.4596899506643695e-09,2.0068604000833545e-08
1928,7.998228745975666e-09,1.8281665847830197e-08
1929,4.4561625500705304e-09,1.893869105984436e-08
1930,3.1510810627466412e-09,2.205756699513728e-08
1931,3.4216069977333063e-09,1.4826963656844327e-08
1932,6.575721966939341e-09,1.0959536389520963e-08
1933,3.4411986593596566e-09,3.441198526132894e-08
1934,9.585264137967897e-09,3.35484227065308e-08
1935,3.590485242455088e-09,1.795242621227544e-08
1936,6.0623572828433225e-09,2.9099314957647948e-08
1937,7.554670666820584e-09,1.8886677000118368e-08
1938,2.5930428915188486e-09,1.426173557028676e-08
1939,3.058810094103137e-09,2.5999885799876665e-08
1940,3.0429395447839624e-08,4.3108309810691026e-08
1941,0.0,5.9030053733977184e-08
1942,3.034211770724937e-09,9.102635090130207e-09
1943,5.806470415592457e-09,4.064529246505799e-08
1944,0.0,4.4984606262232774e-08
1945,6.535512131478072e-09,2.3963544037997053e-08
1946,6.960552134671616e-09,1.8097434661967782e-08
1947,1.0728784083369192e-08,2.8610090296865565e-08
1948,3.2615663503321457e-09,2.0656587551570738e-08
1949,2.945102384188658e-09,3.239612711425366e-08
1950,1.2762433776458693e-08,2.0207187034770868e-08
1951,7.462981121975076e-09,3.5182625701679626e-08
1952,1.2653764702719172e-08,2.003512733494972e-08
1953,8.619062019654677e-09,1.6160740301529586e-08
1954,9.772535891627854e-09,1.2704297169818801e-08
1955,6.569925492527773e-09,2.5341141185464267e-08
1956,5.232684952005684e-09,1.4825940475304833e-08
1957,1.3252556385623393e-08,1.943708272111877e-08
1958,3.3088974338291166e-09,2.4816729671250926e-08
1959,2.3252243464000344e-09,2.1702093122577537e-08
1960,8.305000021024966e-09,2.4222917227589846e-08
1961,9.727423089245235e-09,2.223410966450956e-08
1962,3.170978202238217e-09,1.585489073363533e-08
1963,3.233026624194224e-09,2.909724017285953e-08
1964,3.0419841645645818e-09,2.981144575642247e-08
1965,9.84967779560364e-09,1.696333440381892e-08
1966,7.20079718075084e-09,2.5479743426259915e-08
1967,7.395503320850594e-09,3.303324763725968e-08
1968,1.2575964603023237e-08,2.1109653802753314e-08
1969,9.991866833924945e-09,2.043791091921321e-08
1970,7.81783243697376e-09,1.1496812390987543e-08
1971,4.110718099248345e-09,1.284599360218408e-08
1972,5.643161493651405e-09,1.5903455607979566e-08
