year,jolis_ADJ yeux_NOUN
1800,3.144164395507687e-08
1801,4.0480102825313224e-08
1802,1.5664880947952042e-08
1803,3.1205427575287104e-08
1804,2.2246657849223084e-08
1805,5.685755422035754e-09
1806,1.2103009794373065e-07
1807,3.9857372513552036e-08
1808,4.758755522971114e-08
1809,6.09938268780752e-08
1810,3.978215445954447e-08
1811,3.5099073869560016e-08
1812,3.7340914360584065e-08
1813,2.0130190847567064e-08
1814,1.8880061958270744e-08
1815,1.6183340889597275e-08
1816,3.0128852301913867e-08
1817,1.8682481339737933e-08
1818,4.053200441944682e-08
1819,4.140419918030602e-08
1820,3.20394981656591e-08
1821,3.254291058851777e-08
1822,6.015369535816717e-08
1823,7.510841726343642e-08
1824,4.378978601948802e-08
1825,2.4655239627691117e-08
1826,5.19671061738336e-08
1827,1.8434546333878643e-08
1828,2.8434133270138773e-08
1829,3.0006116702452346e-08
1830,5.218418053232199e-08
1831,9.510635834431014e-08
1832,9.741577855493233e-08
1833,5.79181431703546e-08
1834,5.3206825612051034e-08
1835,5.899208588289184e-08
1836,4.368487438455304e-08
1837,5.357576071673975e-08
1838,3.7241754569095065e-08
1839,3.915226187700682e-08
1840,5.6690229399691816e-08
1841,8.603534951134861e-08
1842,5.634942823462552e-08
1843,5.965980420796768e-08
1844,8.507269910751347e-08
1845,6.361459981008011e-08
1846,4.0981507964943376e-08
1847,4.1527822958187244e-08
1848,1.0217431878345451e-07
1849,4.357295679824347e-08
1850,4.0055077477063605e-08
1851,3.805168802273329e-08
1852,3.320378283433456e-08
1853,5.2552998397459305e-08
1854,3.896748168585873e-08
1855,6.580602018857462e-08
1856,5.7466799319172424e-08
1857,5.906625943907784e-08
1858,1.0178845855079999e-07
1859,7.892868580938739e-08
1860,1.327383358784573e-07
1861,6.885306902404409e-08
1862,9.126332400910542e-08
1863,8.241124049845894e-08
1864,4.93856973093898e-08
1865,6.636650340396955e-08
1866,9.974506554044638e-08
1867,5.241036404868282e-08
1868,8.348386870693503e-08
1869,9.474027251599182e-08
1870,7.282241654138488e-08
1871,5.947859449406678e-08
1872,6.349706183073067e-08
1873,7.302925553176465e-08
1874,9.738612760656906e-08
1875,7.037478155780263e-08
1876,1.227341073217758e-07
1877,8.287653230354408e-08
1878,7.307297522629597e-08
1879,7.942122692838893e-08
1880,8.728270728397547e-08
1881,1.0598211730439289e-07
1882,1.3576985224972304e-07
1883,8.215140923084618e-08
1884,1.1090850904338367e-07
1885,9.21725913372029e-08
1886,1.0131937955293324e-07
1887,1.260082456155942e-07
1888,1.014498351992188e-07
1889,1.1277246159124843e-07
1890,1.4419650540276052e-07
1891,1.2684698447174014e-07
1892,1.4793688762892998e-07
1893,1.361010077971514e-07
1894,1.663606354895819e-07
1895,1.1194622828725187e-07
1896,1.4683601534670743e-07
1897,1.2760501988395845e-07
1898,1.2108878877370444e-07
1899,1.5532495467596164e-07
1900,1.2458527010039688e-07
1901,1.7325091050679475e-07
1902,1.1588269899220904e-07
1903,1.2096492696400674e-07
1904,1.2200399623907288e-07
1905,1.31083282894906e-07
1906,2.062817969772368e-07
1907,1.3114249952650425e-07
1908,1.0510372305816418e-07
1909,1.5237723971495143e-07
1910,2.0414655921285885e-07
1911,1.2077249778030819e-07
1912,1.1773291674899156e-07
1913,1.6704417760138313e-07
1914,1.2121105896767403e-07
1915,8.599955947374838e-08
1916,1.4173825491070602e-07
1917,1.447567967716168e-07
1918,1.1945832056881045e-07
1919,1.5561263921881618e-07
1920,1.226701584755574e-07
1921,1.5675587405894476e-07
1922,1.5936340957978246e-07
1923,1.6667038948980917e-07
1924,1.1860294790722037e-07
1925,1.1768050711680189e-07
1926,1.1926367449177633e-07
1927,2.475127871548466e-07
1928,1.496811421475286e-07
1929,1.515095249260412e-07
1930,1.3129503884101723e-07
1931,1.0036713860017699e-07
1932,8.76762911161677e-08
1933,8.602996359741155e-08
1934,8.387105765450542e-08
1935,9.813992818408224e-08
1936,8.608547119592913e-08
1937,9.569249925789336e-08
1938,9.07565009811151e-08
1939,9.482311469355409e-08
1940,5.5787225505810056e-08
1941,1.1806010036252701e-07
1942,1.2136847260535433e-07
1943,6.387117679196308e-08
1944,8.996921252446555e-08
1945,1.241747327185294e-07
1946,9.46635054788203e-08
1947,8.702235732016561e-08
1948,9.34982367084558e-08
1949,8.933477602113271e-08
1950,8.401935502888591e-08
1951,9.275419188270462e-08
1952,8.330395218081321e-08
1953,8.080370861307529e-08
1954,8.893007930055319e-08
1955,7.320774386698758e-08
1956,9.244410392739155e-08
1957,8.039884136223918e-08
1958,9.678525003664618e-08
1959,8.138285068071127e-08
1960,9.273916390384329e-08
1961,8.268309414916075e-08
1962,9.956871593885808e-08
1963,7.823924619287936e-08
1964,7.787479461285329e-08
1965,8.64582858639551e-08
1966,9.69338103118389e-08
1967,9.515547816363323e-08
1968,8.03963402518093e-08
1969,6.585548817383824e-08
1970,6.668151542044143e-08
1971,1.0328179200769227e-07
1972,6.258779450263319e-08
1973,6.285052478460784e-08
1974,5.456804430536977e-08
1975,5.140332248743107e-08
1976,4.627956684544188e-08
1977,6.28815683967332e-08
1978,5.999996943728547e-08
1979,4.564539324292127e-08
1980,6.708477684469472e-08
1981,6.388805218193738e-08
1982,4.407326770206055e-08
1983,5.810090897284681e-08
1984,5.103127520555972e-08
1985,5.895246957265954e-08
1986,5.634816346855587e-08
1987,6.721898415662508e-08
1988,4.797243136067664e-08
1989,5.8722907425590165e-08
1990,6.265948826467138e-08
1991,5.5097771678447316e-08
1992,5.4548447536717504e-08
1993,6.75783340398084e-08
1994,5.1694279079583794e-08
1995,6.290042620094027e-08
1996,4.857663782331656e-08
1997,2.972834600711849e-08
1998,6.198568058835008e-08
1999,5.118625168165636e-08
2000,6.494506266108147e-08
2001,5.0383935246145484e-08
2002,5.2136535089175595e-08
2003,6.542069286297192e-08
2004,6.607186975315926e-08
2005,6.350286696488183e-08
2006,7.206307373053278e-08
2007,1.0705205255590045e-07
2008,1.1622810092148939e-07
2009,1.1968162993980513e-07
2010,1.6580513317876466e-07
2011,1.9311057997128955e-07
2012,2.3387215719594678e-07
2013,2.666403418061236e-07
2014,2.996976036229171e-07
2015,3.455641035543522e-07
2016,3.5440626788840746e-07
2017,3.39607538535347e-07
2018,3.836059647710499e-07
2019,3.7933187968519633e-07
