year,vos_DET yeux_NOUN,vos_DET vieux_ADJ
1800,7.97045740341673e-06,8.489244152087849e-08
1801,1.043434210146188e-05,1.0000967165524344e-07
1802,6.380082311352453e-06,9.175144555229053e-08
1803,8.000291884968647e-06,9.166594594489652e-08
1804,8.64900607666641e-06,1.458392091535643e-07
1805,8.087987183102996e-06,2.1890159018767008e-07
1806,5.7777466793140775e-06,5.76333825108577e-08
1807,6.596394882762979e-06,6.547996633798903e-08
1808,7.2695654864674e-06,9.744118045773575e-08
1809,6.2326651857347315e-06,6.09938268780752e-08
1810,1.018657204099327e-05,1.0764583180389309e-07
1811,6.693895102216629e-06,4.763445815569867e-08
1812,5.251732872579851e-06,1.4936365744233626e-07
1813,8.204490711705148e-06,5.1763348274391774e-08
1814,5.909459780184534e-06,6.608021863030444e-08
1815,5.192155455802094e-06,5.3944472000466703e-08
1816,6.63066457207151e-06,5.0987285504788815e-08
1817,9.901714577154053e-06,6.85024303948012e-08
1818,7.463849300393122e-06,1.418620172444207e-07
1819,8.468193954058734e-06,8.79839276990424e-08
1820,9.236869317419405e-06,2.4919611085749693e-07
1821,1.0589266196348035e-05,1.5679766818266216e-07
1822,9.78901107373531e-06,1.674277854135653e-07
1823,7.266739686428991e-06,1.591112521737159e-07
1824,8.318375051885596e-06,9.347435181439323e-08
1825,7.2662515719912335e-06,7.748789698780456e-08
1826,6.634173971065138e-06,8.719904798226707e-08
1827,6.147921325805328e-06,8.111200600069424e-08
1828,8.042273549335732e-06,7.979901983645732e-08
1829,6.375870981401022e-06,7.801590451439466e-08
1830,7.616802719212501e-06,1.0123730631583783e-07
1831,7.193782579406616e-06,1.091384405071949e-07
1832,7.570017857005951e-06,1.5018266541488856e-07
1833,7.457540192490342e-06,1.2394482773459004e-07
1834,7.6048422386065795e-06,1.101474680353931e-07
1835,7.858804451643664e-06,8.697551123759695e-08
1836,6.175025248467136e-06,1.2903840085343177e-07
1837,5.731214969273424e-06,1.273294090164967e-07
1838,5.822338124517046e-06,9.720729665652073e-08
1839,5.830890231095509e-06,8.319855737681792e-08
1840,6.631482975194558e-06,6.87926401954364e-08
1841,6.130339713195099e-06,8.731946365969634e-08
1842,6.120620973604218e-06,1.2343207345111296e-07
1843,6.25660008779505e-06,1.234544440564811e-07
1844,6.3606936606674935e-06,1.1635750235550191e-07
1845,5.644400630444579e-06,5.5244255225961325e-08
1846,5.9733477968393345e-06,9.425746827496084e-08
1847,5.204460684637979e-06,7.658377310093556e-08
1848,5.282492459457444e-06,7.240699773092274e-08
1849,4.993293430288759e-06,1.1563592750007956e-07
1850,4.853453333453217e-06,8.757805147752151e-08
1851,5.200827402518371e-06,8.384270233641189e-08
1852,5.131611814590542e-06,1.2695563911258034e-07
1853,5.1925948980624526e-06,1.0391161331391174e-07
1854,7.623078730034649e-06,1.387242423156465e-07
1855,6.12314408954262e-06,1.1038428837650827e-07
1856,6.7608912104333285e-06,1.164867559633187e-07
1857,5.273006294714833e-06,1.3765856010650168e-07
1858,6.076477376382172e-06,1.2576747110415454e-07
1859,5.0728233134123e-06,1.2373980928792605e-07
1860,5.825382004331914e-06,1.5425109278766058e-07
1861,6.031245817439412e-06,1.2591623443913846e-07
1862,7.0435407621971535e-06,8.8100733819374e-08
1863,5.9915471979365975e-06,1.243660540106717e-07
1864,6.484389970751181e-06,1.208271456221155e-07
1865,6.216329268227128e-06,1.0025578789374379e-07
1866,5.803703189144471e-06,1.1044941194970903e-07
1867,5.678759919192089e-06,1.106441054332663e-07
1868,5.609227088143598e-06,7.95319721191845e-08
