year,vingt - trois villes
1800,1.3779073881892145e-08
1801,2.614982896886886e-09
1802,7.390513090399509e-09
1803,2.7857122830710068e-08
1804,2.4465649062221928e-08
1805,3.7466822533360755e-08
1806,3.1599316496766505e-09
1807,3.114948521343308e-09
1808,0.0
1809,9.88383686006955e-09
1810,0.0
1811,8.277909913090298e-09
1812,0.0
1813,9.441196269222019e-09
1814,5.503006050844306e-08
1815,5.9128351104220656e-09
1816,3.7997111235199554e-08
1817,2.2179605707606243e-08
1818,5.213291576211532e-09
1819,9.044872406605009e-09
1820,2.201283422209599e-08
1821,1.2960386541749358e-08
1822,7.675334146028945e-09
1823,6.4775234065450604e-09
1824,1.1025045765222785e-08
1825,4.805352116221684e-09
1826,1.2493768686283602e-08
1827,1.4084916344359044e-08
1828,9.020797442360617e-09
1829,5.900261257352213e-08
1830,7.98974486571069e-09
1831,2.5671722525544283e-08
1832,1.6308899120076603e-08
1833,6.336890123748162e-09
1834,3.5800603370717e-08
1835,1.5769250794051004e-08
1836,5.140442738138518e-09
1837,1.2904679103087346e-08
1838,1.3076261851097115e-08
1839,3.821289507044412e-09
1840,1.461293219762183e-08
1841,2.807916121838616e-09
1842,7.335207996561621e-09
1843,9.681267343353284e-09
1844,3.171506002264124e-08
1845,1.8911254784370612e-08
1846,2.7548400893806502e-08
1847,1.2959318951288878e-08
1848,1.8498933940236384e-08
1849,1.4678738224915833e-08
1850,8.916080318499553e-09
1851,4.235141293218447e-09
1852,1.070029842509257e-08
1853,1.9611125168239596e-08
1854,5.114865420097203e-09
1855,9.308460668933094e-09
1856,4.139932485713871e-08
1857,9.629455455240077e-09
1858,6.43318553983363e-09
1859,1.393565079998993e-08
1860,1.1039560376957525e-08
1861,1.4458763075708703e-08
1862,2.475542482116566e-08
1863,1.6447840422983973e-08
1864,9.449171223252506e-09
1865,1.702669816250335e-08
1866,1.121254289415674e-08
1867,1.2775996149905211e-08
1868,1.1360814400340757e-08
1869,7.500236876012423e-09
1870,1.1938247723719542e-08
1871,1.1664925914089963e-08
1872,3.980106910717041e-09
1873,9.184594418343295e-09
1874,1.3765844464330712e-08
1875,5.029576255477508e-09
1876,2.855557390546437e-08
