year,vous_PRON ôtez_VERB,vous_PRON otez_VERB,vous_PRON votez_VERB
1800,2.5782149037922863e-07,3.144164484325529e-09,1.5720822421627645e-08
1801,2.500241649272539e-07,2.3811825844433088e-09,2.3811825844433088e-09
1802,2.953948978756671e-07,6.713520406265161e-09,0.0
1803,1.9503393033915017e-07,5.851017448321727e-09,0.0
1804,2.1999473176492756e-07,0.0,0.0
1805,1.4498676348395634e-07,0.0,0.0
1806,2.910485861207235e-07,1.729001475325731e-08,2.881669125542885e-09
1807,1.1672516109229036e-07,0.0,0.0
1808,2.016805886739803e-07,0.0,0.0
1809,1.1521055931495994e-07,2.259030518203531e-09,0.0
1810,2.5975407424994046e-07,0.0,0.0
1811,1.4791752178666684e-07,0.0,0.0
1812,1.7070133040419933e-07,0.0,0.0
1813,1.351598559740097e-07,0.0,5.751483289628823e-09
1814,1.919473096023694e-07,0.0,2.5173417128598885e-08
1815,1.9420009689241624e-07,2.697223555614414e-09,1.618334155573109e-08
1816,1.715026911597306e-07,9.270415546325239e-09,4.6352077731626196e-08
1817,3.7364962679475866e-07,1.556873407970727e-09,1.0898113522728181e-08
1818,2.300787222964118e-07,5.960588467246453e-09,9.536941902865692e-09
1819,3.5297079925555863e-07,2.070210003424222e-09,3.1053151161586356e-08
1820,3.892205917566116e-07,1.1866481131050932e-09,4.865257352548724e-08
1821,3.4022134975941754e-07,1.97229765852569e-09,2.1695273577648777e-08
1822,2.2357123441452131e-07,2.0051231786055723e-09,3.60922172149003e-08
1823,2.243369872090284e-07,1.9765373782121287e-09,7.906149512848515e-09
1824,1.7684336661716316e-07,8.421112696055388e-10,4.210556348027694e-09
1825,1.7875048818893902e-07,4.4027217427355936e-09,1.7610886082763955e-09
1826,1.7175569211325126e-07,3.5231937367541377e-09,5.2847904719044436e-08
1827,1.7697164356178519e-07,5.530363889061363e-09,1.5669364195058932e-08
1828,2.072940028519099e-07,1.8344602503717056e-09,2.2930752408001354e-08
1829,1.6460498031278803e-07,0.0,3.9436608478826685e-08
1830,1.6907673838773007e-07,3.1310507520032616e-09,1.982998831806526e-08
1831,1.8709446747422476e-07,3.1182412207897414e-09,1.2472964883158966e-08
1832,2.1106752079447233e-07,0.0,1.0823975604701275e-08
1833,1.378451806033354e-07,0.0,1.3900354645102198e-08
1834,2.482985266283322e-07,1.8669061851994684e-09,2.240287377830441e-08
1835,1.9815290386304696e-07,3.781543966852041e-09,2.949604294144592e-08
1836,2.506839695826102e-07,6.048674894287842e-09,1.4785650481741186e-08
1837,1.4959465044483977e-07,6.957890930081589e-10,4.1747345913556444e-08
1838,1.508606626288156e-07,0.0,2.651108044204875e-08
1839,1.4961757432985223e-07,4.894032845648155e-09,2.0974426639952526e-08
1840,2.051039800221588e-07,6.369688665408546e-10,4.9046601890978536e-08
1841,2.3370796409238892e-07,2.5682194149112547e-09,3.14606891649305e-08
1842,2.6765977700904386e-07,7.379091560011375e-09,4.092041550052272e-08
1843,2.1914640324638412e-07,4.13483786099178e-09,5.079943665720066e-08
1844,1.8386680800119848e-07,2.195424508855126e-09,3.1833655711466236e-08
