year,mauvais_ADJ ans_NOUN,mauvais_ADJ vents_NOUN
1800,2.5153315874604232e-08,5.65949598296811e-08
1801,0.0,6.905429472681135e-08
1802,4.475680270843441e-09,9.175144555229053e-08
1803,0.0,3.90067853572873e-08
1804,0.0,1.2112069214254007e-07
1805,0.0,5.1171799242411e-08
1806,0.0,5.4751712497136396e-08
1807,0.0,1.1387820464392462e-08
1808,0.0,7.024829073998262e-08
1809,0.0,7.680704072754452e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,1.0279014617253779e-07
1812,0.0,1.8670457180292033e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,4.090680150170556e-08
1815,0.0,1.6183340889597275e-08
1816,0.0,1.3905623319487859e-08
1817,0.0,6.383181272440197e-08
1818,0.0,1.5497530370112145e-08
1819,1.035105001712111e-09,4.243930362690662e-08
1820,0.0,1.898636980968149e-08
1821,6.903041693817613e-09,1.577838126820552e-08
1822,0.0,5.213320264374488e-08
1823,0.0,3.854247765389118e-08
1824,0.0,3.3684450784221553e-08
1825,0.0,4.9310479255382234e-08
1826,0.0,1.6735169694470642e-08
1827,1.8434546111834038e-09,1.3825909306319772e-08
1828,0.0,1.834460228167245e-08
1829,0.0,3.429270378774163e-08
1830,6.262101504006523e-09,8.349468672008697e-09
1831,0.0,2.3386808933878456e-08
1832,0.0,3.111892965534935e-08
1833,0.0,2.6642345218874652e-08
1834,0.0,2.240287422239362e-08
1835,1.5126175867408165e-09,4.61348363955949e-08
1836,0.0,3.091545153210973e-08
1837,0.0,1.8090515752078318e-08
1838,0.0,2.398621568033832e-08
1839,0.0,3.775396706373613e-08
1840,0.0,2.229391071750797e-08
1841,0.0,4.173356416004026e-08
1842,0.0,1.2074877098200432e-08
1843,0.0,2.126487963494128e-08
1844,0.0,2.305195678786731e-08
1845,0.0,1.785672942844485e-08
1846,0.0,3.3956109035671034e-08
1847,1.0786447290911383e-09,3.235934187273415e-08
1848,0.0,2.896279838182636e-08
1849,0.0,3.9383248662261394e-08
1850,0.0,3.59816780814981e-08
1851,0.0,1.483370937194195e-08
1852,0.0,3.580800012059626e-08
1853,0.0,1.2541057081705276e-08
1854,1.0391328908454511e-09,2.5978321716024766e-08
1855,0.0,2.812676669350367e-08
1856,0.0,2.2779632402603056e-08
1857,0.0,1.0251168802710708e-08
1858,0.0,3.2787628612140907e-08
1859,0.0,1.2730433596175317e-08
1860,1.373155145145688e-09,3.753290656050012e-08
1861,0.0,3.0182167876091626e-08
1862,4.517986262886353e-10,1.8975542914745347e-08
1863,0.0,2.3974180862751382e-08
1864,0.0,2.4932585773740357e-08
1865,0.0,8.943004559114343e-09
1866,0.0,2.0435575009969398e-08
1867,0.0,3.299911810472622e-08
1868,0.0,4.445886503390284e-08
1869,0.0,2.0999133099053324e-08
1870,0.0,1.0894693147633916e-08
