year,vos_DET îles_NOUN,vos_DET iles_NOUN,vos_DET villes_NOUN
1800,0.0,0.0,2.138031867104928e-07
1801,1.904946067554647e-08,0.0,1.9287578578719433e-07
1802,2.4616241489638924e-08,4.475680270843441e-09,1.320325679898815e-07
1803,3.705644502360883e-08,0.0,1.7748086289515186e-07
1804,1.9774808235339947e-08,0.0,1.9033252840472414e-07
1805,1.1371510844071508e-08,0.0,5.714184037053371e-07
1806,5.76333825108577e-09,2.881669125542885e-09,8.933174200365102e-08
1807,8.540865792383556e-09,0.0,2.306033621835013e-07
1808,2.2660739951163578e-09,0.0,1.246340701754889e-07
1809,6.09938268780752e-08,0.0,1.5361408145508904e-07
1810,2.106114038724627e-08,2.3401267590372754e-09,1.8487001440803397e-07
1811,7.521229861140455e-09,0.0,1.0780430415024966e-07
1812,2.6672082320544632e-09,0.0,1.5469807657098045e-07
1813,6.326631307729258e-08,2.8757416448144113e-09,1.4091134414861983e-07
1814,3.1466772298927026e-08,0.0,4.1536139461229027e-07
1815,1.6183340889597275e-08,0.0,2.3735567822313897e-07
1816,1.3905623319487859e-08,0.0,1.6918508549679245e-07
1817,2.3353100786493997e-08,0.0,2.2263289167767653e-07
1818,3.099506074022429e-08,0.0,1.823940156686632e-07
1819,4.34744116262209e-08,3.1053151161586356e-09,2.3289862893793867e-07
1820,2.3732962262101864e-08,0.0,2.83608885709441e-07
1821,5.818277948321793e-08,9.86148829262845e-10,2.7217709053228845e-07
1822,1.804610860745015e-08,3.0076847679083585e-09,2.837249439835432e-07
1823,2.8659792761231984e-08,9.882686891060644e-10,1.5416991150374315e-07
1824,1.2631669044083083e-08,8.421112696055388e-10,2.1642259095955296e-07
1825,2.6416328680056722e-08,1.7610886082763955e-09,2.8177417998875853e-07
1826,7.0463874735082754e-09,8.807984341885344e-10,1.7968287391312288e-07
1827,6.820781806027298e-08,0.0,1.9356273800452684e-07
1828,4.586150481600271e-08,1.8344602503717056e-09,1.9812170154454023e-07
1829,3.1720752247110795e-08,1.714635211591542e-09,1.414574022362558e-07
1830,2.922314124020886e-08,2.0873671680021744e-09,1.6490201071306387e-07
1831,3.5859775371349656e-08,1.5591206103948707e-09,1.2317052267007966e-07
1832,5.8178868167502173e-08,1.3529969367098715e-09,2.448924575348954e-07
1833,3.243415847009601e-08,0.0,1.39003547561245e-07
