year,nos_DET iles_NOUN,nos_DET villes_NOUN
1800,2.5153315874604232e-08,1.2482333371366394e-06
1801,2.3811825844433088e-08,1.247739670251491e-06
1802,9.398928568771225e-08,1.1368228456376528e-06
1803,5.070881914370773e-08,1.3379326970763827e-06
1804,4.44933170307138e-08,1.6833305256369613e-06
1805,2.55858996212055e-08,1.2139087850471242e-06
1806,8.645007376628655e-09,1.4638879326511756e-06
1807,1.9928686256776018e-08,1.3893141286303035e-06
1808,1.5862518409903714e-08,1.1035780254076144e-06
1809,2.4849335034105025e-08,9.804192180329352e-07
1810,2.574139346123161e-08,1.2894098198046322e-06
1811,1.7549536934780008e-08,8.022645783256621e-07
1812,1.8670457180292033e-08,9.068508095566585e-07
1813,5.176335027279322e-08,1.2797050317203684e-06
1814,2.5173417572688095e-08,1.718085702151484e-06
1815,4.045835311217161e-08,2.0202203625530046e-06
1816,1.622322720606917e-08,1.0614625960414514e-06
1817,5.449057050022077e-08,1.514837876470665e-06
1818,2.98029441125891e-08,1.8251322799756053e-06
1819,5.175525008560555e-09,1.8010826927650214e-06
1820,1.0679833017945839e-08,1.7550525868159639e-06
1821,1.972297702934611e-08,1.484153983710712e-06
1822,9.023054303725075e-09,1.5970806117593384e-06
1823,2.0753642027138142e-08,1.204699511703211e-06
1824,1.0947446504872005e-08,2.2088578948142867e-06
1825,1.0566531649658373e-08,1.752283212752559e-06
1826,2.7304752237000685e-08,1.5616556048314578e-06
1827,1.6591091167583727e-08,1.50978937440982e-06
1828,2.2013523448549677e-08,1.5042573835444273e-06
1829,1.8860986994440054e-08,2.3087563718604542e-06
1830,2.400472176589119e-08,1.8880235934659595e-06
1831,1.091384405071949e-08,1.6651408003554025e-06
1832,6.764984572527055e-09,1.9144906424628516e-06
1833,1.6217079235048004e-08,2.0885283014138167e-06
1834,1.0267984240641681e-08,1.9779871713865305e-06
1835,3.781543966852041e-08,1.7553927094127175e-06
1836,2.5538850312312178e-08,1.9429687547756203e-06
1837,3.3397877241547747e-08,1.937772609039712e-06
1838,2.4617430982587507e-08,1.9921182534687887e-06
1839,4.1249704096912865e-08,1.8814059430383168e-06
1840,4.395085273500854e-08,2.1312977231957575e-06
1841,3.017657768111803e-08,1.7900489410749287e-06
1842,3.4882977395511716e-08,1.948751041425112e-06
1843,2.7171790650815097e-08,1.8275983428850395e-06
1844,2.2503100327586623e-08,1.8013458173982144e-06
1845,1.3392546849289033e-08,1.6908090394451847e-06
1846,1.5807153808111707e-08,1.7680593842328562e-06
